Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","01/01/2018","0061","N834DN","ATL","14:10","14:06","275","254","-4","14:21","15","0","0","0","0","0"
"DL","01/01/2018","0401","N841MH","JFK","08:20","08:16","332","307","-4","08:32","16","0","0","0","0","0"
"DL","01/01/2018","0518","N658DL","ATL","13:15","13:07","284","299","-8","13:36","29","0","0","0","0","0"
"DL","01/01/2018","0705","N879DN","ATL","23:30","23:29","276","262","-1","23:55","26","0","0","0","0","0"
"DL","01/01/2018","0806","N669DN","MSP","00:20","00:14","215","209","-6","00:31","17","0","0","0","0","0"
"DL","01/01/2018","0826","N874DN","HNL","18:20","18:18","354","309","-2","18:30","12","0","0","0","0","0"
"DL","01/01/2018","0854","N6708D","DTW","07:00","06:54","278","257","-6","07:08","14","0","0","0","0","0"
"DL","01/01/2018","0876","N702TW","JFK","11:55","11:54","330","323","-1","12:09","15","0","0","0","0","0"
"DL","01/01/2018","1164","N703TW","JFK","13:10","13:05","332","323","-5","13:22","17","0","0","0","0","0"
"DL","01/01/2018","1210","N871DN","ATL","06:15","06:15","280","255","0","06:28","13","0","0","0","0","0"
"DL","01/01/2018","1599","N824DN","DTW","22:25","23:11","269","277","46","23:37","26","0","0","8","0","46"
"DL","01/01/2018","1847","N6710E","MSP","06:05","05:59","225","217","-6","06:22","23","0","0","0","0","0"
"DL","01/01/2018","1896","N849DN","DTW","11:45","11:41","279","263","-4","12:01","20","0","0","0","0","0"
"DL","01/01/2018","1938","N804DN","MSP","13:00","13:08","233","221","8","13:32","24","0","0","0","0","0"
"DL","01/01/2018","2040","N185DN","JFK","21:30","22:08","330","314","38","22:25","17","22","0","0","0","0"
"DL","01/01/2018","2119","N844DN","ATL","11:55","11:55","281","249","0","12:08","13","0","0","0","0","0"
"DL","01/01/2018","2198","N952AT","SEA","12:35","12:43","140","116","8","12:55","12","0","0","0","0","0"
"DL","01/01/2018","2209","N907DA","SLC","13:12","13:08","126","103","-4","13:27","19","0","0","0","0","0"
