Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2018","0134","N972AT","DTW","13:45","13:37","95","85","-8","13:47","10","0","0","0","0","0"
"DL","10/01/2018","0380","N929DN","DTW","10:19","10:13","96","84","-6","10:23","10","0","0","0","0","0"
"DL","10/01/2018","0672","N974AT","DTW","18:44","18:42","101","93","-2","18:56","14","0","0","0","0","0"
"DL","10/01/2018","0742","N351NB","LAX","06:51","06:47","274","260","-4","06:59","12","0","0","0","0","0"
"DL","10/01/2018","1066","N672DL","ATL","10:48","10:54","72","68","6","11:17","23","0","0","0","0","0"
"DL","10/01/2018","1173","N937DL","ATL","19:59","19:49","66","59","-10","20:04","15","0","0","0","0","0"
"DL","10/01/2018","1185","N378NW","DTW","17:08","17:06","97","100","-2","17:28","22","0","0","0","0","0"
"DL","10/01/2018","1324","N681DA","ATL","06:40","06:49","84","102","9","07:46","57","9","0","18","0","0"
"DL","10/01/2018","1412","N952DL","ATL","12:44","12:41","65","60","-3","12:56","15","0","0","0","0","0"
"DL","10/01/2018","1644","N950DN","MSP","11:20","11:11","136","122","-9","11:25","14","0","0","0","0","0"
"DL","10/01/2018","1676","N554NW","ATL","14:42","14:41","69","63","-1","15:01","20","0","0","0","0","0"
"DL","10/01/2018","1734","N989DN","DTW","08:33","08:28","108","89","-5","08:38","10","0","0","0","0","0"
"DL","10/01/2018","1795","N997AT","DTW","06:15","06:13","103","96","-2","06:26","13","0","0","0","0","0"
"DL","10/01/2018","2176","N977DL","ATL","17:45","17:41","65","69","-4","18:05","24","0","0","0","0","0"
"DL","10/01/2018","2434","N3767","LAX","18:50","18:51","269","276","1","19:04","13","0","0","0","0","0"
"DL","10/01/2018","2485","N989DL","ATL","05:30","05:26","59","60","-4","05:42","16","0","0","0","0","0"
"DL","10/01/2018","2599","N950DL","ATL","16:02","16:00","67","63","-2","16:19","19","0","0","0","0","0"
"DL","10/01/2018","2640","N903DE","ATL","08:00","07:58","68","77","-2","08:28","30","0","0","0","0","0"
"DL","10/01/2018","2691","N385DN","SLC","16:50","16:49","230","226","-1","16:57","8","0","0","0","0","0"
"DL","10/01/2018","2826","N6700","ATL","18:59","19:08","69","54","9","19:17","9","0","0","0","0","0"
"DL","10/01/2018","2886","N389DA","SEA","07:15","07:20","305","284","5","07:34","14","0","0","0","0","0"
"DL","10/01/2018","2939","N693DL","ATL","09:21","09:18","69","70","-3","09:40","22","0","0","0","0","0"
"DL","10/02/2018","0134","N987DN","DTW","13:45","13:46","95","89","1","13:55","9","0","0","0","0","0"
"DL","10/02/2018","0380","N917DN","DTW","10:19","10:17","96","96","-2","10:30","13","0","0","0","0","0"
"DL","10/02/2018","0672","N924AT","DTW","18:44","18:30","101","92","-14","18:45","15","0","0","0","0","0"
"DL","10/02/2018","0742","N326NB","LAX","06:51","06:53","274","249","2","07:03","10","0","0","0","0","0"
