Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: United Airlines Inc. (UA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","10/01/2018","0286","N14240","EWR","08:55","08:51","128","133","-4","09:01","10","0","0","0","0","0"
"UA","10/01/2018","0299","N411UA","IAD","18:35","18:21","98","91","-14","18:33","12","0","0","0","0","0"
"UA","10/01/2018","0330","N854UA","IAH","11:00","10:53","123","139","-7","11:12","19","0","0","0","0","0"
"UA","10/01/2018","0337","N33266","EWR","17:40","17:39","132","165","-1","17:56","17","0","0","32","0","0"
"UA","10/01/2018","0494","N401UA","IAH","14:51","15:30","134","129","39","15:44","14","0","0","0","0","34"
"UA","10/01/2018","0506","N458UA","ORD","10:10","10:27","101","110","17","10:42","15","4","0","9","0","13"
"UA","10/01/2018","0577","N39418","SFO","06:35","06:27","290","287","-8","06:38","11","0","0","0","0","0"
"UA","10/01/2018","0897","N76288","EWR","06:00","05:58","128","123","-2","06:11","13","0","0","0","0","0"
"UA","10/01/2018","1037","N445UA","ORD","16:58","17:14","105","110","16","17:24","10","14","0","5","0","2"
"UA","10/01/2018","1671","N13720","ORD","18:25","18:20","105","104","-5","18:27","7","0","0","0","0","0"
"UA","10/01/2018","1835","N76254","SFO","17:54","17:51","289","276","-3","18:08","17","0","0","0","0","0"
"UA","10/01/2018","2034","N449UA","EWR","10:47","10:45","133","132","-2","10:56","11","0","0","0","0","0"
"UA","10/02/2018","0286","N24729","EWR","08:55","08:48","128","137","-7","09:04","16","0","0","0","0","0"
"UA","10/02/2018","0299","N432UA","IAD","18:35","18:52","98","87","17","19:02","10","0","0","0","0","0"
"UA","10/02/2018","0330","N848UA","IAH","11:00","11:02","123","115","2","11:12","10","0","0","0","0","0"
"UA","10/02/2018","0337","N78285","EWR","17:40","17:45","132","163","5","18:22","37","0","0","36","0","0"
"UA","10/02/2018","0494","N464UA","IAH","14:51","14:50","134","120","-1","15:07","17","0","0","0","0","0"
"UA","10/02/2018","0506","N852UA","ORD","10:16","10:15","101","94","-1","10:28","13","0","0","0","0","0"
"UA","10/02/2018","0577","N28457","SFO","06:35","06:31","290","274","-4","06:43","12","0","0","0","0","0"
"UA","10/02/2018","0897","N33264","EWR","06:00","06:04","128","125","4","06:16","12","0","0","0","0","0"
"UA","10/02/2018","1037","N17244","ORD","16:58","16:53","106","106","-5","17:15","22","0","0","0","0","0"
"UA","10/02/2018","1671","N23721","ORD","18:25","18:20","105","108","-5","18:39","19","0","0","0","0","0"
"UA","10/02/2018","1835","N76505","SFO","17:54","17:48","289","284","-6","18:02","14","0","0","0","0","0"
