Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","0369","N861NN","DFW","17:30","17:28","129","106","-2","17:40","12","0","0","0","0","0"
"AA","10/01/2018","0635","N723UW","PHL","14:28","14:33","129","131","5","14:44","11","0","0","0","0","0"
"AA","10/01/2018","0853","N713UW","PHL","06:46","06:43","126","121","-3","06:55","12","0","0","0","0","0"
"AA","10/01/2018","0898","N767UW","CLT","12:53","12:50","102","99","-3","13:01","11","0","0","0","0","0"
"AA","10/01/2018","0976","N872NN","LAX","18:31","18:28","269","252","-3","18:38","10","0","0","0","0","0"
"AA","10/01/2018","1009","N921NN","DFW","15:22","15:51","132","117","29","16:07","16","0","0","0","0","0"
"AA","10/01/2018","1166","N903NN","DFW","09:42","09:40","126","117","-2","09:56","16","0","0","0","0","0"
"AA","10/01/2018","1298","N309PC","LAX","06:10","06:05","274","256","-5","06:15","10","0","0","0","0","0"
"AA","10/01/2018","1341","N902NN","CLT","05:32","05:28","99","76","-4","05:46","18","0","0","0","0","0"
"AA","10/01/2018","1670","N105UW","CLT","10:46","10:40","98","66","-6","10:51","11","0","0","0","0","0"
"AA","10/01/2018","1752","N740UW","PHL","12:02","11:56","126","123","-6","12:06","10","0","0","0","0","0"
"AA","10/01/2018","1819","N732US","CLT","09:47","09:53","102","79","6","10:05","12","0","0","0","0","0"
"AA","10/01/2018","1928","N927UW","CLT","07:34","07:43","107","105","9","08:10","27","0","0","0","0","0"
"AA","10/01/2018","2094","N657AW","CLT","16:20","16:20","95","98","0","16:43","23","0","0","0","0","0"
"AA","10/01/2018","2297","N976AN","ORD","07:08","07:01","116","110","-7","07:15","14","0","0","0","0","0"
"AA","10/01/2018","2363","N9615W","DFW","11:47","11:39","126","104","-8","11:49","10","0","0","0","0","0"
"AA","10/01/2018","2502","N895NN","DFW","13:36","13:33","123","119","-3","13:51","18","0","0","0","0","0"
"AA","10/01/2018","2583","N959AN","DFW","07:33","07:33","135","141","0","07:55","22","0","0","0","0","0"
"AA","10/01/2018","2663","N355PU","LAX","16:30","16:28","264","264","-2","16:39","11","0","0","0","0","0"
"AA","10/01/2018","2675","N301PA","DFW","19:15","19:13","126","119","-2","19:33","20","0","0","0","0","0"
"AA","10/01/2018","2787","N845NN","DFW","05:56","05:53","129","117","-3","06:09","16","0","0","0","0","0"
"AA","10/02/2018","0369","N959AN","DFW","17:21","17:20","129","120","-1","17:32","12","0","0","0","0","0"
"AA","10/02/2018","0635","N812AW","PHL","14:28","14:45","129","115","17","14:57","12","0","0","0","0","0"
"AA","10/02/2018","0853","N715UW","PHL","06:46","06:40","126","125","-6","06:50","10","0","0","0","0","0"
"AA","10/02/2018","0898","N754UW","CLT","12:53","12:49","102","84","-4","13:01","12","0","0","0","0","0"
"AA","10/02/2018","1009","N913NN","DFW","15:22","15:28","132","108","6","15:40","12","0","0","0","0","0"
"AA","10/02/2018","1166","N950NN","DFW","09:42","09:36","126","115","-6","09:51","15","0","0","0","0","0"
"AA","10/02/2018","1298","N309PC","LAX","06:10","06:18","274","255","8","06:28","10","0","0","0","0","0"
"AA","10/02/2018","1341","N845NN","CLT","05:32","05:25","99","75","-7","05:39","14","0","0","0","0","0"
"AA","10/02/2018","1670","N121UW","CLT","10:46","10:38","98","69","-8","10:51","13","0","0","0","0","0"
"AA","10/02/2018","1752","N740UW","PHL","12:02","12:01","126","128","-1","12:10","9","0","0","0","0","0"
