Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","01/01/2018","1080","N960DL","ATL","07:10","07:02","95","82","-8","07:13","11","0","0","0","0","0"
"DL","01/01/2018","1423","N986DL","ATL","13:04","15:00","101","82","116","15:10","10","14","0","0","0","83"
"DL","01/01/2018","1570","N961DL","ATL","11:04","11:27","100","94","23","11:46","19","0","0","17","0","0"
"DL","01/01/2018","2084","N896AT","ATL","15:30","15:27","95","87","-3","15:39","12","0","0","0","0","0"
"DL","01/02/2018","0725","N965DN","MSP","15:10","15:24","104","98","14","15:42","18","0","0","0","0","0"
"DL","01/02/2018","1179","N906DL","ATL","06:00","08:36","101","81","156","08:46","10","0","136","0","0","0"
"DL","01/02/2018","1423","N987DL","ATL","13:04","13:11","101","83","7","13:20","9","0","0","0","0","0"
"DL","01/02/2018","1436","N322US","SLC","18:55","18:55","210","182","0","19:06","11","0","0","0","0","0"
"DL","01/02/2018","1570","N899AT","ATL","11:04","11:06","100","82","2","11:16","10","0","0","0","0","0"
"DL","01/02/2018","1834","N926DH","ATL","18:59","19:15","99","82","16","19:24","9","0","0","0","0","0"
"DL","01/02/2018","2084","N608AT","ATL","15:30","15:26","95","90","-4","15:40","14","0","0","0","0","0"
"DL","01/02/2018","2108","N910DE","ATL","09:37","10:34","94","86","57","10:48","14","0","49","0","0","0"
"DL","01/03/2018","1080","N926DH","ATL","07:00","06:53","94","87","-7","07:03","10","0","0","0","0","0"
"DL","01/03/2018","1179","N936DL","ATL","06:00","05:56","99","84","-4","06:08","12","0","0","0","0","0"
"DL","01/03/2018","1423","N373DA","ATL","13:20","13:15","97","88","-5","13:27","12","0","0","0","0","0"
"DL","01/03/2018","1570","N928DN","ATL","11:00","11:07","96","82","7","11:18","11","0","0","0","0","0"
"DL","01/03/2018","1834","N901DA","ATL","19:07","19:40","98","85","33","20:02","22","4","0","0","0","16"
"DL","01/03/2018","1874","N917DN","ATL","09:35","09:32","89","91","-3","09:49","17","0","0","0","0","0"
"DL","01/03/2018","1946","N317NB","SLC","06:15","06:16","210","197","1","06:30","14","0","0","0","0","0"
"DL","01/03/2018","2084","N943DN","ATL","15:40","16:26","100","79","46","16:36","10","14","0","0","0","11"
"DL","01/03/2018","2802","N930AT","DTW","18:57","18:56","97","91","-1","19:12","16","0","0","0","0","0"
