Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","0323","N966TW","DFW","09:36","09:34","119","120","-2","09:45","11","0","0","0","0","0"
"AA","01/01/2018","0707","N803AW","LAX","17:25","00:00","261","0","0","00:00","0","0","0","0","0","0"
"AA","01/01/2018","0791","N700UW","CLT","09:19","09:17","113","105","-2","09:31","14","0","0","0","0","0"
"AA","01/01/2018","0804","N827AW","LAX","06:20","06:13","277","270","-7","06:26","13","0","0","0","0","0"
"AA","01/01/2018","1102","N424AA","ORD","09:57","09:51","83","88","-6","10:12","21","0","0","0","0","0"
"AA","01/01/2018","1350","N9624T","DFW","11:35","12:03","118","105","28","12:15","12","0","0","0","0","15"
"AA","01/01/2018","1442","N925AN","DFW","08:00","08:28","125","108","28","08:43","15","0","0","0","0","0"
"AA","01/01/2018","1572","N990NN","PHX","07:30","07:26","228","214","-4","07:40","14","0","0","0","0","0"
"AA","01/01/2018","1585","N967TW","ORD","07:06","07:00","90","74","-6","07:13","13","0","0","0","0","0"
"AA","01/01/2018","1873","N721UW","CLT","07:10","07:25","120","105","15","07:35","10","0","0","0","0","0"
"AA","01/01/2018","1952","N807AW","PHX","14:20","14:19","209","203","-1","14:30","11","0","0","0","0","0"
"AA","01/01/2018","2067","N708UW","CLT","14:30","14:32","112","100","2","14:44","12","0","0","0","0","0"
"AA","01/01/2018","2091","N756US","PHX","20:40","20:30","211","214","-10","20:38","8","0","0","0","0","0"
"AA","01/01/2018","2244","N964TW","DFW","21:13","21:04","116","122","-9","21:15","11","0","0","0","0","0"
"AA","01/01/2018","2344","N966AN","DFW","19:15","19:26","120","134","11","20:01","35","8","0","14","0","3"
"AA","01/01/2018","2700","N9016","MIA","18:03","19:24","167","181","81","19:33","9","24","0","14","0","57"
"AA","01/02/2018","0322","N9625W","DFW","06:01","05:56","124","117","-5","06:21","25","0","0","0","0","0"
"AA","01/02/2018","0323","N424AA","DFW","09:36","09:44","119","103","8","09:54","10","0","0","0","0","0"
"AA","01/02/2018","0707","N835AW","LAX","17:25","17:27","261","226","2","17:37","10","0","0","0","0","0"
"AA","01/02/2018","0804","N763US","LAX","06:20","06:21","277","246","1","06:38","17","0","0","0","0","0"
"AA","01/02/2018","1102","N9618A","ORD","09:40","10:33","83","68","53","10:46","13","35","0","0","0","3"
"AA","01/02/2018","1350","N9625W","DFW","11:35","12:27","118","114","52","12:41","14","0","0","0","0","48"
"AA","01/02/2018","1442","N801NN","DFW","08:00","09:12","125","94","72","09:22","10","41","0","0","0","0"
"AA","01/02/2018","1475","N70425","ORD","06:04","05:56","91","107","-8","06:11","15","0","0","0","0","0"
"AA","01/02/2018","1572","N980NN","PHX","07:30","08:22","228","192","52","08:35","13","16","0","0","0","0"
"AA","01/02/2018","1585","N9615W","ORD","07:06","07:03","90","93","-3","07:17","14","0","0","0","0","0"
"AA","01/02/2018","1873","N704US","CLT","07:10","07:11","120","127","1","07:30","19","0","0","0","0","0"
"AA","01/02/2018","1952","N825AW","PHX","14:20","14:48","209","182","28","14:58","10","0","0","0","0","0"
"AA","01/02/2018","2061","N756US","CLT","05:54","05:51","111","102","-3","06:02","11","0","0","0","0","0"
"AA","01/02/2018","2067","N725UW","CLT","14:30","14:21","112","112","-9","14:31","10","0","0","0","0","0"
"AA","01/02/2018","2091","N715UW","PHX","20:40","20:34","211","192","-6","20:44","10","0","0","0","0","0"
"AA","01/02/2018","2287","N9616G","ORD","05:01","04:56","79","74","-5","05:13","17","0","0","0","0","0"
"AA","01/02/2018","2344","N922NN","DFW","19:15","19:40","120","117","25","19:52","12","0","0","0","0","22"
"AA","01/02/2018","2700","N9015D","MIA","18:03","18:24","167","177","21","18:38","14","0","0","10","0","21"
"AA","01/03/2018","0322","N972TW","DFW","06:01","05:58","124","105","-3","06:09","11","0","0","0","0","0"
"AA","01/03/2018","0323","N7541A","DFW","09:36","09:27","119","114","-9","09:41","14","0","0","0","0","0"
"AA","01/03/2018","0707","N755US","LAX","17:25","17:46","261","254","21","18:01","15","0","0","0","0","0"
"AA","01/03/2018","0804","N760US","LAX","06:20","06:20","277","257","0","06:32","12","0","0","0","0","0"
"AA","01/03/2018","1102","N971TW","ORD","09:40","09:45","83","73","5","09:57","12","0","0","0","0","0"
"AA","01/03/2018","1350","N972TW","DFW","11:35","11:38","118","97","3","11:51","13","0","0","0","0","0"
"AA","01/03/2018","1442","N930AN","DFW","08:00","09:00","125","94","60","09:13","13","29","0","0","0","0"
"AA","01/03/2018","1475","N9616G","ORD","06:04","05:58","91","98","-6","06:11","13","0","0","0","0","0"
"AA","01/03/2018","1572","N944NN","PHX","07:30","08:26","228","202","56","08:40","14","30","0","0","0","0"
"AA","01/03/2018","1585","N962TW","ORD","07:06","07:03","90","104","-3","07:24","21","0","0","0","0","0"
"AA","01/03/2018","1873","N713UW","CLT","07:10","07:06","120","108","-4","07:19","13","0","0","0","0","0"
"AA","01/03/2018","1952","N804AW","PHX","14:20","15:01","209","185","41","15:10","9","3","0","0","0","14"
"AA","01/03/2018","2061","N715UW","CLT","05:54","05:47","111","106","-7","05:56","9","0","0","0","0","0"
"AA","01/03/2018","2067","N714US","CLT","14:30","14:30","112","108","0","14:46","16","0","0","0","0","0"
"AA","01/03/2018","2287","N7541A","ORD","05:01","04:52","79","75","-9","05:08","16","0","0","0","0","0"
"AA","01/03/2018","2344","N941NN","DFW","19:15","19:17","120","114","2","19:39","22","0","0","0","0","0"
"AA","01/03/2018","2700","N9016","MIA","18:03","17:58","167","166","-5","18:11","13","0","0","0","0","0"
"AA","01/04/2018","0322","N9681B","DFW","06:01","05:59","124","110","-2","06:18","19","0","0","0","0","0"
"AA","01/04/2018","0323","N590AA","DFW","09:36","09:30","119","104","-6","09:44","14","0","0","0","0","0"
"AA","01/04/2018","0707","N961NN","LAX","17:25","23:02","261","273","337","23:41","39","7","0","12","0","330"
"AA","01/04/2018","0804","N835AW","LAX","06:20","06:13","277","272","-7","06:33","20","0","0","0","0","0"
"AA","01/04/2018","1102","N963TW","ORD","09:40","09:45","83","82","5","10:07","22","0","0","0","0","0"
"AA","01/04/2018","1350","N9681B","DFW","11:35","11:32","118","108","-3","11:46","14","0","0","0","0","0"
"AA","01/04/2018","1442","N966NN","DFW","08:00","07:58","125","101","-2","08:09","11","0","0","0","0","0"
"AA","01/04/2018","1475","N7547A","ORD","06:04","06:24","91","88","20","06:47","23","17","0","0","0","0"
"AA","01/04/2018","1572","N358PW","PHX","07:30","07:30","228","228","0","07:57","27","0","0","0","0","0"
"AA","01/04/2018","1585","N9630A","ORD","07:06","00:00","90","0","0","00:00","0","0","0","0","0","0"
"AA","01/04/2018","1873","N712US","CLT","07:10","07:02","120","137","-8","07:45","43","0","0","0","0","0"
"AA","01/04/2018","1952","N753US","PHX","14:20","14:48","209","184","28","15:00","12","0","0","0","0","0"
"AA","01/04/2018","2061","N709UW","CLT","05:54","05:54","111","112","0","06:15","21","0","0","0","0","0"
"AA","01/04/2018","2067","N724UW","CLT","14:30","14:23","112","90","-7","14:31","8","0","0","0","0","0"
