Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Delta Airlines Inc. (DL)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","04/01/2018","0140","N943DN","MSP","11:05","11:00","97","79","-5","11:07","7","0","0","0","0","0"
"DL","04/01/2018","0932","N991AT","DTW","13:45","13:37","93","81","-8","13:47","10","0","0","0","0","0"
"DL","04/01/2018","1080","N840DN","ATL","07:00","06:53","94","86","-7","07:04","11","0","0","0","0","0"
"DL","04/01/2018","1179","N310DE","ATL","06:00","05:52","93","94","-8","06:08","16","0","0","0","0","0"
"DL","04/01/2018","1199","N905DL","ATL","17:25","18:03","90","116","38","18:43","40","0","38","26","0","0"
"DL","04/01/2018","1332","N336NB","MSP","17:17","17:23","96","120","6","18:08","45","0","6","24","0","0"
"DL","04/01/2018","1423","N971DL","ATL","13:05","12:53","88","84","-12","13:07","14","0","0","0","0","0"
"DL","04/01/2018","1570","N910DL","ATL","11:05","10:54","93","78","-11","11:05","11","0","0","0","0","0"
"DL","04/01/2018","1834","N994DL","ATL","19:10","23:06","95","85","236","23:17","11","226","0","0","0","0"
"DL","04/01/2018","2084","N654DL","ATL","15:25","01:34","88","68","609","01:40","6","589","0","0","0","0"
"DL","04/01/2018","2309","N956DL","ATL","09:33","09:20","85","77","-13","09:29","9","0","0","0","0","0"
"DL","04/01/2018","2420","N958AT","DTW","18:49","19:33","90","106","44","20:09","36","0","44","16","0","0"
"DL","04/01/2018","2800","N314NB","SLC","08:00","07:54","204","203","-6","08:04","10","0","0","0","0","0"
"DL","04/02/2018","0140","N953DN","MSP","11:05","11:01","97","87","-4","11:10","9","0","0","0","0","0"
"DL","04/02/2018","0932","N945AT","DTW","13:45","13:38","93","76","-7","13:47","9","0","0","0","0","0"
"DL","04/02/2018","1080","N929DN","ATL","07:00","06:59","94","102","-1","07:26","27","0","0","0","0","0"
"DL","04/02/2018","1129","N946DN","MSP","19:49","19:41","94","91","-8","19:49","8","0","0","0","0","0"
"DL","04/02/2018","1179","N845DN","ATL","06:00","05:58","93","126","-2","06:50","52","0","0","31","0","0"
"DL","04/02/2018","1199","N927DA","ATL","17:25","17:22","90","84","-3","17:32","10","0","0","0","0","0"
"DL","04/02/2018","1207","N946AT","MSP","17:17","19:32","96","86","135","19:42","10","0","0","0","0","125"
"DL","04/02/2018","1423","N955DL","ATL","13:05","13:05","88","83","0","13:16","11","0","0","0","0","0"
"DL","04/02/2018","1570","N938DL","ATL","11:05","11:07","93","87","2","11:26","19","0","0","0","0","0"
"DL","04/02/2018","1834","N918DL","ATL","19:10","19:06","95","97","-4","19:16","10","0","0","0","0","0"
"DL","04/02/2018","2084","N907DE","ATL","15:20","15:53","96","81","33","16:02","9","1","0","0","0","17"
"DL","04/02/2018","2309","N909DE","ATL","09:43","10:01","85","99","18","10:27","26","0","5","14","0","13"
"DL","04/02/2018","2420","N969AT","DTW","18:49","18:44","90","79","-5","18:54","10","0","0","0","0","0"
"DL","04/02/2018","2800","N315NB","SLC","08:00","07:56","204","209","-4","08:17","21","0","0","0","0","0"
"DL","04/02/2018","2919","N667DN","MSP","09:10","09:21","95","95","11","09:35","14","0","0","0","0","0"
"DL","04/03/2018","0140","N997AT","MSP","11:00","11:23","97","84","23","11:31","8","0","0","0","0","0"
"DL","04/03/2018","0164","N933DN","MSP","17:11","17:56","96","140","45","18:57","61","0","0","59","0","30"
"DL","04/03/2018","1080","N888DU","ATL","07:00","06:54","97","102","-6","07:08","14","0","0","0","0","0"
"DL","04/03/2018","1179","N945DN","ATL","06:00","05:54","93","100","-6","06:08","14","0","0","0","0","0"
"DL","04/03/2018","1199","N833DN","ATL","17:01","18:27","102","98","86","18:36","9","0","0","0","0","82"
"DL","04/03/2018","1423","N988DL","ATL","13:10","13:04","88","95","-6","13:16","12","0","0","0","0","0"
"DL","04/03/2018","1570","N979DL","ATL","11:06","11:18","90","82","12","11:29","11","0","0","0","0","0"
"DL","04/03/2018","1834","N997DL","ATL","19:08","19:01","96","104","-7","19:11","10","0","0","0","0","0"
"DL","04/03/2018","1959","N371NW","DTW","18:50","18:40","92","97","-10","18:50","10","0","0","0","0","0"
"DL","04/03/2018","2084","N3760C","ATL","15:25","15:24","88","0","-1","15:46","22","0","0","0","0","0"
"DL","04/03/2018","2204","N819DN","ATL","09:45","09:41","90","80","-4","09:52","11","0","0","0","0","0"
"DL","04/03/2018","2800","N365NB","SLC","06:44","06:35","191","197","-9","06:48","13","0","0","0","0","0"
"DL","04/03/2018","2919","N953DN","MSP","09:10","09:34","95","94","24","09:45","11","0","0","0","0","23"
"DL","04/04/2018","0140","N933DN","MSP","11:00","10:53","97","96","-7","11:07","14","0","0","0","0","0"
"DL","04/04/2018","0164","N906DA","MSP","17:11","17:10","96","90","-1","17:18","8","0","0","0","0","0"
"DL","04/04/2018","1080","N827DN","ATL","07:00","06:58","97","92","-2","07:14","16","0","0","0","0","0"
"DL","04/04/2018","1179","N887DN","ATL","06:00","05:54","95","99","-6","06:08","14","0","0","0","0","0"
"DL","04/04/2018","1199","N875DN","ATL","17:01","16:57","102","85","-4","17:09","12","0","0","0","0","0"
"DL","04/04/2018","1423","N972DL","ATL","13:10","13:05","88","86","-5","13:18","13","0","0","0","0","0"
"DL","04/04/2018","1570","N908DL","ATL","11:02","10:55","90","83","-7","11:07","12","0","0","0","0","0"
"DL","04/04/2018","1834","N906DE","ATL","19:08","19:00","96","86","-8","19:08","8","0","0","0","0","0"
"DL","04/04/2018","1959","N341NW","DTW","18:50","18:43","92","88","-7","18:53","10","0","0","0","0","0"
"DL","04/04/2018","2084","N3756","ATL","15:25","15:30","88","88","5","15:41","11","0","0","0","0","0"
"DL","04/04/2018","2204","N819DN","ATL","09:45","09:39","90","83","-6","09:50","11","0","0","0","0","0"
"DL","04/04/2018","2800","N332NB","SLC","06:44","06:37","191","193","-7","06:48","11","0","0","0","0","0"
"DL","04/04/2018","2919","N940DN","MSP","09:10","09:03","95","96","-7","09:14","11","0","0","0","0","0"
"DL","04/05/2018","0140","N906DA","MSP","11:00","10:54","97","86","-6","11:03","9","0","0","0","0","0"
