Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0322","N926AN","DFW","06:00","05:47","120","112","-13","06:03","16","0","0","0","0","0"
"AA","04/01/2018","0323","N984TW","DFW","09:25","09:14","117","113","-11","09:27","13","0","0","0","0","0"
"AA","04/01/2018","0707","N752US","LAX","16:35","16:29","260","279","-6","17:29","60","0","0","0","0","0"
"AA","04/01/2018","0804","N766US","LAX","06:20","06:12","275","268","-8","06:20","8","0","0","0","0","0"
"AA","04/01/2018","1038","N9628W","DFW","11:40","11:23","115","110","-17","11:38","15","0","0","0","0","0"
"AA","04/01/2018","1102","N7547A","ORD","09:40","09:34","81","70","-6","09:45","11","0","0","0","0","0"
"AA","04/01/2018","1371","N905NN","PHX","14:47","15:06","203","204","19","15:20","14","19","0","1","0","0"
"AA","04/01/2018","1442","N870NN","DFW","07:30","07:26","125","119","-4","07:38","12","0","0","0","0","0"
"AA","04/01/2018","1475","N7528A","ORD","06:05","05:55","85","73","-10","06:13","18","0","0","0","0","0"
"AA","04/01/2018","1585","N9630A","ORD","07:14","06:59","86","62","-15","07:12","13","0","0","0","0","0"
"AA","04/01/2018","1873","N721UW","CLT","06:00","05:50","109","98","-10","06:00","10","0","0","0","0","0"
"AA","04/01/2018","1893","N705UW","CLT","18:22","18:30","108","124","8","19:08","38","8","0","16","0","0"
"AA","04/01/2018","1935","N806AW","CLT","12:55","12:49","104","97","-6","13:00","11","0","0","0","0","0"
"AA","04/01/2018","2075","N703UW","MIA","18:07","18:00","166","170","-7","18:32","32","0","0","0","0","0"
"AA","04/01/2018","2344","N833NN","DFW","19:10","21:29","116","120","139","22:00","31","35","0","4","0","104"
"AA","04/01/2018","2778","N9629H","DFW","12:35","12:26","112","100","-9","12:37","11","0","0","0","0","0"
"AA","04/01/2018","2781","N309PC","CLT","07:50","07:41","110","103","-9","07:54","13","0","0","0","0","0"
"AA","04/01/2018","2788","N955AN","PHX","18:00","18:42","206","234","42","19:29","47","42","0","28","0","0"
"AA","04/01/2018","2802","N808NN","DFW","14:50","14:45","114","107","-5","15:00","15","0","0","0","0","0"
"AA","04/02/2018","0322","N7528A","DFW","06:00","05:55","120","121","-5","06:14","19","0","0","0","0","0"
"AA","04/02/2018","0323","N70425","DFW","09:25","09:14","117","158","-11","10:21","67","0","0","30","0","0"
"AA","04/02/2018","0707","N817AW","LAX","16:35","16:35","260","248","0","16:46","11","0","0","0","0","0"
"AA","04/02/2018","0798","N712US","PHL","13:37","13:29","128","133","-8","13:42","13","0","0","0","0","0"
"AA","04/02/2018","0804","N760US","LAX","06:20","06:14","275","294","-6","06:48","34","0","0","0","0","0"
"AA","04/02/2018","1038","N982TW","DFW","11:40","11:34","115","113","-6","11:46","12","0","0","0","0","0"
"AA","04/02/2018","1102","N979TW","ORD","09:40","09:36","81","75","-4","09:51","15","0","0","0","0","0"
"AA","04/02/2018","1371","N959NN","PHX","14:47","15:28","203","178","41","15:36","8","2","0","0","0","14"
"AA","04/02/2018","1442","N958NN","DFW","07:30","07:22","125","142","-8","08:01","39","0","0","0","0","0"
"AA","04/02/2018","1475","N966TW","ORD","06:05","05:57","85","86","-8","06:27","30","0","0","0","0","0"
