Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0016","N114NN","JFK","11:20","11:31","358","385","11","12:07","36","9","0","27","0","2"
"AA","06/01/2018","0018","N110AN","JFK","23:30","23:25","353","353","-5","23:54","29","0","0","0","0","0"
"AA","06/01/2018","0020","N112AN","JFK","15:30","15:25","345","348","-5","15:48","23","0","0","0","0","0"
"AA","06/01/2018","0159","N902AA","DFW","09:56","09:52","217","185","-4","10:03","11","0","0","0","0","0"
"AA","06/01/2018","0251","N992AU","MIA","08:00","07:54","340","333","-6","08:20","26","0","0","0","0","0"
"AA","06/01/2018","0276","N111ZM","JFK","22:10","22:15","351","328","5","22:37","22","0","0","0","0","0"
"AA","06/01/2018","0310","N909AM","DFW","07:45","07:40","218","194","-5","07:55","15","0","0","0","0","0"
"AA","06/01/2018","0349","N910AU","DFW","15:49","15:47","217","198","-2","16:02","15","0","0","0","0","0"
"AA","06/01/2018","0363","N109NN","JFK","08:00","00:00","347","0","0","00:00","0","0","0","0","0","0"
"AA","06/01/2018","0434","N157UW","PHL","22:53","22:55","332","344","2","23:26","31","0","0","0","0","0"
"AA","06/01/2018","0526","N581UW","PHL","00:43","01:36","321","320","53","02:06","30","7","0","0","0","45"
"AA","06/01/2018","0556","N167US","MIA","21:28","21:36","339","330","8","22:09","33","0","0","0","0","0"
"AA","06/01/2018","0649","N915US","PHX","06:00","00:00","123","0","0","00:00","0","0","0","0","0","0"
"AA","06/01/2018","0662","N540UW","CLT","11:01","12:07","319","302","66","12:42","35","48","0","0","0","1"
"AA","06/01/2018","0776","N915US","CLT","06:01","07:24","313","281","83","07:36","12","51","0","0","0","0"
"AA","06/01/2018","0841","N653AW","PHL","10:57","11:43","338","316","46","12:13","30","0","0","0","0","24"
"AA","06/01/2018","0880","N389AA","PHL","08:42","13:21","328","313","279","13:49","28","264","0","0","0","0"
"AA","06/01/2018","1009","N155NN","DFW","00:35","00:33","208","194","-2","00:49","16","0","0","0","0","0"
"AA","06/01/2018","1290","N935NN","ORD","11:00","11:08","277","266","8","11:37","29","0","0","0","0","0"
"AA","06/01/2018","1454","N157AA","DFW","06:00","05:58","221","197","-2","06:20","22","0","0","0","0","0"
"AA","06/01/2018","1487","N877NN","ORD","23:55","23:52","254","250","-3","00:09","17","0","0","0","0","0"
"AA","06/01/2018","1612","N928AN","MIA","12:50","12:48","339","313","-2","13:05","17","0","0","0","0","0"
"AA","06/01/2018","1703","N546UW","PHX","17:05","16:57","127","135","-8","17:14","17","0","0","0","0","0"
"AA","06/01/2018","1799","N914UY","CLT","22:15","22:36","303","301","21","23:07","31","19","0","0","0","0"
"AA","06/01/2018","1858","N981UY","CLT","00:10","00:57","304","300","47","01:10","13","0","0","0","0","43"
"AA","06/01/2018","1880","N970UY","PHX","12:05","12:08","122","121","3","12:28","20","0","0","0","0","0"
"AA","06/01/2018","1958","N162UW","CLT","07:01","00:00","314","0","0","00:00","0","0","0","0","0","0"
"AA","06/01/2018","1976","N199UW","PHL","06:00","05:57","335","327","-3","06:25","28","0","0","0","0","0"
"AA","06/01/2018","2045","N916US","CLT","13:00","13:57","315","315","57","14:24","27","0","0","0","0","57"
"AA","06/01/2018","2070","N152UW","DFW","13:35","13:34","224","203","-1","14:00","26","0","0","0","0","0"
"AA","06/01/2018","2106","N580UW","PHX","15:35","15:32","119","125","-3","15:52","20","0","0","0","0","0"
"AA","06/01/2018","2207","N145AN","DFW","13:55","13:49","224","204","-6","14:11","22","0","0","0","0","0"
"AA","06/01/2018","2234","N996AN","ORD","14:20","14:21","271","253","1","14:49","28","0","0","0","0","0"
"AA","06/01/2018","2238","N989AU","DFW","11:58","12:19","218","217","21","12:57","38","4","0","0","0","16"
"AA","06/01/2018","2349","N997NN","ORD","08:00","07:53","266","257","-7","08:12","19","0","0","0","0","0"
"AA","06/01/2018","2352","N146AA","DFW","17:25","17:18","210","197","-7","17:34","16","0","0","0","0","0"
"AA","06/01/2018","2594","N991NN","ORD","09:25","09:21","264","243","-4","09:38","17","0","0","0","0","0"
"AA","06/01/2018","2669","N161AA","MIA","22:55","22:55","339","346","0","23:24","29","0","0","0","0","0"
"AA","06/01/2018","2805","N841NN","PHX","09:15","11:06","125","133","111","11:42","36","39","0","8","0","72"
"AA","06/02/2018","0016","N115NN","JFK","11:20","11:18","358","342","-2","11:35","17","0","0","0","0","0"
"AA","06/02/2018","0018","N110AN","JFK","23:30","23:27","353","332","-3","23:48","21","0","0","0","0","0"
"AA","06/02/2018","0159","N998AN","DFW","09:56","09:51","217","201","-5","10:03","12","0","0","0","0","0"
"AA","06/02/2018","0251","N136AN","MIA","08:00","08:06","340","326","6","08:23","17","0","0","0","0","0"
"AA","06/02/2018","0310","N150NN","DFW","07:45","07:41","218","209","-4","08:01","20","0","0","0","0","0"
"AA","06/02/2018","0349","N144AN","DFW","15:49","15:46","217","201","-3","16:00","14","0","0","0","0","0"
"AA","06/02/2018","0363","N103NN","JFK","08:00","08:09","347","375","9","08:40","31","9","0","28","0","0"
"AA","06/02/2018","0434","N973UY","PHL","22:53","22:48","332","314","-5","23:05","17","0","0","0","0","0"
"AA","06/02/2018","0526","N919US","PHL","00:43","01:05","321","332","22","01:20","15","0","0","11","0","22"
"AA","06/02/2018","0556","N194UW","MIA","21:28","22:17","339","356","49","22:56","39","49","0","17","0","0"
"AA","06/02/2018","0649","N186US","PHX","06:00","05:57","123","120","-3","06:18","21","0","0","0","0","0"
"AA","06/02/2018","0776","N572UW","CLT","06:01","05:55","313","305","-6","06:19","24","0","0","0","0","0"
"AA","06/02/2018","0841","N657AW","PHL","10:57","10:53","338","343","-4","11:16","23","0","0","0","0","0"
"AA","06/02/2018","0880","N281AY","PHL","08:42","08:50","328","377","8","09:05","15","8","0","49","0","0"
"AA","06/02/2018","1009","N928AM","DFW","00:35","00:32","208","188","-3","00:43","11","0","0","0","0","0"
"AA","06/02/2018","1290","N342PM","ORD","11:00","10:58","277","256","-2","11:25","27","0","0","0","0","0"
"AA","06/02/2018","1454","N145AN","DFW","06:00","05:56","221","248","-4","06:55","59","0","0","23","0","0"
"AA","06/02/2018","1487","N963NN","ORD","23:55","23:58","254","232","3","00:11","13","0","0","0","0","0"
"AA","06/02/2018","1612","N822NN","MIA","12:50","12:55","339","324","5","13:12","17","0","0","0","0","0"
"AA","06/02/2018","1703","N176UW","PHX","07:00","07:34","140","112","34","07:45","11","0","0","0","0","0"
"AA","06/02/2018","1799","N573UW","CLT","22:15","22:14","303","290","-1","22:30","16","0","0","0","0","0"
"AA","06/02/2018","1858","N534UW","CLT","00:10","00:09","304","296","-1","00:24","15","0","0","0","0","0"
"AA","06/02/2018","1880","N918US","PHX","12:05","11:57","122","119","-8","12:08","11","0","0","0","0","0"
"AA","06/02/2018","1976","N927UW","PHL","06:00","05:55","335","319","-5","06:08","13","0","0","0","0","0"
"AA","06/02/2018","2045","N523UW","CLT","13:00","12:59","315","309","-1","13:27","28","0","0","0","0","0"
"AA","06/02/2018","2070","N176UW","DFW","13:35","13:28","224","228","-7","13:49","21","0","0","0","0","0"
"AA","06/02/2018","2106","N972UY","PHX","15:35","15:23","119","126","-12","15:45","22","0","0","0","0","0"
"AA","06/02/2018","2207","N152AA","DFW","13:55","13:48","224","208","-7","14:02","14","0","0","0","0","0"
"AA","06/02/2018","2234","N989AU","ORD","14:20","15:12","271","243","52","15:26","14","0","0","12","0","12"
"AA","06/02/2018","2238","N909AM","DFW","11:58","11:56","218","198","-2","12:10","14","0","0","0","0","0"
"AA","06/02/2018","2349","N929NN","ORD","08:00","07:53","266","252","-7","08:15","22","0","0","0","0","0"
"AA","06/02/2018","2594","N989NN","ORD","09:25","09:23","264","237","-2","09:39","16","0","0","0","0","0"
"AA","06/02/2018","2669","N164NN","MIA","22:55","23:03","339","330","8","23:21","18","0","0","0","0","0"
"AA","06/02/2018","2805","N868NN","PHX","09:15","09:08","125","107","-7","09:21","13","0","0","0","0","0"
"AA","06/03/2018","0016","N111ZM","JFK","11:20","11:14","358","381","-6","11:36","22","0","0","17","0","0"
"AA","06/03/2018","0018","N113AN","JFK","23:30","00:50","353","318","80","01:04","14","1","0","0","0","44"
"AA","06/03/2018","0020","N115NN","JFK","15:30","15:27","345","319","-3","15:36","9","0","0","0","0","0"
"AA","06/03/2018","0159","N150NN","DFW","09:56","09:50","217","200","-6","10:06","16","0","0","0","0","0"
"AA","06/03/2018","0251","N134AN","MIA","08:00","07:54","340","350","-6","08:25","31","0","0","0","0","0"
