Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Delta Airlines Inc. (DL)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","06/01/2018","0164","N349NW","MSP","19:44","19:37","91","83","-7","19:50","13","0","0","0","0","0"
"DL","06/01/2018","0174","N902DE","ATL","13:04","14:19","94","110","75","14:33","14","0","0","91","0","0"
"DL","06/01/2018","0776","N3759","MSP","17:13","17:11","95","92","-2","17:22","11","0","0","0","0","0"
"DL","06/01/2018","1080","N863DN","ATL","07:10","07:05","89","94","-5","07:14","9","0","0","0","0","0"
"DL","06/01/2018","1179","N815DN","ATL","06:00","06:00","91","115","0","06:10","10","0","0","24","0","0"
"DL","06/01/2018","1199","N844DN","ATL","17:00","18:49","104","95","109","19:10","21","0","0","22","0","78"
"DL","06/01/2018","1310","N934AT","DTW","13:45","13:40","87","98","-5","13:53","13","0","0","0","0","0"
"DL","06/01/2018","1570","N986DL","ATL","11:07","11:46","90","122","39","11:55","9","39","0","32","0","0"
"DL","06/01/2018","1834","N901DE","ATL","19:05","19:42","91","135","37","19:58","16","5","0","46","0","30"
"DL","06/01/2018","2084","N953DL","ATL","15:20","18:20","90","84","180","18:30","10","0","0","161","0","13"
"DL","06/01/2018","2204","N872DN","ATL","09:45","09:44","89","82","-1","09:53","9","0","0","0","0","0"
"DL","06/01/2018","2425","N301NB","DTW","18:40","18:34","89","85","-6","18:48","14","0","0","0","0","0"
"DL","06/01/2018","2800","N328NW","SLC","07:59","07:59","195","195","0","08:10","11","0","0","0","0","0"
