Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0196","N9622A","DFW","17:20","18:08","119","102","48","18:19","11","31","0","0","0","0"
"AA","06/01/2018","0322","N912AN","DFW","06:00","06:08","118","105","8","06:24","16","0","0","0","0","0"
"AA","06/01/2018","0536","N950UW","PHL","06:30","06:28","137","125","-2","06:38","10","0","0","0","0","0"
"AA","06/01/2018","0652","N819AW","PHX","14:35","14:32","199","196","-3","14:47","15","0","0","0","0","0"
"AA","06/01/2018","0738","N705UW","CLT","07:25","09:22","112","106","117","09:33","11","111","0","0","0","0"
"AA","06/01/2018","0804","N749US","LAX","06:37","06:34","261","259","-3","06:45","11","0","0","0","0","0"
"AA","06/01/2018","0829","N817AW","LAX","16:44","16:47","249","229","3","16:57","10","0","0","0","0","0"
"AA","06/01/2018","1102","N9629H","DFW","11:19","11:12","111","97","-7","11:23","11","0","0","0","0","0"
"AA","06/01/2018","1368","N9010R","MIA","05:52","05:51","169","185","-1","06:01","10","0","0","15","0","0"
"AA","06/01/2018","1376","N971TW","DFW","09:30","09:23","118","104","-7","09:41","18","0","0","0","0","0"
"AA","06/01/2018","1442","N969TW","DFW","07:55","07:43","122","99","-12","07:55","12","0","0","0","0","0"
"AA","06/01/2018","1475","N9677W","ORD","06:05","11:01","80","87","296","11:15","14","296","0","7","0","0"
"AA","06/01/2018","1585","N335PH","ORD","07:35","07:33","84","99","-2","07:46","13","0","0","0","0","0"
"AA","06/01/2018","1673","N959UW","PHL","13:35","13:30","135","148","-5","13:48","18","0","0","0","0","0"
"AA","06/01/2018","1769","N828AW","CLT","14:31","14:26","110","113","-5","14:37","11","0","0","0","0","0"
"AA","06/01/2018","1895","N127UW","CLT","10:57","10:52","112","105","-5","11:02","10","0","0","0","0","0"
"AA","06/01/2018","2306","N342PM","ORD","09:35","09:37","80","84","2","10:01","24","0","0","0","0","0"
"AA","06/01/2018","2344","N916AN","DFW","19:25","00:07","115","90","282","00:18","11","0","0","0","0","257"
"AA","06/01/2018","2378","N968AN","PHX","07:30","07:25","224","235","-5","07:40","15","0","0","0","0","0"
"AA","06/01/2018","2495","N960AN","CLT","06:00","06:02","110","111","2","06:15","13","0","0","0","0","0"
"AA","06/01/2018","2516","N9629H","DFW","15:30","15:56","121","109","26","16:12","16","0","0","0","0","0"
"AA","06/01/2018","2700","N5007E","MIA","18:14","18:14","166","156","0","18:22","8","0","0","0","0","0"
"AA","06/02/2018","0196","N979TW","DFW","17:20","17:14","119","112","-6","17:25","11","0","0","0","0","0"
"AA","06/02/2018","0322","N884NN","DFW","06:00","06:01","118","114","1","06:19","18","0","0","0","0","0"
"AA","06/02/2018","0536","N955UW","PHL","06:30","06:25","137","137","-5","06:38","13","0","0","0","0","0"
"AA","06/02/2018","0622","N828AW","CLT","07:25","07:55","112","104","30","08:06","11","22","0","0","0","0"
"AA","06/02/2018","0652","N767UW","PHX","14:35","14:26","199","205","-9","14:40","14","0","0","0","0","0"
"AA","06/02/2018","0804","N749US","LAX","06:37","06:31","261","285","-6","06:49","18","0","0","18","0","0"
"AA","06/02/2018","0829","N746UW","LAX","16:44","16:44","249","229","0","16:57","13","0","0","0","0","0"
"AA","06/02/2018","1102","N9630A","DFW","11:19","11:14","111","110","-5","11:31","17","0","0","0","0","0"
"AA","06/02/2018","1368","N8030F","MIA","05:52","05:51","169","150","-1","06:02","11","0","0","0","0","0"
"AA","06/02/2018","1442","N555AN","DFW","07:55","07:53","122","109","-2","08:08","15","0","0","0","0","0"
"AA","06/02/2018","1475","N979TW","ORD","06:05","06:05","80","70","0","06:22","17","0","0","0","0","0"
"AA","06/02/2018","1585","N301NW","ORD","07:35","07:36","84","71","1","07:49","13","0","0","0","0","0"
"AA","06/02/2018","1673","N945UW","PHL","13:35","13:29","135","173","-6","13:44","15","0","0","32","0","0"
"AA","06/02/2018","1895","N722US","CLT","10:57","10:46","112","101","-11","10:55","9","0","0","0","0","0"
"AA","06/02/2018","2306","N7547A","ORD","09:35","09:31","80","69","-4","09:44","13","0","0","0","0","0"
"AA","06/02/2018","2378","N930NN","PHX","07:30","09:19","224","215","109","09:31","12","100","0","0","0","0"
"AA","06/02/2018","2495","N996NN","CLT","06:00","06:04","110","112","4","06:20","16","0","0","0","0","0"
"AA","06/02/2018","2516","N984TW","DFW","15:30","15:34","121","102","4","15:51","17","0","0","0","0","0"
"AA","06/03/2018","0196","N969TW","DFW","17:20","17:14","119","101","-6","17:26","12","0","0","0","0","0"
"AA","06/03/2018","0322","N985NN","DFW","06:00","05:53","118","112","-7","06:06","13","0","0","0","0","0"
"AA","06/03/2018","0536","N967UW","PHL","06:30","06:24","137","135","-6","06:35","11","0","0","0","0","0"
"AA","06/03/2018","0652","N801AW","PHX","14:35","14:26","199","206","-9","14:45","19","0","0","0","0","0"
"AA","06/03/2018","0738","N747UW","CLT","07:25","07:24","112","111","-1","07:37","13","0","0","0","0","0"
"AA","06/03/2018","0804","N749US","LAX","06:37","06:30","261","281","-7","06:44","14","0","0","0","0","0"
"AA","06/03/2018","0829","N760US","LAX","16:44","18:09","249","246","85","18:24","15","24","0","0","0","58"
"AA","06/03/2018","1102","N962TW","DFW","11:19","11:13","111","105","-6","11:27","14","0","0","0","0","0"
