Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2018","0140","N952DN","MSP","11:56","11:51","84","94","-5","12:00","9","0","0","0","0","0"
"DL","10/01/2018","0164","N369NW","MSP","19:47","19:40","89","85","-7","19:49","9","0","0","0","0","0"
"DL","10/01/2018","0956","N325US","MSP","06:12","06:04","92","87","-8","06:16","12","0","0","0","0","0"
"DL","10/01/2018","1080","N944DL","ATL","07:10","07:03","93","86","-7","07:16","13","0","0","0","0","0"
"DL","10/01/2018","1179","N554NW","ATL","06:00","05:58","87","94","-2","06:19","21","0","0","0","0","0"
"DL","10/01/2018","1197","N370NW","MSP","17:15","17:04","100","93","-11","17:15","11","0","0","0","0","0"
"DL","10/01/2018","1199","N991DL","ATL","17:57","18:09","93","86","12","18:18","9","0","0","0","0","0"
"DL","10/01/2018","1331","N952AT","DTW","18:49","18:44","94","76","-5","18:54","10","0","0","0","0","0"
"DL","10/01/2018","1423","N912DE","ATL","13:12","13:07","91","91","-5","13:17","10","0","0","0","0","0"
"DL","10/01/2018","1469","N895AT","MSP","09:10","09:03","95","86","-7","09:15","12","0","0","0","0","0"
"DL","10/01/2018","1570","N908DL","ATL","11:03","11:08","87","78","5","11:16","8","0","0","0","0","0"
"DL","10/01/2018","1834","N917DL","ATL","19:15","19:02","90","92","-13","19:11","9","0","0","0","0","0"
"DL","10/01/2018","2045","N353NW","MSP","15:18","15:15","101","102","-3","15:34","19","0","0","0","0","0"
"DL","10/01/2018","2084","N67171","ATL","15:45","15:45","88","81","0","15:56","11","0","0","0","0","0"
"DL","10/01/2018","2309","N900DE","ATL","09:38","09:28","89","83","-10","09:41","13","0","0","0","0","0"
