Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","0261","N9628W","DFW","09:32","09:28","113","116","-4","09:48","20","0","0","0","0","0"
"AA","10/01/2018","0385","N9621A","DFW","11:15","11:08","114","105","-7","11:22","14","0","0","0","0","0"
"AA","10/01/2018","0453","N839AW","LAX","06:45","06:35","251","263","-10","06:47","12","0","0","0","0","0"
"AA","10/01/2018","0590","N810AW","PHX","14:33","14:27","195","188","-6","14:37","10","0","0","0","0","0"
"AA","10/01/2018","0670","N839AW","LAX","16:38","16:32","237","221","-6","16:43","11","0","0","0","0","0"
"AA","10/01/2018","0944","N9025B","MIA","05:48","05:39","167","163","-9","05:56","17","0","0","0","0","0"
"AA","10/01/2018","1003","N951AA","ORD","07:23","07:15","81","82","-8","07:42","27","0","0","0","0","0"
"AA","10/01/2018","1283","N969TW","DFW","19:20","19:12","117","103","-8","19:24","12","0","0","0","0","0"
"AA","10/01/2018","1410","N70020","DFW","07:50","07:42","115","116","-8","08:03","21","0","0","0","0","0"
"AA","10/01/2018","1428","N9626F","ORD","06:21","06:14","84","81","-7","06:44","30","0","0","0","0","0"
"AA","10/01/2018","1616","N9626F","DFW","17:17","17:12","117","108","-5","17:23","11","0","0","0","0","0"
"AA","10/01/2018","1617","N934AN","DFW","15:23","15:20","117","108","-3","15:33","13","0","0","0","0","0"
