Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: Southwest Airlines Co. (WN)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","01/01/2018","0144","N8323C","ATL","07:45","07:47","110","89","2","07:57","10","0","0","0","0","0"
"WN","01/01/2018","0163","N732SW","FLL","10:05","10:20","160","159","15","10:28","8","0","0","0","0","0"
"WN","01/01/2018","0236","N964WN","STL","20:25","20:35","90","93","10","20:44","9","0","0","0","0","0"
"WN","01/01/2018","0266","N703SW","TPA","11:15","12:28","135","142","73","12:35","7","10","0","7","0","63"
"WN","01/01/2018","0335","N926WN","BWI","17:25","17:29","75","69","4","17:37","8","0","0","0","0","0"
"WN","01/01/2018","0369","N920WN","MDW","18:15","18:17","75","69","2","18:30","13","0","0","0","0","0"
"WN","01/01/2018","0382","N242WN","DCA","09:55","09:57","70","66","2","10:07","10","0","0","0","0","0"
"WN","01/01/2018","0396","N8683D","BOS","07:25","07:20","115","120","-5","07:43","23","0","0","0","0","0"
"WN","01/01/2018","0408","N7862A","ATL","17:40","17:45","100","84","5","17:55","10","0","0","0","0","0"
"WN","01/01/2018","0504","N465WN","BOS","16:15","17:31","115","108","76","17:40","9","2","0","0","0","67"
"WN","01/01/2018","0544","N220WN","MDW","10:35","10:33","70","64","-2","10:42","9","0","0","0","0","0"
"WN","01/01/2018","0567","N774SW","DAL","14:20","15:29","165","153","69","15:41","12","2","0","0","0","55"
"WN","01/01/2018","0573","N8533S","DEN","06:00","06:01","210","196","1","06:27","26","0","0","0","0","0"
"WN","01/01/2018","0577","N7882B","MDW","06:50","08:23","80","80","93","08:41","18","0","93","0","0","0"
"WN","01/01/2018","0616","N253WN","MDW","13:05","13:03","70","97","-2","13:14","11","0","0","25","0","0"
"WN","01/01/2018","0784","N914WN","BWI","15:45","15:40","75","69","-5","15:48","8","0","0","0","0","0"
"WN","01/01/2018","1319","N7733B","ATL","11:10","13:41","100","86","151","13:53","12","15","0","0","0","122"
"WN","01/01/2018","1465","N957WN","STL","08:30","08:29","90","86","-1","08:45","16","0","0","0","0","0"
"WN","01/01/2018","1572","N915WN","LAS","06:15","06:32","285","269","17","06:50","18","0","0","0","0","0"
"WN","01/01/2018","1690","N761RR","BWI","06:00","05:56","80","73","-4","06:13","17","0","0","0","0","0"
"WN","01/01/2018","1765","N239WN","MDW","16:40","16:40","70","63","0","16:50","10","0","0","0","0","0"
"WN","01/01/2018","1843","N273WN","MCO","05:50","05:50","140","134","0","06:10","20","0","0","0","0","0"
"WN","01/01/2018","1859","N964WN","RSW","12:15","12:24","150","157","9","12:32","8","4","0","7","0","5"
"WN","01/01/2018","2007","N8713M","OAK","16:45","16:53","325","299","8","17:04","11","0","0","0","0","0"
"WN","01/01/2018","2044","N494WN","BNA","06:20","06:20","90","86","0","06:40","20","0","0","0","0","0"
"WN","01/01/2018","5467","N7885A","RSW","19:10","19:06","155","147","-4","19:17","11","0","0","0","0","0"
"WN","01/01/2018","5505","N419WN","DCA","18:00","19:06","75","65","66","19:16","10","6","0","0","0","50"
"WN","01/01/2018","5680","N935WN","LAS","17:25","17:39","280","258","14","17:47","8","0","0","0","0","0"
"WN","01/01/2018","5792","N8529Z","PHX","18:35","19:00","275","246","25","19:11","11","0","0","0","0","0"
"WN","01/01/2018","5853","N482WN","MCO","21:00","20:51","135","122","-9","20:57","6","0","0","0","0","0"
"WN","01/01/2018","6209","N7840A","BNA","18:40","18:55","80","67","15","19:02","7","0","0","0","0","0"
"WN","01/01/2018","6252","N202WN","MCO","12:40","12:50","135","142","10","12:58","8","10","0","7","0","0"
"WN","01/01/2018","6271","N8648A","TPA","17:20","19:32","135","131","132","19:41","9","10","0","0","0","118"
"WN","01/01/2018","6417","N278WN","BWI","11:45","12:10","70","69","25","12:24","14","7","0","0","0","17"
"WN","01/02/2018","0163","N7712G","FLL","10:05","09:59","160","169","-6","10:07","8","0","0","0","0","0"
"WN","01/02/2018","0661","N477WN","LAS","06:00","05:58","285","254","-2","06:17","19","0","0","0","0","0"
"WN","01/02/2018","0723","N409WN","BWI","07:00","06:57","85","105","-3","07:21","24","0","0","17","0","0"
"WN","01/02/2018","0757","N959WN","ATL","10:55","11:07","100","86","12","11:16","9","0","0","0","0","0"
"WN","01/02/2018","0922","N8537Z","MDW","06:40","06:38","80","88","-2","07:08","30","0","0","0","0","0"
"WN","01/02/2018","0982","N568WN","ATL","18:15","18:36","100","86","21","18:46","10","0","0","0","0","0"
"WN","01/02/2018","1133","N552WN","RSW","10:45","11:17","150","142","32","11:30","13","4","0","0","0","20"
"WN","01/02/2018","1217","N7822A","ATL","07:40","07:36","105","88","-4","07:47","11","0","0","0","0","0"
"WN","01/02/2018","1821","N8642E","DAL","15:15","15:15","165","145","0","15:24","9","0","0","0","0","0"
"WN","01/02/2018","1842","N705SW","MDW","21:20","21:40","70","62","20","21:49","9","0","0","0","0","0"
"WN","01/02/2018","1865","N206WN","DCA","09:50","09:49","70","67","-1","09:58","9","0","0","0","0","0"
"WN","01/02/2018","1892","N294WN","BWI","14:25","14:24","70","70","-1","14:32","8","0","0","0","0","0"
"WN","01/02/2018","4459","N449WN","LAS","17:30","18:01","280","240","31","18:09","8","0","0","0","0","0"
"WN","01/02/2018","4519","N775SW","PHX","18:20","18:50","270","229","30","18:57","7","0","0","0","0","0"
"WN","01/02/2018","4956","N557WN","BOS","20:25","20:51","110","106","26","21:03","12","0","0","0","0","22"
"WN","01/02/2018","5011","N7845A","BWI","12:10","12:24","70","70","14","12:31","7","0","0","0","0","0"
"WN","01/02/2018","5083","N725SW","FLL","17:00","17:00","160","152","0","17:07","7","0","0","0","0","0"
"WN","01/02/2018","5099","N7735A","TPA","16:10","16:51","130","127","41","16:57","6","3","0","0","0","35"
"WN","01/02/2018","5138","N7729A","MCO","12:55","13:16","135","136","21","13:26","10","8","0","1","0","13"
"WN","01/02/2018","5139","N239WN","RSW","19:00","19:13","155","139","13","19:20","7","0","0","0","0","0"
"WN","01/02/2018","5216","N798SW","DEN","05:20","05:18","205","183","-2","05:44","26","0","0","0","0","0"
"WN","01/02/2018","5220","N456WN","MCO","05:05","05:04","140","141","-1","05:27","23","0","0","0","0","0"
"WN","01/02/2018","5223","N939WN","STL","08:50","08:50","95","75","0","09:01","11","0","0","0","0","0"
"WN","01/02/2018","5272","N469WN","STL","20:35","21:08","90","72","33","21:14","6","5","0","0","0","10"
"WN","01/02/2018","5312","N905WN","MDW","18:30","18:41","75","88","11","18:50","9","5","0","13","0","6"
"WN","01/02/2018","5398","N7818L","TPA","13:20","14:56","130","129","96","15:04","8","4","0","0","0","91"
"WN","01/02/2018","6112","N489WN","TPA","21:05","21:00","135","134","-5","21:10","10","0","0","0","0","0"
"WN","01/02/2018","6291","N8618N","OAK","16:45","16:59","325","284","14","17:09","10","0","0","0","0","0"
"WN","01/02/2018","6317","N731SA","BNA","19:30","19:39","80","68","9","19:47","8","0","0","0","0","0"
"WN","01/02/2018","6480","N460WN","MDW","12:30","12:40","70","70","10","12:54","14","0","0","0","0","0"
"WN","01/02/2018","6525","N8695D","HOU","17:15","19:43","185","157","148","19:50","7","0","0","0","0","120"
"WN","01/02/2018","6676","N234WN","BWI","17:50","17:54","75","70","4","18:01","7","0","0","0","0","0"
"WN","01/02/2018","6680","N8694E","BNA","06:30","06:27","90","79","-3","06:46","19","0","0","0","0","0"
"WN","01/02/2018","6701","N7811F","BOS","06:25","06:21","115","106","-4","06:30","9","0","0","0","0","0"
"WN","01/02/2018","6792","N249WN","DCA","18:05","18:14","75","65","9","18:25","11","0","0","0","0","0"
"WN","01/02/2018","6849","N248WN","TPA","10:20","10:15","135","127","-5","10:22","7","0","0","0","0","0"
"WN","01/02/2018","6877","N8674B","BWI","05:50","05:50","80","80","0","06:11","21","0","0","0","0","0"
"WN","01/02/2018","6897","N8715Q","DEN","17:05","17:11","195","173","6","17:23","12","0","0","0","0","0"
"WN","01/02/2018","6960","N7885A","MDW","10:00","10:19","70","63","19","10:29","10","0","0","0","0","0"
"WN","01/02/2018","6969","N483WN","MCO","20:10","21:02","130","132","52","21:12","10","2","0","2","0","50"
"WN","01/03/2018","0144","N500WR","ATL","07:45","07:42","110","98","-3","08:03","21","0","0","0","0","0"
"WN","01/03/2018","0163","N425LV","FLL","10:05","10:02","160","169","-3","10:10","8","0","0","0","0","0"
"WN","01/03/2018","0236","N476WN","STL","20:25","20:18","90","74","-7","20:28","10","0","0","0","0","0"
"WN","01/03/2018","0266","N489WN","TPA","11:15","11:26","135","133","11","11:34","8","0","0","0","0","0"
"WN","01/03/2018","0335","N7748A","BWI","17:25","17:33","75","81","8","17:56","23","0","0","0","0","0"
"WN","01/03/2018","0369","N740SW","MDW","18:15","18:51","75","71","36","19:02","11","10","0","0","0","22"
"WN","01/03/2018","0382","N7819A","DCA","09:55","09:52","70","64","-3","09:59","7","0","0","0","0","0"
"WN","01/03/2018","0396","N740SW","BOS","07:25","07:21","115","109","-4","07:37","16","0","0","0","0","0"
"WN","01/03/2018","0408","N245WN","ATL","17:40","17:41","100","91","1","17:50","9","0","0","0","0","0"
"WN","01/03/2018","0504","N402WN","BOS","16:15","16:54","115","99","39","17:01","7","2","0","0","0","21"
"WN","01/03/2018","0544","N719SW","MDW","10:35","10:33","70","63","-2","10:40","7","0","0","0","0","0"
"WN","01/03/2018","0567","N709SW","DAL","14:20","14:30","165","133","10","14:38","8","0","0","0","0","0"
"WN","01/03/2018","0573","N8654B","DEN","06:00","06:08","210","180","8","06:26","18","0","0","0","0","0"
"WN","01/03/2018","0577","N708SW","MDW","06:50","06:46","80","75","-4","07:09","23","0","0","0","0","0"
"WN","01/03/2018","0616","N7850B","MDW","13:05","13:09","70","61","4","13:17","8","0","0","0","0","0"
"WN","01/03/2018","0784","N243WN","BWI","15:45","15:39","75","68","-6","15:48","9","0","0","0","0","0"
"WN","01/03/2018","1319","N7729A","ATL","11:10","11:26","100","88","16","11:35","9","0","0","0","0","0"
"WN","01/03/2018","1465","N761RR","STL","08:30","08:26","90","79","-4","08:41","15","0","0","0","0","0"
"WN","01/03/2018","1572","N283WN","LAS","06:15","06:13","285","276","-2","06:34","21","0","0","0","0","0"
"WN","01/03/2018","1690","N263WN","BWI","06:00","05:55","80","79","-5","06:14","19","0","0","0","0","0"
"WN","01/03/2018","1765","N262WN","MDW","16:40","16:41","70","78","1","17:02","21","0","0","0","0","0"
"WN","01/03/2018","1843","N7722B","MCO","05:50","05:50","140","142","0","06:11","21","0","0","0","0","0"
"WN","01/03/2018","1859","N476WN","RSW","12:15","12:26","150","138","11","12:32","6","0","0","0","0","0"
"WN","01/03/2018","2007","N8639B","OAK","16:45","16:58","325","321","13","17:18","20","0","0","0","0","0"
"WN","01/03/2018","2044","N7829B","BNA","06:20","06:18","90","78","-2","06:36","18","0","0","0","0","0"
"WN","01/03/2018","5467","N430WN","RSW","19:10","19:05","155","130","-5","19:13","8","0","0","0","0","0"
"WN","01/03/2018","5505","N236WN","DCA","18:00","00:00","75","0","0","00:00","0","0","0","0","0","0"
"WN","01/03/2018","5680","N285WN","LAS","17:25","18:49","280","259","84","18:59","10","16","0","0","0","47"
"WN","01/03/2018","5792","N8530W","PHX","18:35","18:47","275","257","12","19:06","19","0","0","0","0","0"
"WN","01/03/2018","5853","N7746C","MCO","21:00","21:04","135","125","4","21:11","7","0","0","0","0","0"
"WN","01/03/2018","6209","N207WN","BNA","18:40","19:04","80","83","24","19:19","15","21","0","3","0","3"
