Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","01/01/2018","1069","N917DL","ATL","10:31","11:18","108","89","47","11:27","9","0","0","28","0","0"
"DL","01/01/2018","1085","N947DL","ATL","08:10","08:09","109","136","-1","09:03","54","0","0","26","0","0"
"DL","01/01/2018","1152","N918DL","ATL","16:25","16:21","109","94","-4","16:36","15","0","0","0","0","0"
"DL","01/01/2018","1276","N942DL","ATL","13:50","14:01","114","94","11","14:15","14","0","0","0","0","0"
"DL","01/01/2018","2197","N962DL","ATL","05:45","05:42","100","90","-3","05:55","13","0","0","0","0","0"
"DL","01/01/2018","2538","N3751B","LAX","07:00","06:54","317","301","-6","07:05","11","0","0","0","0","0"
"DL","01/02/2018","1069","N969DL","ATL","10:31","10:38","108","82","7","10:45","7","0","0","0","0","0"
"DL","01/02/2018","1085","N903DE","ATL","08:10","08:07","109","109","-3","08:45","38","0","0","0","0","0"
"DL","01/02/2018","1152","N945DL","ATL","16:25","16:26","109","98","1","16:36","10","0","0","0","0","0"
"DL","01/02/2018","1276","N921DL","ATL","13:50","13:45","114","92","-5","13:54","9","0","0","0","0","0"
"DL","01/02/2018","1695","N904DE","ATL","18:41","19:02","108","99","21","19:09","7","0","0","0","0","0"
"DL","01/02/2018","2197","N952DL","ATL","05:45","05:41","100","107","-4","06:14","33","0","0","0","0","0"
"DL","01/02/2018","2419","N907DE","ATL","07:00","06:58","113","97","-2","07:24","26","0","0","0","0","0"
"DL","01/02/2018","2538","N37700","LAX","07:00","07:00","317","321","0","07:38","38","0","0","0","0","0"
"DL","01/03/2018","0785","N990DL","DTW","06:30","06:26","72","76","-4","06:50","24","0","0","0","0","0"
"DL","01/03/2018","1069","N986DL","ATL","10:20","10:19","103","88","-1","10:30","11","0","0","0","0","0"
"DL","01/03/2018","1085","N922DX","ATL","08:10","08:07","109","94","-3","08:19","12","0","0","0","0","0"
"DL","01/03/2018","1276","N917DL","ATL","12:30","12:39","104","89","9","12:53","14","0","0","0","0","0"
"DL","01/03/2018","1646","N996DL","ATL","18:40","18:48","109","102","8","19:03","15","0","0","0","0","0"
"DL","01/03/2018","1695","N939DL","ATL","16:37","16:34","108","99","-3","16:46","12","0","0","0","0","0"
"DL","01/03/2018","2197","N945DL","ATL","05:45","05:42","100","89","-3","05:55","13","0","0","0","0","0"
"DL","01/03/2018","2419","N865DN","ATL","07:00","07:48","110","85","48","07:57","9","0","0","0","0","23"
"DL","01/04/2018","1069","N906DE","ATL","10:20","10:16","103","104","-4","10:38","22","0","0","0","0","0"
"DL","01/04/2018","1085","N845DN","ATL","08:10","08:05","110","98","-5","08:27","22","0","0","0","0","0"
"DL","01/04/2018","1276","N913DE","ATL","12:30","12:40","104","83","10","12:51","11","0","0","0","0","0"
"DL","01/04/2018","1327","N391DA","LAX","07:00","06:58","311","331","-2","07:40","42","0","0","18","0","0"
"DL","01/04/2018","1646","N905DA","ATL","18:40","21:31","109","122","171","22:26","55","171","0","13","0","0"
"DL","01/04/2018","1695","N989DL","ATL","16:37","16:36","108","89","-1","16:48","12","0","0","0","0","0"
"DL","01/04/2018","2197","N966DL","ATL","05:45","07:46","100","99","121","08:13","27","120","0","0","0","0"
"DL","01/04/2018","2419","N920DN","ATL","07:00","07:00","109","125","0","07:54","54","0","0","16","0","0"
"DL","01/05/2018","1069","N943DL","ATL","10:20","10:52","103","78","32","11:03","11","0","0","0","0","0"
"DL","01/05/2018","1085","N813DN","ATL","08:10","08:11","110","95","1","08:21","10","0","0","0","0","0"
"DL","01/05/2018","1276","N908DL","ATL","12:30","12:25","104","82","-5","12:36","11","0","0","0","0","0"
"DL","01/05/2018","1327","N380DA","LAX","07:00","06:53","311","310","-7","07:13","20","0","0","0","0","0"
"DL","01/05/2018","1646","N927DA","ATL","18:40","18:29","109","129","-11","19:28","59","0","0","0","0","0"
"DL","01/05/2018","1695","N966DL","ATL","16:37","16:33","108","88","-4","16:49","16","0","0","0","0","0"
"DL","01/05/2018","2197","N966DL","ATL","05:45","05:41","100","83","-4","05:54","13","0","0","0","0","0"
"DL","01/05/2018","2419","N906DL","ATL","07:00","07:17","109","90","17","07:34","17","0","0","0","0","0"
"DL","01/06/2018","0779","N943DL","ATL","11:00","10:57","104","85","-3","11:10","13","0","0","0","0","0"
"DL","01/06/2018","1193","N977DL","ATL","14:40","14:34","99","73","-6","14:41","7","0","0","0","0","0"
"DL","01/06/2018","1327","N391DA","LAX","07:00","07:00","311","307","0","07:21","21","0","0","0","0","0"
"DL","01/06/2018","1695","N994DL","ATL","16:45","16:37","104","79","-8","16:47","10","0","0","0","0","0"
"DL","01/06/2018","2419","N866DN","ATL","07:00","06:57","107","94","-3","07:08","11","0","0","0","0","0"
"DL","01/07/2018","1069","N991DL","ATL","10:20","10:16","103","91","-4","10:28","12","0","0","0","0","0"
"DL","01/07/2018","1085","N814DN","ATL","08:00","07:53","110","84","-7","08:02","9","0","0","0","0","0"
"DL","01/07/2018","1193","N924DL","ATL","14:48","14:40","107","89","-8","14:51","11","0","0","0","0","0"
"DL","01/07/2018","1276","N975DL","ATL","12:30","12:31","104","87","1","12:40","9","0","0","0","0","0"
"DL","01/07/2018","1646","N910DL","ATL","18:40","18:37","109","94","-3","18:51","14","0","0","0","0","0"
"DL","01/07/2018","1695","N903DE","ATL","16:37","16:40","108","91","3","16:53","13","0","0","0","0","0"
"DL","01/07/2018","2197","N919DL","ATL","05:45","05:39","100","88","-6","05:52","13","0","0","0","0","0"
