Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","0506","N805AW","PHX","07:20","07:37","291","273","17","07:58","21","0","0","0","0","0"
"AA","01/01/2018","0627","N833AW","PHX","17:55","17:59","267","254","4","18:12","13","0","0","0","0","0"
"AA","01/01/2018","0659","N760US","LAX","16:25","16:21","314","276","-4","16:30","9","0","0","0","0","0"
"AA","01/01/2018","0784","N713UW","CLT","09:20","09:15","95","96","-5","09:42","27","0","0","0","0","0"
"AA","01/01/2018","1180","N7547A","DFW","08:00","07:57","183","185","-3","08:29","32","0","0","0","0","0"
"AA","01/01/2018","1194","N7547A","DFW","15:11","15:08","181","160","-3","15:19","11","0","0","0","0","0"
"AA","01/01/2018","2180","N809NN","DFW","11:40","11:40","176","175","0","12:05","25","0","0","0","0","0"
"AA","01/01/2018","2430","N93003","DFW","19:10","00:00","175","0","0","00:00","0","0","0","0","0","0"
"AA","01/02/2018","0506","N748UW","PHX","07:20","07:34","291","280","14","08:00","26","0","0","0","0","0"
"AA","01/02/2018","0627","N817AW","PHX","17:55","19:32","267","244","97","19:42","10","0","0","0","0","74"
"AA","01/02/2018","0659","N821AW","LAX","16:25","16:20","314","287","-5","16:32","12","0","0","0","0","0"
