Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","04/01/2018","1566","N8537Z","TPA","20:15","20:05","130","115","-10","20:12","7","0","0","0","0","0"
"WN","04/01/2018","1772","N418WN","RSW","05:35","05:30","150","142","-5","05:44","14","0","0","0","0","0"
"WN","04/01/2018","2040","N736SA","MDW","20:30","20:25","75","67","-5","20:33","8","0","0","0","0","0"
"WN","04/01/2018","2402","N727SW","STL","20:55","20:46","85","84","-9","20:53","7","0","0","0","0","0"
"WN","04/01/2018","2504","N560WN","ATL","08:20","08:15","95","80","-5","08:25","10","0","0","0","0","0"
"WN","04/01/2018","2526","N734SA","MCO","05:40","05:36","130","123","-4","05:46","10","0","0","0","0","0"
"WN","04/01/2018","2558","N287WN","BWI","17:30","17:22","75","69","-8","17:35","13","0","0","0","0","0"
"WN","04/01/2018","2559","N273WN","BOS","21:20","21:18","110","98","-2","21:29","11","0","0","0","0","0"
"WN","04/01/2018","2791","N908WN","MDW","18:35","18:52","75","63","17","19:00","8","0","0","0","0","0"
"WN","04/01/2018","2870","N7715E","BWI","06:10","06:06","75","72","-4","06:14","8","0","0","0","0","0"
"WN","04/01/2018","2921","N912WN","RSW","17:20","17:12","150","125","-8","17:19","7","0","0","0","0","0"
"WN","04/01/2018","2996","N201LV","BNA","07:30","07:25","85","70","-5","07:33","8","0","0","0","0","0"
