Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Southwest Airlines Co. (WN)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","10/01/2018","0493","N476WN","BUR","12:00","11:58","75","68","-2","12:07","9","0","0","0","0","0"
"WN","10/01/2018","0602","N8530W","MDW","12:05","12:05","260","228","0","12:19","14","0","0","0","0","0"
"WN","10/01/2018","0937","N7857B","BUR","17:00","16:55","75","62","-5","17:04","9","0","0","0","0","0"
"WN","10/01/2018","1005","N467WN","LAS","08:15","08:11","95","82","-4","08:26","15","0","0","0","0","0"
"WN","10/01/2018","1069","N7873A","LAX","12:55","12:53","90","87","-2","13:16","23","0","0","0","0","0"
"WN","10/01/2018","1071","N7873A","LAX","17:00","16:54","95","95","-6","17:24","30","0","0","0","0","0"
"WN","10/01/2018","1073","N7873A","LAX","21:10","21:08","90","75","-2","21:26","18","0","0","0","0","0"
"WN","10/01/2018","1189","N7844A","DEN","06:00","05:57","160","137","-3","06:11","14","0","0","0","0","0"
"WN","10/01/2018","1288","N8659D","DAL","07:35","07:32","205","193","-3","07:43","11","0","0","0","0","0"
"WN","10/01/2018","1421","N8617E","LAS","10:50","10:51","100","80","1","11:03","12","0","0","0","0","0"
"WN","10/01/2018","1653","N755SA","PHX","09:10","09:10","120","109","0","09:26","16","0","0","0","0","0"
"WN","10/01/2018","1693","N7877H","BUR","06:25","06:23","80","63","-2","06:35","12","0","0","0","0","0"
"WN","10/01/2018","1772","N767SW","SNA","07:05","07:01","95","85","-4","07:11","10","0","0","0","0","0"
"WN","10/01/2018","1814","N718SW","LAX","11:30","00:00","95","0","0","00:00","0","0","0","0","0","0"
"WN","10/01/2018","1839","N561WN","LAX","14:35","14:33","95","86","-2","14:51","18","0","0","0","0","0"
"WN","10/01/2018","1845","N7812G","SAN","10:40","10:38","100","85","-2","10:51","13","0","0","0","0","0"
"WN","10/01/2018","1998","N8565Z","PHX","15:10","15:10","130","108","0","15:23","13","0","0","0","0","0"
"WN","10/01/2018","2097","N718SW","LAX","07:15","07:12","90","116","-3","08:06","54","0","0","23","0","0"
"WN","10/01/2018","2597","N719SW","BUR","19:50","21:07","70","67","77","21:16","9","0","0","0","0","74"
"WN","10/01/2018","2626","N763SW","LAS","13:05","13:01","100","83","-4","13:14","13","0","0","0","0","0"
"WN","10/01/2018","3186","N8607M","STL","12:10","12:21","240","203","11","12:35","14","0","0","0","0","0"
"WN","10/01/2018","3248","N718SW","AUS","13:30","13:31","215","208","1","13:56","25","0","0","0","0","0"
"WN","10/01/2018","3315","N791SW","BUR","09:10","09:07","80","74","-3","09:24","17","0","0","0","0","0"
"WN","10/01/2018","3332","N938WN","LAS","19:55","19:52","95","90","-3","20:14","22","0","0","0","0","0"
"WN","10/01/2018","3406","N565WN","SNA","18:35","18:36","90","78","1","18:46","10","0","0","0","0","0"
"WN","10/01/2018","3488","N918WN","LAS","21:25","21:22","85","77","-3","21:34","12","0","0","0","0","0"
"WN","10/01/2018","3673","N405WN","SNA","16:30","16:24","90","82","-6","16:35","11","0","0","0","0","0"
"WN","10/01/2018","3808","N8542Z","DEN","09:35","09:46","155","133","11","10:00","14","0","0","0","0","0"
"WN","10/01/2018","4177","N8320J","PDX","06:50","06:47","105","89","-3","07:01","14","0","0","0","0","0"
"WN","10/01/2018","4342","N959WN","DAL","16:45","16:42","220","195","-3","17:00","18","0","0","0","0","0"
"WN","10/01/2018","4549","N8618N","PDX","11:05","11:02","110","99","-3","11:25","23","0","0","0","0","0"
"WN","10/01/2018","4865","N7873A","LAX","08:35","08:29","90","78","-6","08:41","12","0","0","0","0","0"
"WN","10/01/2018","5650","N7812G","MDW","14:50","14:48","245","216","-2","14:59","11","0","0","0","0","0"
"WN","10/01/2018","5996","N717SA","LAS","17:35","17:31","100","81","-4","17:43","12","0","0","0","0","0"
"WN","10/01/2018","6102","N7868K","PHX","20:20","20:53","115","101","33","21:01","8","0","0","0","0","19"
"WN","10/01/2018","6442","N7715E","DEN","12:40","12:41","150","127","1","12:52","11","0","0","0","0","0"
"WN","10/01/2018","6473","N201LV","SAN","08:45","08:40","95","103","-5","08:50","10","0","0","0","0","0"
"WN","10/01/2018","6481","N278WN","SAN","13:10","15:02","100","84","112","15:12","10","15","0","0","0","81"
"WN","10/01/2018","6487","N278WN","SAN","17:30","19:08","95","108","98","19:42","34","9","0","13","0","89"
"WN","10/01/2018","6493","N278WN","SAN","21:45","23:19","95","82","94","23:30","11","0","0","0","0","81"
"WN","10/01/2018","6604","N7880D","DEN","20:05","20:31","145","126","26","20:41","10","0","0","0","0","0"
"WN","10/01/2018","6659","N490WN","MDW","06:45","06:46","250","229","1","07:04","18","0","0","0","0","0"
"WN","10/01/2018","6681","N8519R","PHX","07:15","07:15","110","105","0","07:26","11","0","0","0","0","0"
"WN","10/01/2018","6686","N561WN","LAX","06:00","05:55","95","78","-5","06:15","20","0","0","0","0","0"
"WN","10/01/2018","6693","N561WN","LAX","10:10","10:09","90","108","-1","10:49","40","0","0","17","0","0"
"WN","10/01/2018","6704","N561WN","LAX","19:05","18:59","95","112","-6","19:39","40","0","0","0","0","0"
"WN","10/01/2018","6721","N7812G","SAN","06:05","06:02","100","82","-3","06:13","11","0","0","0","0","0"
"WN","10/01/2018","6735","N7708E","SAN","15:15","15:50","95","83","35","16:00","10","0","0","0","0","23"
"WN","10/01/2018","6741","N7708E","SAN","19:35","19:32","95","107","-3","19:48","16","0","0","0","0","0"
"WN","10/01/2018","6817","N953WN","PHX","11:25","11:20","125","110","-5","11:33","13","0","0","0","0","0"
"WN","10/01/2018","6992","N7713A","PDX","18:25","18:19","100","88","-6","18:32","13","0","0","0","0","0"
"WN","10/02/2018","0493","N498WN","BUR","12:00","11:56","75","68","-4","12:05","9","0","0","0","0","0"
"WN","10/02/2018","0602","N8684F","MDW","12:05","12:05","260","225","0","12:21","16","0","0","0","0","0"
"WN","10/02/2018","0937","N479WN","BUR","17:00","16:53","75","75","-7","17:07","14","0","0","0","0","0"
"WN","10/02/2018","1005","N496WN","LAS","08:15","08:12","95","78","-3","08:22","10","0","0","0","0","0"
"WN","10/02/2018","1069","N929WN","LAX","12:55","12:52","90","97","-3","13:21","29","0","0","0","0","0"
"WN","10/02/2018","1071","N929WN","LAX","17:00","17:25","95","111","25","18:11","46","0","0","16","0","25"
"WN","10/02/2018","1073","N929WN","LAX","21:10","21:30","90","98","20","22:02","32","0","0","8","0","20"
"WN","10/02/2018","1189","N456WN","DEN","06:00","05:55","160","129","-5","06:06","11","0","0","0","0","0"
"WN","10/02/2018","1288","N8532S","DAL","07:35","07:30","205","195","-5","07:43","13","0","0","0","0","0"
"WN","10/02/2018","1421","N8719Q","LAS","10:50","10:45","100","89","-5","11:05","20","0","0","0","0","0"
"WN","10/02/2018","1653","N736SA","PHX","09:10","09:04","120","112","-6","09:17","13","0","0","0","0","0"
"WN","10/02/2018","1693","N561WN","BUR","06:25","06:19","80","78","-6","06:40","21","0","0","0","0","0"
"WN","10/02/2018","1772","N7708E","SNA","07:05","06:59","95","87","-6","07:09","10","0","0","0","0","0"
"WN","10/02/2018","1814","N912WN","LAX","11:30","11:25","95","91","-5","11:48","23","0","0","0","0","0"
"WN","10/02/2018","1839","N7822A","LAX","14:35","14:30","95","85","-5","14:46","16","0","0","0","0","0"
"WN","10/02/2018","1845","N783SW","SAN","10:40","10:33","100","87","-7","10:44","11","0","0","0","0","0"
"WN","10/02/2018","1998","N8613K","PHX","15:10","15:15","130","111","5","15:29","14","0","0","0","0","0"
"WN","10/02/2018","2097","N912WN","LAX","07:15","07:10","90","93","-5","07:36","26","0","0","0","0","0"
"WN","10/02/2018","2597","N784SW","BUR","19:50","19:44","70","69","-6","19:57","13","0","0","0","0","0"
"WN","10/02/2018","2626","N286WN","LAS","13:05","13:20","100","95","15","13:43","23","0","0","0","0","0"
"WN","10/02/2018","3186","N8631A","STL","12:10","12:30","240","213","20","12:41","11","0","0","0","0","0"
"WN","10/02/2018","3248","N254WN","AUS","13:30","13:30","215","198","0","13:45","15","0","0","0","0","0"
"WN","10/02/2018","3315","N251WN","BUR","09:10","09:09","80","65","-1","09:19","10","0","0","0","0","0"
