Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: Delta Airlines Inc. (DL)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","04/01/2018","1069","N932DL","ATL","10:45","10:40","90","81","-5","10:48","8","0","0","0","0","0"
"DL","04/01/2018","1085","N997DL","ATL","08:30","08:25","103","79","-5","08:34","9","0","0","0","0","0"
"DL","04/01/2018","1193","N902DE","ATL","14:20","14:13","99","80","-7","14:23","10","0","0","0","0","0"
"DL","04/01/2018","1276","N986DL","ATL","12:39","12:34","99","85","-5","12:47","13","0","0","0","0","0"
"DL","04/01/2018","1646","N968DL","ATL","18:47","18:41","98","89","-6","18:57","16","0","0","0","0","0"
"DL","04/01/2018","1695","N939DN","ATL","16:55","16:50","98","83","-5","16:59","9","0","0","0","0","0"
"DL","04/01/2018","2197","N851DN","ATL","05:45","05:37","101","80","-8","05:49","12","0","0","0","0","0"
"DL","04/01/2018","2419","N3767","ATL","07:00","06:55","100","91","-5","07:04","9","0","0","0","0","0"
"DL","04/02/2018","1069","N945DL","ATL","10:45","10:45","90","85","0","10:58","13","0","0","0","0","0"
"DL","04/02/2018","1085","N935DN","ATL","08:30","08:29","103","104","-1","09:02","33","0","0","0","0","0"
"DL","04/02/2018","1193","N986DL","ATL","14:20","15:33","99","85","73","15:44","11","2","0","0","0","57"
"DL","04/02/2018","1276","N908DL","ATL","12:39","12:39","99","92","0","12:55","16","0","0","0","0","0"
"DL","04/02/2018","1327","N3737C","LAX","07:00","06:57","295","297","-3","07:21","24","0","0","0","0","0"
"DL","04/02/2018","1646","N976DL","ATL","18:38","18:35","104","91","-3","18:44","9","0","0","0","0","0"
"DL","04/02/2018","1695","N951DN","ATL","16:55","16:53","98","85","-2","17:09","16","0","0","0","0","0"
"DL","04/02/2018","2197","N972DL","ATL","05:45","05:39","101","82","-6","05:50","11","0","0","0","0","0"
"DL","04/02/2018","2419","N918DH","ATL","07:00","06:58","100","86","-2","07:10","12","0","0","0","0","0"
"DL","04/03/2018","1069","N946DL","ATL","10:23","10:45","90","83","22","10:54","9","0","0","0","0","15"
"DL","04/03/2018","1085","N329NW","ATL","08:30","08:25","101","98","-5","08:44","19","0","0","0","0","0"
"DL","04/03/2018","1193","N934DN","ATL","14:17","14:14","89","83","-3","14:23","9","0","0","0","0","0"
"DL","04/03/2018","1276","N936DN","ATL","12:39","12:29","94","100","-10","12:46","17","0","0","0","0","0"
"DL","04/03/2018","1327","N394DA","LAX","07:00","06:56","295","309","-4","07:08","12","0","0","0","0","0"
"DL","04/03/2018","1646","N918DL","ATL","18:46","19:12","96","88","26","19:20","8","0","0","0","0","18"
"DL","04/03/2018","1695","N930DN","ATL","16:59","16:56","106","96","-3","17:16","20","0","0","0","0","0"
"DL","04/03/2018","2197","N904DE","ATL","05:45","05:44","100","88","-1","05:56","12","0","0","0","0","0"
"DL","04/03/2018","2419","N931DL","ATL","07:05","06:57","99","94","-8","07:15","18","0","0","0","0","0"
"DL","04/04/2018","1069","N913DE","ATL","10:23","10:17","90","92","-6","10:28","11","0","0","0","0","0"
"DL","04/04/2018","1085","N362NW","ATL","08:30","08:36","101","93","6","08:45","9","0","0","0","0","0"
"DL","04/04/2018","1193","N905DE","ATL","14:17","14:15","89","91","-2","14:25","10","0","0","0","0","0"
"DL","04/04/2018","1276","N928DN","ATL","12:39","12:35","94","89","-4","12:45","10","0","0","0","0","0"
"DL","04/04/2018","1646","N936DN","ATL","18:41","18:38","103","96","-3","19:00","22","0","0","0","0","0"
"DL","04/04/2018","1695","N923DN","ATL","16:59","17:19","106","85","20","17:29","10","0","0","0","0","0"
"DL","04/04/2018","1731","N327NB","MSP","07:00","06:58","120","120","-2","07:15","17","0","0","0","0","0"
"DL","04/04/2018","2197","N904DE","ATL","05:45","05:34","100","97","-11","05:51","17","0","0","0","0","0"
"DL","04/04/2018","2419","N852DN","ATL","07:05","07:03","99","102","-2","07:12","9","0","0","0","0","0"
"DL","04/05/2018","1069","N989DL","ATL","10:23","10:18","90","88","-5","10:27","9","0","0","0","0","0"
"DL","04/05/2018","1085","N347NW","ATL","08:30","08:22","101","87","-8","08:34","12","0","0","0","0","0"
"DL","04/05/2018","1193","N908DE","ATL","14:17","14:18","89","87","1","14:25","7","0","0","0","0","0"
"DL","04/05/2018","1276","N905DL","ATL","12:39","12:33","94","92","-6","12:44","11","0","0","0","0","0"
