Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0588","N662AW","PHX","07:10","07:05","286","266","-5","07:17","12","0","0","0","0","0"
"AA","04/01/2018","0659","N814AW","LAX","16:25","16:19","312","316","-6","16:36","17","0","0","0","0","0"
"AA","04/01/2018","1180","N965TW","DFW","07:45","07:39","176","163","-6","07:52","13","0","0","0","0","0"
"AA","04/01/2018","1194","N971TW","DFW","15:09","15:20","171","155","11","15:32","12","0","0","0","0","0"
"AA","04/01/2018","2087","N839AW","PHX","18:00","18:00","263","264","0","18:09","9","0","0","0","0","0"
"AA","04/01/2018","2430","N590AA","DFW","19:40","22:27","168","161","167","22:38","11","1","0","0","0","159"
"AA","04/02/2018","0588","N833AW","PHX","07:10","07:03","286","291","-7","07:46","43","0","0","0","0","0"
"AA","04/02/2018","0659","N809AW","LAX","16:25","16:32","312","289","7","16:43","11","0","0","0","0","0"
"AA","04/02/2018","0766","N958UW","PHL","15:45","15:50","90","111","5","16:33","43","5","0","21","0","0"
"AA","04/02/2018","1180","N7550","DFW","07:45","08:37","176","175","52","09:07","30","51","0","0","0","0"
"AA","04/02/2018","1194","N9616G","DFW","15:09","15:00","171","166","-9","15:16","16","0","0","0","0","0"
"AA","04/02/2018","2087","N752US","PHX","18:00","18:28","263","255","28","18:40","12","17","0","0","0","3"
"AA","04/02/2018","2180","N9677W","DFW","11:40","13:19","168","156","99","13:33","14","5","0","0","0","82"
"AA","04/02/2018","2430","N980TW","DFW","19:40","19:38","168","168","-2","19:50","12","0","0","0","0","0"
"AA","04/03/2018","0552","N833AW","PHX","07:35","07:33","279","287","-2","07:54","21","0","0","0","0","0"
"AA","04/03/2018","0659","N770UW","LAX","16:30","16:26","306","299","-4","16:38","12","0","0","0","0","0"
"AA","04/03/2018","1180","N7550","DFW","08:00","07:53","173","189","-7","08:15","22","0","0","0","0","0"
"AA","04/03/2018","1492","N7541A","DFW","11:15","11:10","172","167","-5","11:23","13","0","0","0","0","0"
"AA","04/03/2018","2608","N9677W","DFW","19:15","19:34","169","172","19","19:45","11","0","0","3","0","19"
"AA","04/04/2018","0552","N835AW","PHX","07:35","07:29","279","270","-6","07:41","12","0","0","0","0","0"
"AA","04/04/2018","0659","N833AW","LAX","16:30","16:25","306","293","-5","16:38","13","0","0","0","0","0"
"AA","04/04/2018","1180","N9622A","DFW","08:00","07:52","173","170","-8","08:08","16","0","0","0","0","0"
