Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: Southwest Airlines Co. (WN)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","06/01/2018","0132","N7819A","MDW","08:20","08:15","70","65","-5","08:23","8","0","0","0","0","0"
"WN","06/01/2018","0225","N569WN","FLL","10:35","10:38","155","145","3","10:48","10","0","0","0","0","0"
"WN","06/01/2018","0285","N710SW","DAL","12:15","12:14","155","134","-1","12:21","7","0","0","0","0","0"
"WN","06/01/2018","0420","N498WN","BOS","06:15","06:13","115","112","-2","06:24","11","0","0","0","0","0"
"WN","06/01/2018","0442","N232WN","RSW","13:25","13:21","145","141","-4","13:28","7","0","0","0","0","0"
"WN","06/01/2018","0445","N253WN","MDW","14:45","14:51","70","67","6","15:02","11","0","0","0","0","0"
"WN","06/01/2018","0451","N933WN","MDW","12:55","12:52","70","71","-3","13:01","9","0","0","0","0","0"
"WN","06/01/2018","0467","N240WN","ATL","11:15","11:26","95","83","11","11:35","9","0","0","0","0","0"
"WN","06/01/2018","0507","N8571Z","BWI","05:55","05:54","75","72","-1","06:03","9","0","0","0","0","0"
"WN","06/01/2018","0606","N7832A","DEN","06:15","06:12","190","178","-3","06:26","14","0","0","0","0","0"
"WN","06/01/2018","0615","N246LV","MDW","07:00","06:58","70","58","-2","07:05","7","0","0","0","0","0"
"WN","06/01/2018","0617","N8324A","TPA","05:35","05:35","130","117","0","05:42","7","0","0","0","0","0"
"WN","06/01/2018","0633","N236WN","BWI","15:25","15:34","75","73","9","15:45","11","0","0","0","0","0"
"WN","06/01/2018","0785","N720WN","MCO","14:25","14:39","130","118","14","14:46","7","0","0","0","0","0"
"WN","06/01/2018","0908","N453WN","MDW","18:25","18:27","70","59","2","18:37","10","0","0","0","0","0"
"WN","06/01/2018","1339","N443WN","BWI","17:55","00:00","75","0","0","00:00","0","0","0","0","0","0"
"WN","06/01/2018","1529","N904WN","BNA","18:45","18:44","75","76","-1","18:53","9","0","0","0","0","0"
"WN","06/01/2018","1592","N720WN","MDW","21:50","00:02","70","60","132","00:11","9","0","0","0","0","122"
"WN","06/01/2018","1629","N419WN","BNA","06:55","06:48","75","63","-7","06:56","8","0","0","0","0","0"
"WN","06/01/2018","1643","N8604K","MCO","18:50","18:54","130","123","4","19:03","9","0","0","0","0","0"
"WN","06/01/2018","1676","N7732A","STL","20:15","20:14","85","68","-1","20:21","7","0","0","0","0","0"
"WN","06/01/2018","1705","N228WN","STL","09:35","09:27","85","71","-8","09:35","8","0","0","0","0","0"
"WN","06/01/2018","1715","N957WN","ATL","17:30","00:00","100","0","0","00:00","0","0","0","0","0","0"
"WN","06/01/2018","1741","N217JC","BOS","16:10","17:47","115","128","97","17:57","10","13","0","13","0","84"
"WN","06/01/2018","1747","N704SW","DCA","17:30","17:46","80","63","16","17:55","9","0","0","0","0","0"
"WN","06/01/2018","1948","N7715E","PHX","19:55","20:20","255","238","25","20:29","9","0","0","0","0","0"
"WN","06/01/2018","1965","N7821L","MCO","05:25","05:17","130","120","-8","05:25","8","0","0","0","0","0"
"WN","06/01/2018","1969","N251WN","DCA","09:50","09:45","75","80","-5","10:04","19","0","0","0","0","0"
"WN","06/01/2018","2020","N8544Z","ATL","08:10","08:08","95","89","-2","08:20","12","0","0","0","0","0"
"WN","06/01/2018","2066","N425LV","BWI","10:10","10:10","75","73","0","10:20","10","0","0","0","0","0"
"WN","06/01/2018","2106","N8537Z","LAS","16:45","16:43","260","249","-2","16:52","9","0","0","0","0","0"
"WN","06/01/2018","5057","N969WN","MSY","18:10","18:41","135","115","31","18:50","9","0","0","0","0","0"
"WN","06/01/2018","5466","N957WN","TPA","17:45","17:39","135","130","-6","17:49","10","0","0","0","0","0"
"WN","06/01/2018","5475","N8321D","OAK","16:55","17:00","305","290","5","17:08","8","0","0","0","0","0"
"WN","06/01/2018","5526","N236WN","MCO","09:45","09:41","130","121","-4","09:49","8","0","0","0","0","0"
"WN","06/01/2018","5836","N7820L","LAS","05:40","05:36","265","253","-4","05:45","9","0","0","0","0","0"
