Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: Delta Airlines Inc. (DL)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","06/01/2018","0804","N950DN","MSP","07:00","07:00","116","117","0","07:11","11","0","0","0","0","0"
"DL","06/01/2018","0932","N945DN","MSP","17:27","17:36","127","122","9","17:47","11","0","0","0","0","0"
"DL","06/01/2018","1069","N925DN","ATL","10:20","10:22","89","83","2","10:33","11","0","0","0","0","0"
"DL","06/01/2018","1085","N953DN","ATL","08:30","10:01","95","96","91","10:21","20","91","0","1","0","0"
"DL","06/01/2018","1193","N956DL","ATL","19:59","21:19","91","101","80","21:27","8","0","0","12","0","78"
"DL","06/01/2018","1276","N949DN","ATL","12:40","12:36","90","102","-4","13:05","29","0","0","0","0","0"
"DL","06/01/2018","1327","N378DA","LAX","07:05","07:21","288","280","16","07:29","8","0","0","0","0","0"
"DL","06/01/2018","1646","N954DL","ATL","18:45","22:27","102","100","222","22:47","20","0","0","0","0","220"
"DL","06/01/2018","1695","N903DE","ATL","16:59","19:16","101","84","137","19:29","13","0","0","33","0","87"
"DL","06/01/2018","2076","N988DL","ATL","14:23","18:50","98","88","267","19:04","14","0","0","257","0","0"
"DL","06/01/2018","2322","N837DN","ATL","05:45","05:45","89","76","0","05:53","8","0","0","0","0","0"
"DL","06/01/2018","2419","N943DL","ATL","07:00","07:03","91","83","3","07:12","9","0","0","0","0","0"
"DL","06/02/2018","1069","N972DL","ATL","10:34","10:31","87","78","-3","10:38","7","0","0","0","0","0"
"DL","06/02/2018","1085","N925DN","ATL","08:30","09:50","93","92","80","10:12","22","79","0","0","0","0"
"DL","06/02/2018","1327","N374DA","LAX","07:00","06:57","288","275","-3","07:06","9","0","0","0","0","0"
"DL","06/02/2018","1695","N992DL","ATL","17:25","17:22","92","75","-3","17:31","9","0","0","0","0","0"
"DL","06/02/2018","2076","N948DL","ATL","14:05","14:34","99","77","29","14:42","8","0","0","0","0","0"
"DL","06/02/2018","2096","N948DN","MSP","07:00","06:52","114","115","-8","07:07","15","0","0","0","0","0"
"DL","06/02/2018","2957","N803DN","ATL","06:00","05:56","88","85","-4","06:05","9","0","0","0","0","0"
"DL","06/03/2018","0804","N939DN","MSP","07:00","06:59","116","98","-1","07:08","9","0","0","0","0","0"
"DL","06/03/2018","0932","N924DN","MSP","17:27","17:25","127","110","-2","17:34","9","0","0","0","0","0"
"DL","06/03/2018","1069","N945DN","ATL","10:20","10:20","89","78","0","10:31","11","0","0","0","0","0"
"DL","06/03/2018","1085","N925DN","ATL","08:30","08:22","95","85","-8","08:33","11","0","0","0","0","0"
"DL","06/03/2018","1193","N916DL","ATL","19:59","20:45","91","87","46","20:58","13","0","0","0","0","42"
"DL","06/03/2018","1276","N995DL","ATL","12:40","12:37","98","104","-3","13:04","27","0","0","0","0","0"
"DL","06/03/2018","1327","N3754A","LAX","07:05","07:01","288","281","-4","07:12","11","0","0","0","0","0"
"DL","06/03/2018","1646","N911DL","ATL","18:45","19:40","102","89","55","19:48","8","0","0","32","0","10"
"DL","06/03/2018","1672","N945DN","ATL","05:45","05:42","90","78","-3","05:56","14","0","0","0","0","0"
"DL","06/03/2018","1695","N927DA","ATL","16:59","16:56","101","98","-3","17:08","12","0","0","0","0","0"
"DL","06/03/2018","2076","N971DL","ATL","14:23","14:20","98","89","-3","14:33","13","0","0","0","0","0"
"DL","06/03/2018","2419","N821DN","ATL","07:00","06:56","91","72","-4","07:04","8","0","0","0","0","0"
"DL","06/04/2018","0804","N917DN","MSP","07:00","07:07","116","111","7","07:18","11","0","0","0","0","0"
"DL","06/04/2018","0932","N905DA","MSP","17:27","17:22","127","111","-5","17:35","13","0","0","0","0","0"
"DL","06/04/2018","1069","N944DN","ATL","10:20","12:58","89","82","158","13:12","14","136","0","0","0","15"
"DL","06/04/2018","1085","N945DN","ATL","08:30","08:29","95","83","-1","08:43","14","0","0","0","0","0"
"DL","06/04/2018","1193","N998DL","ATL","19:59","19:50","91","99","-9","20:04","14","0","0","0","0","0"
"DL","06/04/2018","1276","N950DN","ATL","12:40","13:08","90","80","28","13:21","13","12","0","0","0","6"
"DL","06/04/2018","1327","N3757D","LAX","07:05","07:01","288","296","-4","07:16","15","0","0","0","0","0"
"DL","06/04/2018","1646","N987DL","ATL","18:45","18:46","102","85","1","19:00","14","0","0","0","0","0"
"DL","06/04/2018","1695","N983DL","ATL","16:59","17:24","101","89","25","17:39","15","0","0","0","0","0"
"DL","06/04/2018","2076","N974DL","ATL","14:23","14:33","98","77","10","14:44","11","0","0","0","0","0"
"DL","06/04/2018","2322","N944DL","ATL","05:45","05:43","91","78","-2","05:52","9","0","0","0","0","0"
"DL","06/04/2018","2419","N920DN","ATL","07:00","06:59","91","84","-1","07:13","14","0","0","0","0","0"
"DL","06/05/2018","0804","N929DN","MSP","07:00","06:59","116","126","-1","07:12","13","0","0","0","0","0"
"DL","06/05/2018","0932","N905DA","MSP","17:27","17:31","127","122","4","17:44","13","0","0","0","0","0"
"DL","06/05/2018","1069","N963DN","ATL","10:20","10:22","89","88","2","10:42","20","0","0","0","0","0"
"DL","06/05/2018","1085","N935DN","ATL","08:30","08:26","95","84","-4","08:39","13","0","0","0","0","0"
"DL","06/05/2018","1193","N926DH","ATL","19:59","21:41","91","84","102","21:58","17","95","0","0","0","0"
"DL","06/05/2018","1276","N951DN","ATL","12:40","12:37","90","96","-3","13:02","25","0","0","0","0","0"
"DL","06/05/2018","1327","N3742C","LAX","07:05","07:00","288","279","-5","07:14","14","0","0","0","0","0"
