Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0331","N343PN","DFW","06:00","06:00","166","155","0","06:14","14","0","0","0","0","0"
"AA","06/01/2018","0508","N767UW","PHX","18:10","18:17","255","243","7","18:27","10","0","0","0","0","0"
"AA","06/01/2018","0582","N758US","PHX","07:43","07:49","278","264","6","07:58","9","0","0","0","0","0"
"AA","06/01/2018","0659","N829AW","LAX","16:29","16:28","296","291","-1","16:38","10","0","0","0","0","0"
"AA","06/01/2018","1180","N970TW","DFW","08:06","08:03","168","150","-3","08:13","10","0","0","0","0","0"
"AA","06/01/2018","1492","N7548A","DFW","11:12","08:27","162","160","1275","08:46","19","1179","0","0","0","94"
"AA","06/01/2018","2608","N843NN","DFW","19:30","20:42","164","154","72","20:52","10","0","0","0","0","62"
"AA","06/02/2018","0331","N908AN","DFW","06:00","06:11","166","148","11","06:22","11","0","0","0","0","0"
"AA","06/02/2018","0582","N819AW","PHX","07:43","08:05","278","261","22","08:15","10","0","0","0","0","0"
"AA","06/02/2018","0659","N760US","LAX","16:29","16:49","296","295","20","16:58","9","19","0","0","0","0"
"AA","06/02/2018","1180","N934NN","DFW","08:06","15:03","168","145","417","15:24","21","0","0","0","0","394"
"AA","06/03/2018","0331","N946AN","DFW","06:00","06:04","166","154","4","06:18","14","0","0","0","0","0"
"AA","06/03/2018","0508","N829AW","PHX","18:10","18:25","255","248","15","18:37","12","0","0","0","0","0"
"AA","06/03/2018","0582","N840AW","PHX","07:43","07:44","278","276","1","07:56","12","0","0","0","0","0"
"AA","06/03/2018","0659","N832AW","LAX","16:29","16:25","296","286","-4","16:35","10","0","0","0","0","0"
"AA","06/03/2018","1180","N984TW","DFW","08:06","08:16","168","151","10","08:27","11","0","0","0","0","0"
"AA","06/03/2018","1492","N966TW","DFW","11:12","11:37","162","157","25","11:57","20","15","0","0","0","5"
"AA","06/03/2018","2608","N812NN","DFW","19:30","19:29","164","144","-1","19:38","9","0","0","0","0","0"
"AA","06/04/2018","0331","N950NN","DFW","06:00","05:59","166","278","-1","06:14","15","0","0","111","0","0"
"AA","06/04/2018","0508","N812AW","PHX","18:10","18:10","255","252","0","18:28","18","0","0","0","0","0"
"AA","06/04/2018","0582","N822AW","PHX","07:43","07:41","278","274","-2","07:52","11","0","0","0","0","0"
"AA","06/04/2018","0659","N829AW","LAX","16:29","16:25","296","288","-4","16:40","15","0","0","0","0","0"
"AA","06/04/2018","1180","N7541A","DFW","08:06","08:45","168","165","39","09:03","18","0","0","36","0","0"
"AA","06/04/2018","1492","N984TW","DFW","11:12","14:21","162","169","189","14:34","13","3","0","7","0","186"
"AA","06/04/2018","2608","N861NN","DFW","19:30","20:09","164","150","39","20:19","10","3","0","0","0","22"
"AA","06/05/2018","0331","N986NN","DFW","06:00","05:55","166","177","-5","06:09","14","0","0","0","0","0"
"AA","06/05/2018","0508","N812AW","PHX","18:10","19:31","255","232","81","19:45","14","0","0","0","0","58"
"AA","06/05/2018","0582","N763US","PHX","07:43","07:41","278","273","-2","07:57","16","0","0","0","0","0"
"AA","06/05/2018","0659","N758US","LAX","16:29","16:31","296","278","2","16:43","12","0","0","0","0","0"
"AA","06/05/2018","1180","N984TW","DFW","08:06","07:56","168","199","-10","08:22","26","0","0","21","0","0"
"AA","06/05/2018","1492","N7548A","DFW","11:12","11:49","162","153","37","12:02","13","4","0","0","0","24"
"AA","06/05/2018","2608","N899NN","DFW","19:30","19:27","164","151","-3","19:43","16","0","0","0","0","0"
"AA","06/06/2018","0331","N337PJ","DFW","06:00","05:54","166","161","-6","06:09","15","0","0","0","0","0"
