Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: Southwest Airlines Co. (WN)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","10/01/2018","0034","N903WN","MDW","20:00","00:00","70","0","0","00:00","0","0","0","0","0","0"
"WN","10/01/2018","0258","N484WN","DCA","17:20","17:15","80","66","-5","17:26","11","0","0","0","0","0"
"WN","10/01/2018","0500","N439WN","MCO","18:15","18:11","140","125","-4","18:21","10","0","0","0","0","0"
"WN","10/01/2018","0754","N253WN","MDW","06:10","06:04","65","61","-6","06:13","9","0","0","0","0","0"
"WN","10/01/2018","1029","N411WN","DCA","09:40","09:35","80","61","-5","09:42","7","0","0","0","0","0"
"WN","10/01/2018","1058","N462WN","TPA","14:20","14:18","140","125","-2","14:27","9","0","0","0","0","0"
"WN","10/01/2018","1305","N733SA","BWI","06:05","06:02","75","73","-3","06:12","10","0","0","0","0","0"
"WN","10/01/2018","1489","N914WN","BNA","06:40","06:39","75","63","-1","06:46","7","0","0","0","0","0"
"WN","10/01/2018","1601","N8567Z","MDW","14:15","14:14","70","62","-1","14:21","7","0","0","0","0","0"
"WN","10/01/2018","1718","N7860A","MDW","08:45","08:42","75","66","-3","08:52","10","0","0","0","0","0"
"WN","10/01/2018","1783","N498WN","ATL","11:10","11:28","100","89","18","11:43","15","0","0","0","0","0"
"WN","10/01/2018","1795","N749SW","BWI","17:00","16:52","75","70","-8","17:03","11","0","0","0","0","0"
"WN","10/01/2018","1833","N227WN","LAS","06:55","06:52","255","259","-3","07:10","18","0","0","0","0","0"
"WN","10/01/2018","2571","N8503A","PHX","18:00","17:58","245","240","-2","18:06","8","0","0","0","0","0"
"WN","10/01/2018","2599","N7838A","LAS","12:25","12:24","260","262","-1","12:32","8","0","0","0","0","0"
"WN","10/01/2018","3028","N775SW","BNA","18:45","18:37","75","65","-8","18:46","9","0","0","0","0","0"
"WN","10/01/2018","3045","N916WN","ATL","17:35","17:30","90","86","-5","17:41","11","0","0","0","0","0"
"WN","10/01/2018","3522","N569WN","BWI","11:25","11:21","75","62","-4","11:27","6","0","0","0","0","0"
"WN","10/01/2018","3640","N714CB","DAL","07:20","07:19","145","130","-1","07:27","8","0","0","0","0","0"
"WN","10/01/2018","3651","N930WN","MCO","07:20","07:22","135","119","2","07:30","8","0","0","0","0","0"
"WN","10/01/2018","3658","N8573Z","MDW","12:55","12:49","65","59","-6","12:57","8","0","0","0","0","0"
"WN","10/01/2018","3661","N8566Z","RSW","09:10","09:12","150","133","2","09:19","7","0","0","0","0","0"
"WN","10/01/2018","3665","N8566Z","OAK","16:30","16:31","300","307","1","16:43","12","0","0","0","0","0"
"WN","10/01/2018","3668","N405WN","DEN","06:00","05:57","185","183","-3","06:09","12","0","0","0","0","0"
"WN","10/01/2018","3803","N445WN","STL","20:10","20:26","80","76","16","20:35","9","0","0","0","0","0"
"WN","10/01/2018","4261","N928WN","ATL","08:00","07:57","95","86","-3","08:07","10","0","0","0","0","0"
"WN","10/01/2018","5360","N779SW","BWI","14:30","14:23","70","64","-7","14:33","10","0","0","0","0","0"
"WN","10/01/2018","5757","N435WN","STL","09:35","09:34","80","84","-1","09:41","7","0","0","0","0","0"
