Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2018","0755","N906DL","ATL","14:28","14:21","94","92","-7","14:31","10","0","0","0","0","0"
"DL","10/01/2018","1069","N962DL","ATL","10:27","10:23","92","88","-4","10:34","11","0","0","0","0","0"
"DL","10/01/2018","1085","N883DN","ATL","08:10","08:22","95","106","12","08:35","13","12","0","11","0","0"
"DL","10/01/2018","1276","N984DL","ATL","12:23","12:16","94","84","-7","12:27","11","0","0","0","0","0"
"DL","10/01/2018","1327","N372DA","LAX","07:01","06:57","294","277","-4","07:07","10","0","0","0","0","0"
"DL","10/01/2018","1646","N957DL","ATL","18:52","18:39","97","89","-13","18:51","12","0","0","0","0","0"
"DL","10/01/2018","1695","N915DE","ATL","16:50","16:47","94","93","-3","17:00","13","0","0","0","0","0"
"DL","10/01/2018","2197","N384DA","ATL","05:45","05:38","95","82","-7","05:49","11","0","0","0","0","0"
"DL","10/01/2018","2313","N3744F","MSP","17:20","17:15","121","122","-5","17:25","10","0","0","0","0","0"
"DL","10/01/2018","2419","N897DN","ATL","07:10","07:07","94","91","-3","07:19","12","0","0","0","0","0"
"DL","10/01/2018","2738","N834DN","MSP","06:55","06:53","118","115","-2","07:03","10","0","0","0","0","0"
"DL","10/02/2018","0755","N967DL","ATL","14:28","14:21","94","82","-7","14:30","9","0","0","0","0","0"
"DL","10/02/2018","1069","N978DL","ATL","10:27","10:25","92","84","-2","10:35","10","0","0","0","0","0"
"DL","10/02/2018","1085","N892DN","ATL","08:10","08:03","95","85","-7","08:11","8","0","0","0","0","0"
"DL","10/02/2018","1276","N913DL","ATL","12:23","12:40","94","91","17","12:55","15","0","0","0","0","0"
"DL","10/02/2018","1327","N3767","LAX","07:01","07:01","294","294","0","07:12","11","0","0","0","0","0"
"DL","10/02/2018","1646","N974DL","ATL","18:52","18:45","97","91","-7","18:57","12","0","0","0","0","0"
"DL","10/02/2018","1695","N947DL","ATL","16:50","16:44","94","86","-6","16:56","12","0","0","0","0","0"
"DL","10/02/2018","2197","N878DN","ATL","05:45","05:34","95","79","-11","05:44","10","0","0","0","0","0"
"DL","10/02/2018","2313","N3744F","MSP","17:20","17:17","121","111","-3","17:24","7","0","0","0","0","0"
