Detailed Statistics Departures  
Origin Airport: Columbus, OH: John Glenn Columbus International (CMH)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","0479","N802AW","PHX","07:45","09:06","264","245","81","09:24","18","62","0","0","0","0"
"AA","10/01/2018","1257","N966TW","DFW","11:52","11:48","163","152","-4","12:00","12","0","0","0","0","0"
"AA","10/01/2018","1492","N969TW","DFW","14:29","14:22","165","144","-7","14:34","12","0","0","0","0","0"
"AA","10/01/2018","1583","N9624T","DFW","08:01","07:54","165","157","-7","08:05","11","0","0","0","0","0"
"AA","10/01/2018","1792","N826AW","PHX","18:15","18:11","248","257","-4","18:27","16","0","0","0","0","0"
"AA","10/01/2018","2102","N829AW","LAX","16:37","16:37","287","280","0","16:46","9","0","0","0","0","0"
"AA","10/01/2018","2236","N908NN","DFW","19:07","19:01","162","139","-6","19:12","11","0","0","0","0","0"
"AA","10/01/2018","2380","N929AN","DFW","06:14","06:37","164","167","23","07:08","31","23","0","3","0","0"
"AA","10/02/2018","0479","N832AW","PHX","07:45","07:36","264","284","-9","07:49","13","0","0","0","0","0"
"AA","10/02/2018","1257","N963TW","DFW","11:52","11:47","163","155","-5","12:02","15","0","0","0","0","0"
"AA","10/02/2018","1492","N961TW","DFW","14:29","14:18","165","150","-11","14:32","14","0","0","0","0","0"
"AA","10/02/2018","1583","N979TW","DFW","08:01","07:53","165","150","-8","08:05","12","0","0","0","0","0"
"AA","10/02/2018","2102","N801AW","LAX","16:37","16:33","287","300","-4","16:47","14","0","0","0","0","0"
"AA","10/02/2018","2236","N885NN","DFW","19:07","19:08","162","149","1","19:22","14","0","0","0","0","0"
"AA","10/02/2018","2380","N998NN","DFW","06:14","06:09","164","174","-5","06:37","28","0","0","0","0","0"
"AA","10/03/2018","0479","N826AW","PHX","07:45","07:41","264","253","-4","07:56","15","0","0","0","0","0"
"AA","10/03/2018","1257","N9626F","DFW","11:52","11:41","163","146","-11","11:54","13","0","0","0","0","0"
"AA","10/03/2018","1492","N9621A","DFW","14:29","14:19","165","145","-10","14:29","10","0","0","0","0","0"
"AA","10/03/2018","1583","N7541A","DFW","08:01","07:49","165","161","-12","08:07","18","0","0","0","0","0"
"AA","10/03/2018","1792","N815AW","PHX","18:15","18:06","248","236","-9","18:18","12","0","0","0","0","0"
"AA","10/03/2018","2102","N838AW","LAX","16:37","16:31","287","292","-6","16:52","21","0","0","0","0","0"
"AA","10/03/2018","2236","N970AN","DFW","19:07","19:04","162","145","-3","19:14","10","0","0","0","0","0"
"AA","10/03/2018","2380","N905AN","DFW","06:14","06:28","164","152","14","06:42","14","0","0","0","0","0"
"AA","10/04/2018","0479","N816AW","PHX","07:45","07:37","265","267","-8","07:52","15","0","0","0","0","0"
"AA","10/04/2018","1257","N9619V","DFW","11:49","11:42","165","144","-7","11:51","9","0","0","0","0","0"
"AA","10/04/2018","1492","N9677W","DFW","14:55","14:53","167","144","-2","15:05","12","0","0","0","0","0"
"AA","10/04/2018","1583","N9617R","DFW","07:55","07:47","171","224","-8","08:14","27","0","0","45","0","0"
"AA","10/04/2018","1792","N803AW","PHX","18:12","18:07","251","248","-5","18:17","10","0","0","0","0","0"
"AA","10/04/2018","2102","N755US","LAX","16:33","16:32","291","299","-1","16:47","15","0","0","0","0","0"
"AA","10/04/2018","2236","N916AN","DFW","19:05","19:15","164","151","10","19:32","17","0","0","0","0","0"
"AA","10/04/2018","2380","N997NN","DFW","06:10","06:04","168","145","-6","06:15","11","0","0","0","0","0"
"AA","10/05/2018","0421","N127UW","CLT","05:10","05:05","84","84","-5","05:19","14","0","0","0","0","0"
"AA","10/05/2018","0479","N834AW","PHX","07:45","07:38","265","273","-7","07:53","15","0","0","0","0","0"
"AA","10/05/2018","1257","N9624T","DFW","11:49","11:46","165","156","-3","11:59","13","0","0","0","0","0"
"AA","10/05/2018","1492","N9617R","DFW","14:55","14:46","167","150","-9","15:03","17","0","0","0","0","0"
"AA","10/05/2018","1583","N983NN","DFW","07:55","07:48","171","165","-7","08:05","17","0","0","0","0","0"
"AA","10/05/2018","1792","N801AW","PHX","18:12","18:20","251","245","8","18:34","14","0","0","0","0","0"
"AA","10/05/2018","2102","N803AW","LAX","16:33","16:27","291","284","-6","16:37","10","0","0","0","0","0"
"AA","10/05/2018","2236","N924AN","DFW","19:05","18:58","164","155","-7","19:13","15","0","0","0","0","0"
"AA","10/05/2018","2380","N990NN","DFW","06:10","06:09","168","163","-1","06:29","20","0","0","0","0","0"
"AA","10/06/2018","0421","N712US","CLT","05:10","05:02","84","76","-8","05:14","12","0","0","0","0","0"
"AA","10/06/2018","0479","N821AW","PHX","07:45","07:40","265","272","-5","07:52","12","0","0","0","0","0"
"AA","10/06/2018","1492","N9617R","DFW","14:55","14:49","167","161","-6","15:00","11","0","0","0","0","0"
"AA","10/06/2018","1583","N851NN","DFW","07:55","07:48","171","161","-7","08:04","16","0","0","0","0","0"
"AA","10/06/2018","1792","N833AW","PHX","18:12","18:05","251","257","-7","18:15","10","0","0","0","0","0"
"AA","10/06/2018","2102","N751UW","LAX","16:33","16:26","291","296","-7","16:34","8","0","0","0","0","0"
"AA","10/06/2018","2380","N929NN","DFW","06:10","06:07","168","152","-3","06:19","12","0","0","0","0","0"
"AA","10/07/2018","0421","N714US","CLT","05:10","05:07","84","82","-3","05:19","12","0","0","0","0","0"
"AA","10/07/2018","0479","N801AW","PHX","07:45","07:39","265","276","-6","07:51","12","0","0","0","0","0"
"AA","10/07/2018","1257","N937NN","DFW","11:49","11:43","165","149","-6","11:58","15","0","0","0","0","0"
"AA","10/07/2018","1492","N971TW","DFW","14:55","14:53","167","150","-2","15:08","15","0","0","0","0","0"
"AA","10/07/2018","1583","N864NN","DFW","07:55","07:52","171","165","-3","08:05","13","0","0","0","0","0"
"AA","10/07/2018","1792","N755US","PHX","18:12","18:30","251","242","18","18:39","9","0","0","0","0","0"
"AA","10/07/2018","2102","N813AW","LAX","16:33","17:00","291","292","27","17:14","14","27","0","1","0","0"
