Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Southwest Airlines Co. (WN)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","01/01/2018","0192","N7715E","STL","20:20","20:57","100","116","37","21:14","17","11","0","16","0","26"
"WN","01/01/2018","0323","N8527Q","PHX","11:05","11:04","280","268","-1","11:24","20","0","0","0","0","0"
"WN","01/01/2018","0324","N8671D","ATL","17:15","17:36","125","110","21","17:58","22","0","0","0","0","0"
"WN","01/01/2018","0489","N8309C","BWI","16:40","16:52","70","78","12","17:16","24","0","0","8","0","12"
"WN","01/01/2018","0560","N8550Q","LAS","07:00","07:11","290","278","11","07:33","22","0","0","0","0","0"
"WN","01/01/2018","0567","N774SW","STL","07:55","09:03","100","87","68","09:10","7","55","0","0","0","0"
"WN","01/01/2018","1019","N7715E","MDW","12:45","13:01","80","91","16","13:36","35","5","0","11","0","11"
"WN","01/01/2018","1556","N7813P","BNA","18:10","18:34","100","99","24","19:02","28","2","0","0","0","21"
"WN","01/01/2018","1622","N8688J","LAS","12:40","13:02","285","276","22","13:22","20","0","0","0","0","0"
"WN","01/01/2018","1730","N412WN","MDW","15:55","16:59","75","81","64","17:23","24","25","0","6","0","39"
"WN","01/01/2018","1760","N7716A","BNA","06:10","06:34","100","100","24","06:56","22","24","0","0","0","0"
"WN","01/01/2018","1792","N8629A","ATL","07:45","07:49","115","111","4","08:06","17","0","0","0","0","0"
"WN","01/01/2018","1877","N7823A","MDW","17:35","17:56","85","88","21","18:28","32","21","0","3","0","0"
"WN","01/01/2018","1905","N8552Z","MDW","06:45","07:00","80","88","15","07:27","27","15","0","8","0","0"
"WN","01/01/2018","2012","N425LV","MKE","06:25","06:36","90","88","11","07:01","25","0","0","0","0","0"
"WN","01/01/2018","2022","N556WN","BWI","05:55","05:51","80","74","-4","06:12","21","0","0","0","0","0"
"WN","01/01/2018","5685","N763SW","MKE","19:00","19:13","80","83","13","19:37","24","0","0","3","0","13"
"WN","01/01/2018","5739","N774SW","MDW","09:20","00:00","80","0","0","00:00","0","0","0","0","0","0"
"WN","01/01/2018","5938","N7812G","DEN","10:15","10:19","200","210","4","10:50","31","0","0","0","0","0"
"WN","01/01/2018","6018","N8706W","BWI","11:35","11:48","70","81","13","12:12","24","0","0","11","0","13"
"WN","01/02/2018","0916","N727SW","BNA","06:20","06:20","100","101","0","06:49","29","0","0","0","0","0"
"WN","01/02/2018","1429","N457WN","MDW","12:20","12:24","80","67","4","12:31","7","0","0","0","0","0"
"WN","01/02/2018","1439","N494WN","BWI","13:25","13:35","70","65","10","13:41","6","0","0","0","0","0"
"WN","01/02/2018","1564","N248WN","BWI","18:10","18:15","75","63","5","18:21","6","0","0","0","0","0"
"WN","01/02/2018","1577","N8555Z","MKE","16:25","16:24","80","65","-1","16:31","7","0","0","0","0","0"
"WN","01/02/2018","3168","N218WN","STL","20:35","20:47","100","81","12","20:54","7","0","0","0","0","0"
"WN","01/02/2018","3628","N705SW","MDW","17:25","17:40","90","68","15","17:48","8","0","0","0","0","0"
"WN","01/02/2018","5129","N797MX","BWI","05:35","05:32","80","76","-3","05:45","13","0","0","0","0","0"
"WN","01/02/2018","5199","N8691A","LAS","08:10","08:19","290","255","9","08:40","21","0","0","0","0","0"
"WN","01/02/2018","5211","N8652B","MKE","06:40","06:36","95","93","-4","07:09","33","0","0","0","0","0"
"WN","01/02/2018","5242","N8301J","ATL","07:15","07:18","120","111","3","07:40","22","0","0","0","0","0"
"WN","01/02/2018","5327","N707SA","STL","08:30","08:30","100","91","0","08:49","19","0","0","0","0","0"
"WN","01/02/2018","5342","N7715E","BWI","11:10","11:19","70","71","9","11:29","10","0","0","0","0","0"
"WN","01/02/2018","5630","N552WN","BNA","19:15","20:11","100","83","56","20:18","7","2","0","0","0","37"
"WN","01/02/2018","5848","N784SW","MDW","14:00","13:57","75","63","-3","14:04","7","0","0","0","0","0"
"WN","01/02/2018","6068","N8626B","PHX","17:55","18:16","280","236","21","18:25","9","0","0","0","0","0"
"WN","01/02/2018","6510","N714CB","MDW","15:40","15:48","75","70","8","15:58","10","0","0","0","0","0"
"WN","01/02/2018","6569","N8696E","ATL","16:55","17:25","115","99","30","17:31","6","0","0","0","0","0"
"WN","01/02/2018","6702","N8311Q","DEN","10:30","10:36","205","170","6","10:51","15","0","0","0","0","0"
"WN","01/02/2018","6818","N7883A","MDW","05:55","06:05","80","79","10","06:28","23","0","0","0","0","0"
"WN","01/03/2018","0192","N229WN","STL","20:20","21:03","100","97","43","21:29","26","4","0","0","0","36"
"WN","01/03/2018","0323","N8676A","PHX","11:05","11:05","280","246","0","11:13","8","0","0","0","0","0"
"WN","01/03/2018","0324","N8610A","ATL","17:15","17:21","125","109","6","17:41","20","0","0","0","0","0"
"WN","01/03/2018","0489","N8601C","BWI","16:40","17:50","70","84","70","18:15","25","6","0","14","0","64"
"WN","01/03/2018","0560","N8670A","LAS","07:00","07:02","290","254","2","07:10","8","0","0","0","0","0"
"WN","01/03/2018","0567","N709SW","STL","07:55","07:55","100","105","0","08:04","9","0","0","0","0","0"
"WN","01/03/2018","1019","N229WN","MDW","12:45","12:58","80","66","13","13:05","7","0","0","0","0","0"
"WN","01/03/2018","1556","N564WN","BNA","18:10","18:08","100","94","-2","18:28","20","0","0","0","0","0"
"WN","01/03/2018","1622","N8544Z","LAS","12:40","12:46","285","264","6","12:55","9","0","0","0","0","0"
"WN","01/03/2018","1730","N411WN","MDW","15:55","16:15","75","63","20","16:22","7","0","0","0","0","0"
"WN","01/03/2018","1760","N298WN","BNA","06:10","06:12","100","85","2","06:24","12","0","0","0","0","0"
"WN","01/03/2018","1792","N8691A","ATL","07:45","07:43","115","119","-2","07:51","8","0","0","0","0","0"
"WN","01/03/2018","1877","N961WN","MDW","17:35","18:03","85","76","28","18:24","21","19","0","0","0","0"
