Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","01/01/2018","0716","N895AT","ATL","12:00","12:04","125","131","4","12:32","28","0","0","0","0","0"
"DL","01/01/2018","1247","N933AT","ATL","08:30","08:24","126","131","-6","09:01","37","0","0","0","0","0"
"DL","01/01/2018","1251","N949AT","ATL","16:20","16:16","133","118","-4","16:38","22","0","0","0","0","0"
"DL","01/01/2018","2636","N960AT","ATL","06:00","06:07","125","118","7","06:30","23","0","0","0","0","0"
"DL","01/02/2018","1158","N960AT","ATL","16:59","17:40","125","105","41","17:50","10","21","0","0","0","0"
"DL","01/02/2018","1474","N921AT","ATL","14:52","14:58","118","102","6","15:06","8","0","0","0","0","0"
"DL","01/02/2018","2232","N926AT","ATL","10:38","10:34","120","105","-4","10:50","16","0","0","0","0","0"
"DL","01/02/2018","2530","N928AT","ATL","07:30","07:34","125","118","4","08:04","30","0","0","0","0","0"
"DL","01/02/2018","2636","N998AT","ATL","06:00","05:59","125","106","-1","06:19","20","0","0","0","0","0"
"DL","01/02/2018","2774","N970AT","ATL","18:55","19:00","128","104","5","19:08","8","0","0","0","0","0"
"DL","01/03/2018","1158","N919DL","ATL","17:36","17:38","117","117","2","18:05","27","0","0","0","0","0"
"DL","01/03/2018","1474","N922DL","ATL","12:34","12:32","123","103","-2","12:44","12","0","0","0","0","0"
"DL","01/03/2018","2232","N945DL","ATL","10:50","10:44","116","99","-6","10:59","15","0","0","0","0","0"
"DL","01/03/2018","2528","N915DN","ATL","14:35","15:06","117","103","31","15:20","14","17","0","0","0","0"
"DL","01/03/2018","2530","N954DN","ATL","07:10","07:04","124","117","-6","07:22","18","0","0","0","0","0"
"DL","01/03/2018","2636","N973DL","ATL","06:00","05:55","124","125","-5","06:20","25","0","0","0","0","0"
"DL","01/04/2018","1158","N919DL","ATL","17:36","17:50","117","108","14","17:58","8","0","0","0","0","0"
"DL","01/04/2018","1474","N904DL","ATL","12:34","12:29","123","101","-5","12:39","10","0","0","0","0","0"
"DL","01/04/2018","2138","N895AT","DTW","06:25","06:24","69","64","-1","06:56","32","0","0","0","0","0"
"DL","01/04/2018","2232","N954DN","ATL","10:50","10:59","116","96","9","11:07","8","0","0","0","0","0"
"DL","01/04/2018","2528","N950DN","ATL","14:35","15:16","114","92","41","15:24","8","7","0","0","0","12"
"DL","01/04/2018","2530","N910DN","ATL","07:10","07:07","124","120","-3","07:38","31","0","0","0","0","0"
"DL","01/04/2018","2636","N961DN","ATL","06:00","05:57","124","114","-3","06:25","28","0","0","0","0","0"
"DL","01/05/2018","1158","N938DL","ATL","17:36","17:41","117","99","5","17:50","9","0","0","0","0","0"
"DL","01/05/2018","1474","N951DL","ATL","12:34","12:39","123","98","5","12:49","10","0","0","0","0","0"
"DL","01/05/2018","2138","N895AT","DTW","06:25","06:24","69","65","-1","06:52","28","0","0","0","0","0"
"DL","01/05/2018","2232","N916DN","ATL","10:50","10:48","116","93","-2","10:57","9","0","0","0","0","0"
"DL","01/05/2018","2528","N953DN","ATL","14:35","15:13","114","94","38","15:21","8","8","0","0","0","10"
"DL","01/05/2018","2530","N948DN","ATL","07:10","07:16","124","114","6","07:38","22","0","0","0","0","0"
"DL","01/05/2018","2636","N954DL","ATL","06:00","05:54","124","109","-6","06:20","26","0","0","0","0","0"
"DL","01/06/2018","1743","N961DN","ATL","09:00","09:36","130","104","36","09:56","20","0","0","0","0","0"
"DL","01/06/2018","2138","N325US","DTW","06:25","06:26","66","52","1","06:47","21","0","0","0","0","0"
"DL","01/06/2018","2232","N926DL","ATL","11:45","12:49","121","100","64","12:58","9","0","7","0","0","36"
"DL","01/06/2018","2528","N907DE","ATL","15:00","14:59","114","88","-1","15:07","8","0","0","0","0","0"
"DL","01/06/2018","2530","N919DE","ATL","07:00","07:58","122","114","58","08:19","21","50","0","0","0","0"
"DL","01/06/2018","2636","N914DN","ATL","06:00","06:10","122","96","10","06:21","11","0","0","0","0","0"
"DL","01/07/2018","1158","N948DL","ATL","17:36","19:05","117","105","89","19:18","13","4","1","0","0","72"
"DL","01/07/2018","1451","N951AT","DTW","17:50","17:48","74","44","-2","17:56","8","0","0","0","0","0"
"DL","01/07/2018","1474","N953DL","ATL","12:34","12:32","123","109","-2","12:47","15","0","0","0","0","0"
"DL","01/07/2018","1743","N926DH","ATL","08:30","13:04","124","108","274","13:16","12","0","258","0","0","0"
"DL","01/07/2018","2138","N325US","DTW","06:25","06:34","69","76","9","07:18","44","0","9","7","0","0"
"DL","01/07/2018","2232","N923DL","ATL","10:50","11:04","116","113","14","11:24","20","0","0","0","0","0"
"DL","01/07/2018","2374","N906AT","MSP","09:20","09:29","142","137","9","10:02","33","0","0","0","0","0"
"DL","01/07/2018","2528","N910DE","ATL","14:35","14:29","114","110","-6","14:44","15","0","0","0","0","0"
"DL","01/07/2018","2530","N947DN","ATL","07:00","08:38","124","127","98","09:12","34","0","98","3","0","0"
"DL","01/08/2018","1158","N922DL","ATL","17:36","18:18","117","113","42","18:33","15","0","0","0","0","38"
"DL","01/08/2018","1451","N978AT","DTW","17:50","17:48","74","49","-2","18:04","16","0","0","0","0","0"
"DL","01/08/2018","1474","N916DE","ATL","12:34","13:02","123","115","28","13:16","14","0","0","20","0","0"
"DL","01/08/2018","2138","N957AT","DTW","06:25","07:12","69","101","47","08:20","68","0","47","32","0","0"
"DL","01/08/2018","2232","N921DN","ATL","10:50","11:27","116","113","37","11:49","22","0","0","34","0","0"
"DL","01/08/2018","2374","N947AT","MSP","06:37","07:14","138","173","37","08:25","71","0","37","35","0","0"
"DL","01/08/2018","2528","N951DN","ATL","14:35","15:53","114","113","78","16:04","11","0","0","0","0","77"
"DL","01/08/2018","2530","N965DN","ATL","07:10","08:25","124","155","75","09:17","52","0","75","31","0","0"
"DL","01/08/2018","2636","N920DE","ATL","06:00","06:59","124","169","59","08:12","73","0","59","45","0","0"
"DL","01/09/2018","1158","N985DL","ATL","17:36","17:35","117","98","-1","17:46","11","0","0","0","0","0"
"DL","01/09/2018","1451","N954AT","DTW","17:50","17:44","74","52","-6","18:01","17","0","0","0","0","0"
"DL","01/09/2018","1474","N948DL","ATL","12:34","12:42","123","94","8","12:50","8","0","0","0","0","0"
"DL","01/09/2018","2138","N932AT","DTW","06:25","06:21","69","59","-4","06:42","21","0","0","0","0","0"
"DL","01/09/2018","2232","N912DN","ATL","10:50","10:49","116","104","-1","11:01","12","0","0","0","0","0"
"DL","01/09/2018","2374","N906AT","MSP","06:37","06:37","138","143","0","07:11","34","0","0","0","0","0"
"DL","01/09/2018","2528","N950DN","ATL","14:35","14:33","117","101","-2","14:45","12","0","0","0","0","0"
"DL","01/09/2018","2530","N963DN","ATL","07:10","07:06","124","126","-4","07:29","23","0","0","0","0","0"
"DL","01/09/2018","2636","N962DL","ATL","06:00","05:59","124","106","-1","06:19","20","0","0","0","0","0"
"DL","01/10/2018","1158","N988DL","ATL","17:36","17:40","117","98","4","17:48","8","0","0","0","0","0"
"DL","01/10/2018","1451","N915AT","DTW","17:50","17:58","74","93","8","18:40","42","0","0","27","0","0"
"DL","01/10/2018","1474","N983DL","ATL","12:34","12:26","123","108","-8","12:36","10","0","0","0","0","0"
"DL","01/10/2018","2138","N331NW","DTW","06:25","06:19","69","57","-6","06:45","26","0","0","0","0","0"
"DL","01/10/2018","2232","N960DL","ATL","10:50","10:46","116","97","-4","10:52","6","0","0","0","0","0"
"DL","01/10/2018","2374","N926AT","MSP","06:37","06:36","138","150","-1","07:11","35","0","0","0","0","0"
"DL","01/10/2018","2528","N922DL","ATL","14:35","14:34","117","101","-1","14:44","10","0","0","0","0","0"
"DL","01/10/2018","2530","N935DN","ATL","07:10","07:10","124","119","0","07:35","25","0","0","0","0","0"
"DL","01/10/2018","2636","N962DL","ATL","06:00","05:58","124","111","-2","06:21","23","0","0","0","0","0"
"DL","01/11/2018","1158","N906DE","ATL","17:36","17:58","117","116","22","18:07","9","21","0","0","0","0"
"DL","01/11/2018","1451","N979AT","DTW","17:50","17:53","74","61","3","18:18","25","0","0","0","0","0"
"DL","01/11/2018","1474","N913DE","ATL","12:34","12:31","123","117","-3","12:41","10","0","0","0","0","0"
"DL","01/11/2018","2138","N936AT","DTW","06:25","06:21","69","48","-4","06:32","11","0","0","0","0","0"
"DL","01/11/2018","2232","N913DN","ATL","10:50","11:06","116","117","16","11:17","11","16","0","1","0","0"
"DL","01/11/2018","2374","N983AT","MSP","06:37","06:33","138","108","-4","06:42","9","0","0","0","0","0"
"DL","01/11/2018","2528","N917DN","ATL","14:35","14:50","114","119","15","15:02","12","13","0","5","0","2"
"DL","01/11/2018","2530","N945DN","ATL","07:10","07:07","124","113","-3","07:17","10","0","0","0","0","0"
"DL","01/11/2018","2636","N911DL","ATL","06:00","05:57","124","110","-3","06:07","10","0","0","0","0","0"
"DL","01/12/2018","1158","N986DL","ATL","17:36","17:49","117","173","13","18:49","60","0","13","56","0","0"
"DL","01/12/2018","1451","N936AT","DTW","17:50","17:49","74","77","-1","18:34","45","0","0","0","0","0"
"DL","01/12/2018","1474","N944DL","ATL","12:34","14:29","123","137","115","15:00","31","115","0","14","0","0"
"DL","01/12/2018","2138","N365NB","DTW","06:25","06:31","69","40","6","06:41","10","0","0","0","0","0"
"DL","01/12/2018","2232","N905DA","ATL","10:50","10:52","116","115","2","11:04","12","0","0","0","0","0"
"DL","01/12/2018","2374","N910AT","MSP","06:37","06:29","138","111","-8","06:44","15","0","0","0","0","0"
"DL","01/12/2018","2528","N907DA","ATL","14:35","15:30","114","156","55","16:18","48","0","43","42","0","12"
"DL","01/12/2018","2530","N909DA","ATL","07:10","07:10","124","137","0","07:23","13","0","0","0","0","0"
"DL","01/12/2018","2636","N941DL","ATL","06:00","05:59","124","112","-1","06:07","8","0","0","0","0","0"
"DL","01/13/2018","2138","N915AT","DTW","06:25","06:23","66","67","-2","06:56","33","0","0","0","0","0"
"DL","01/13/2018","2232","N943DL","ATL","11:45","11:39","121","116","-6","12:01","22","0","0","0","0","0"
"DL","01/13/2018","2528","N905DE","ATL","15:00","14:55","114","114","-5","15:09","14","0","0","0","0","0"
"DL","01/13/2018","2530","N938DL","ATL","07:00","07:15","122","129","15","07:51","36","0","15","7","0","0"
"DL","01/13/2018","2636","N917DN","ATL","06:00","06:24","122","136","24","07:04","40","0","24","14","0","0"
"DL","01/14/2018","1743","N975DL","ATL","09:00","10:54","130","124","114","11:21","27","108","0","0","0","0"
"DL","01/14/2018","2232","N921DL","ATL","11:45","12:18","121","106","33","12:25","7","7","0","0","0","11"
"DL","01/14/2018","2374","N968AT","MSP","09:20","09:15","139","136","-5","09:43","28","0","0","0","0","0"
