Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2018","0061","N594NW","ATL","12:54","12:51","275","268","-3","13:14","23","0","0","0","0","0"
"DL","10/01/2018","0064","N808DN","ATL","10:07","10:02","270","260","-5","10:22","20","0","0","0","0","0"
"DL","10/01/2018","0144","N389DA","SEA","14:13","14:08","136","136","-5","14:38","30","0","0","0","0","0"
"DL","10/01/2018","0267","N722TW","JFK","12:50","12:50","340","319","0","13:02","12","0","0","0","0","0"
"DL","10/01/2018","0407","N718TW","JFK","08:25","08:23","335","311","-2","08:36","13","0","0","0","0","0"
"DL","10/01/2018","0434","N956AT","LAX","13:00","12:56","97","118","-4","13:42","46","0","0","17","0","0"
"DL","10/01/2018","0474","N703TW","JFK","11:35","11:29","344","335","-6","11:56","27","0","0","0","0","0"
"DL","10/01/2018","0522","N338NB","SLC","13:10","13:01","114","101","-9","13:23","22","0","0","0","0","0"
"DL","10/01/2018","0745","N822DN","DTW","11:39","11:54","285","260","15","12:12","18","0","0","0","0","0"
"DL","10/01/2018","0806","N809DN","MSP","00:25","01:20","216","192","55","01:35","15","31","0","0","0","0"
"DL","10/01/2018","0829","N807DN","ATL","22:50","22:57","276","254","7","23:09","12","0","0","0","0","0"
"DL","10/01/2018","0854","N593NW","DTW","06:45","06:38","279","257","-7","06:52","14","0","0","0","0","0"
"DL","10/01/2018","0925","N975AT","SLC","06:00","06:00","120","97","0","06:13","13","0","0","0","0","0"
"DL","10/01/2018","1151","N889DN","MSP","15:34","15:37","231","198","3","15:52","15","0","0","0","0","0"
"DL","10/01/2018","1210","N6710E","ATL","06:00","05:57","278","257","-3","06:14","17","0","0","0","0","0"
"DL","10/01/2018","1241","N717JL","SLC","16:50","16:44","111","102","-6","16:58","14","0","0","0","0","0"
"DL","10/01/2018","1400","N371DA","LAX","06:00","05:56","97","78","-4","06:12","16","0","0","0","0","0"
"DL","10/01/2018","1461","N6711M","DTW","09:00","08:59","277","249","-1","09:11","12","0","0","0","0","0"
"DL","10/01/2018","1658","N819DN","DTW","22:30","22:27","271","242","-3","22:39","12","0","0","0","0","0"
