Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: United Airlines Inc. (UA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","01/01/2018","0265","N27734","IAH","08:45","08:34","205","204","-11","08:55","21","0","0","0","0","0"
"UA","01/01/2018","0413","N37255","SFO","19:10","20:17","337","330","67","20:30","13","20","0","0","0","40"
"UA","01/01/2018","0620","N14704","IAH","06:34","06:25","206","197","-9","06:43","18","0","0","0","0","0"
"UA","01/01/2018","0763","N25201","DEN","08:50","08:46","210","205","-4","09:06","20","0","0","0","0","0"
"UA","01/01/2018","0776","N13720","ORD","08:55","08:51","97","81","-4","09:12","21","0","0","0","0","0"
"UA","01/01/2018","0785","N77537","ORD","10:47","10:45","91","86","-2","11:12","27","0","0","0","0","0"
"UA","01/01/2018","0976","N37255","ORD","15:31","15:50","93","89","19","16:20","30","6","0","0","0","9"
"UA","01/01/2018","1171","N62884","LAX","19:17","19:20","331","348","3","19:54","34","0","0","20","0","0"
"UA","01/01/2018","1530","N78524","EWR","08:02","12:18","98","107","256","12:46","28","0","256","9","0","0"
"UA","01/01/2018","1615","N77258","SFO","07:08","07:04","330","332","-4","07:28","24","0","0","0","0","0"
"UA","01/01/2018","1806","N26226","FLL","07:21","07:21","184","180","0","07:35","14","0","0","0","0","0"
"UA","01/01/2018","1808","N26226","RSW","15:11","15:11","169","166","0","15:32","21","0","0","0","0","0"
"UA","01/01/2018","1981","N27477","LAX","07:31","07:27","333","311","-4","07:39","12","0","0","0","0","0"
"UA","01/01/2018","2079","N37255","MCO","08:40","08:37","153","158","-3","08:58","21","0","0","0","0","0"
"UA","01/02/2018","0413","N14242","SFO","19:10","19:45","337","321","35","19:58","13","13","0","0","0","6"
"UA","01/02/2018","0620","N17730","IAH","06:34","06:34","206","203","0","07:00","26","0","0","0","0","0"
"UA","01/02/2018","0763","N26226","DEN","08:50","08:51","210","181","1","09:14","23","0","0","0","0","0"
"UA","01/02/2018","0776","N23708","ORD","08:55","08:57","97","78","2","09:10","13","0","0","0","0","0"
"UA","01/02/2018","0785","N14214","ORD","11:00","10:58","91","78","-2","11:17","19","0","0","0","0","0"
"UA","01/02/2018","0976","N38424","ORD","15:17","15:28","93","72","11","15:38","10","0","0","0","0","0"
"UA","01/02/2018","1050","N76522","EWR","06:12","06:12","97","92","0","06:34","22","0","0","0","0","0"
"UA","01/02/2018","1171","N36472","LAX","19:07","19:25","331","329","18","19:34","9","16","0","0","0","0"
"UA","01/02/2018","1530","N76288","EWR","08:10","08:07","98","89","-3","08:24","17","0","0","0","0","0"
"UA","01/02/2018","1615","N86534","SFO","07:08","07:06","330","303","-2","07:21","15","0","0","0","0","0"
"UA","01/02/2018","1806","N87527","FLL","07:21","07:20","184","191","-1","07:31","11","0","0","0","0","0"
"UA","01/02/2018","1808","N87527","RSW","15:11","15:04","169","160","-7","15:13","9","0","0","0","0","0"
"UA","01/02/2018","1981","N38454","LAX","07:31","07:30","333","304","-1","07:53","23","0","0","0","0","0"
"UA","01/02/2018","2079","N38424","MCO","08:50","08:44","153","160","-6","09:11","27","0","0","0","0","0"
"UA","01/02/2018","2116","N14735","ORD","07:30","07:31","92","90","1","08:03","32","0","0","0","0","0"
"UA","01/03/2018","0413","N37267","SFO","19:10","19:10","337","335","0","19:39","29","0","0","0","0","0"
"UA","01/03/2018","0620","N38424","IAH","06:34","06:31","206","184","-3","06:41","10","0","0","0","0","0"
"UA","01/03/2018","0763","N35236","DEN","08:50","08:47","210","190","-3","09:03","16","0","0","0","0","0"
"UA","01/03/2018","0776","N24715","ORD","08:55","08:54","97","127","-1","09:07","13","0","0","29","0","0"
"UA","01/03/2018","0785","N77525","ORD","11:00","10:51","91","92","-9","11:02","11","0","0","0","0","0"
"UA","01/03/2018","0976","N27722","ORD","15:17","15:16","93","67","-1","15:27","11","0","0","0","0","0"
"UA","01/03/2018","1050","N87527","EWR","06:12","06:06","97","83","-6","06:15","9","0","0","0","0","0"
"UA","01/03/2018","1171","N36469","LAX","19:07","19:23","331","304","16","19:46","23","0","0","0","0","0"
