Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","1426","N501AA","DFW","15:30","16:29","187","193","59","17:00","31","0","0","6","0","59"
"AA","01/01/2018","1652","N701UW","CLT","06:34","06:30","106","106","-4","06:54","24","0","0","0","0","0"
"AA","01/01/2018","1771","N949UW","PHL","18:36","18:27","84","96","-9","19:01","34","0","0","0","0","0"
"AA","01/01/2018","2009","N839AW","CLT","11:56","11:53","99","102","-3","12:17","24","0","0","0","0","0"
"AA","01/01/2018","2208","N9618A","DFW","19:25","19:33","185","240","8","20:53","80","0","0","55","0","8"
"AA","01/01/2018","2364","N7548A","DFW","07:10","08:53","196","211","103","09:37","44","103","0","15","0","0"
"AA","01/02/2018","1426","N968TW","DFW","15:30","16:14","187","165","44","16:26","12","1","0","0","0","21"
"AA","01/02/2018","1652","N724UW","CLT","06:34","06:33","106","119","-1","07:08","35","0","0","0","0","0"
"AA","01/02/2018","1771","N965UW","PHL","18:36","18:34","84","89","-2","18:59","25","0","0","0","0","0"
"AA","01/02/2018","1818","N944UW","PHL","06:00","06:04","89","106","4","06:42","38","4","0","17","0","0"
"AA","01/02/2018","2009","N836AW","CLT","11:56","12:29","99","88","33","12:40","11","0","0","0","0","22"
"AA","01/02/2018","2208","N9625W","DFW","19:25","19:55","185","187","30","20:26","31","6","0","2","0","24"
"AA","01/02/2018","2364","N7528A","DFW","07:10","07:12","196","176","2","07:41","29","0","0","0","0","0"
"AA","01/03/2018","1426","N9615W","DFW","15:30","15:49","187","165","19","16:08","19","0","0","0","0","0"
"AA","01/03/2018","1652","N711UW","CLT","06:34","06:29","106","106","-5","06:51","22","0","0","0","0","0"
"AA","01/03/2018","1771","N950UW","PHL","18:36","18:20","84","108","-16","19:04","44","0","0","0","0","0"
"AA","01/03/2018","1818","N952UW","PHL","06:00","05:57","89","74","-3","06:08","11","0","0","0","0","0"
"AA","01/03/2018","2009","N831AW","CLT","11:56","11:47","99","94","-9","11:58","11","0","0","0","0","0"
"AA","01/03/2018","2208","N9625W","DFW","19:25","20:10","185","179","45","20:42","32","0","0","0","0","39"
"AA","01/03/2018","2364","N983TW","DFW","07:10","07:11","196","175","1","07:38","27","0","0","0","0","0"
"AA","01/04/2018","1426","N9621A","DFW","15:30","15:25","187","162","-5","15:34","9","0","0","0","0","0"
"AA","01/04/2018","1652","N717UW","CLT","06:34","06:29","106","102","-5","06:57","28","0","0","0","0","0"
"AA","01/04/2018","1771","N949UW","PHL","18:36","19:25","84","74","49","19:38","13","0","0","0","0","39"
"AA","01/04/2018","1818","N963UW","PHL","06:00","06:01","89","95","1","06:23","22","0","0","0","0","0"
"AA","01/04/2018","2009","N749US","CLT","11:56","12:43","99","79","47","12:53","10","3","0","0","0","24"
"AA","01/04/2018","2208","N980TW","DFW","19:25","19:25","185","163","0","19:36","11","0","0","0","0","0"
"AA","01/04/2018","2364","N961TW","DFW","07:10","07:36","196","189","26","08:16","40","19","0","0","0","0"
"AA","01/05/2018","1426","N590AA","DFW","15:30","15:30","187","173","0","15:41","11","0","0","0","0","0"
"AA","01/05/2018","1652","N709UW","CLT","06:34","06:30","106","98","-4","06:54","24","0","0","0","0","0"
"AA","01/05/2018","1771","N949UW","PHL","18:36","18:39","84","86","3","18:54","15","0","0","0","0","0"
"AA","01/05/2018","1818","N955UW","PHL","06:00","06:22","89","86","22","06:46","24","19","0","0","0","0"
"AA","01/05/2018","2009","N832AW","CLT","11:56","11:50","99","86","-6","12:01","11","0","0","0","0","0"
"AA","01/05/2018","2208","N962TW","DFW","19:25","19:21","185","172","-4","19:34","13","0","0","0","0","0"
"AA","01/05/2018","2364","N426AA","DFW","07:10","07:01","196","181","-9","07:31","30","0","0","0","0","0"
"AA","01/06/2018","1426","N555AN","DFW","15:30","15:29","187","154","-1","15:38","9","0","0","0","0","0"
"AA","01/06/2018","1652","N721UW","CLT","06:34","06:59","106","95","25","07:16","17","0","0","0","0","0"
"AA","01/06/2018","1818","N951UW","PHL","06:00","06:00","89","93","0","06:19","19","0","0","0","0","0"
"AA","01/06/2018","1887","N961UW","PHL","13:10","13:04","84","73","-6","13:14","10","0","0","0","0","0"
"AA","01/06/2018","2208","N962TW","DFW","19:25","19:18","185","159","-7","19:29","11","0","0","0","0","0"
"AA","01/06/2018","2364","N969TW","DFW","07:10","07:07","196","190","-3","07:39","32","0","0","0","0","0"
"AA","01/07/2018","1426","N9677W","DFW","15:30","15:23","187","175","-7","15:32","9","0","0","0","0","0"
"AA","01/07/2018","1652","N701UW","CLT","06:34","06:28","106","98","-6","06:47","19","0","0","0","0","0"
"AA","01/07/2018","1771","N949UW","PHL","18:36","19:01","84","80","25","19:14","13","0","0","0","0","21"
"AA","01/07/2018","2009","N837AW","CLT","11:56","11:50","99","77","-6","12:02","12","0","0","0","0","0"
"AA","01/07/2018","2208","N7541A","DFW","19:25","19:18","185","171","-7","19:28","10","0","0","0","0","0"
"AA","01/07/2018","2364","N9615W","DFW","07:10","07:02","196","181","-8","07:27","25","0","0","0","0","0"
"AA","01/08/2018","1426","N9629H","DFW","15:40","15:36","185","162","-4","15:47","11","0","0","0","0","0"
"AA","01/08/2018","1752","N702UW","CLT","13:52","13:43","98","88","-9","13:54","11","0","0","0","0","0"
"AA","01/08/2018","1771","N768US","PHL","18:30","21:18","94","92","168","21:31","13","0","0","0","0","166"
"AA","01/08/2018","1818","N949UW","PHL","06:05","06:05","95","115","0","07:01","56","0","0","20","0","0"
"AA","01/08/2018","2208","N7528A","DFW","19:20","19:14","187","160","-6","19:25","11","0","0","0","0","0"
"AA","01/08/2018","2214","N9616G","DFW","17:10","17:20","191","170","10","17:34","14","0","0","0","0","0"
"AA","01/08/2018","2364","N9629H","DFW","07:05","07:08","197","209","3","07:58","50","0","3","12","0","0"
"AA","01/09/2018","1426","N9622A","DFW","15:40","15:32","185","173","-8","15:47","15","0","0","0","0","0"
"AA","01/09/2018","1660","N708UW","CLT","08:20","08:14","108","102","-6","08:37","23","0","0","0","0","0"
"AA","01/09/2018","1752","N700UW","CLT","13:52","13:43","98","85","-9","13:53","10","0","0","0","0","0"
"AA","01/09/2018","1771","N951UW","PHL","18:30","18:17","94","107","-13","19:01","44","0","0","0","0","0"
"AA","01/09/2018","1818","N948UW","PHL","06:05","00:00","95","0","0","00:00","0","0","0","0","0","0"
"AA","01/09/2018","2208","N9618A","DFW","19:20","20:14","187","151","54","20:25","11","0","0","0","0","18"
"AA","01/09/2018","2364","N979TW","DFW","07:05","07:04","197","204","-1","07:32","28","0","0","0","0","0"
"AA","01/10/2018","1426","N426AA","DFW","15:40","15:36","185","203","-4","16:04","28","0","0","0","0","0"
"AA","01/10/2018","1660","N708UW","CLT","08:20","08:12","108","100","-8","08:33","21","0","0","0","0","0"
"AA","01/10/2018","1752","N741UW","CLT","13:52","13:44","98","88","-8","13:57","13","0","0","0","0","0"
"AA","01/10/2018","1771","N944UW","PHL","18:30","18:25","94","96","-5","19:01","36","0","0","0","0","0"
"AA","01/10/2018","1818","N951UW","PHL","06:05","05:51","95","88","-14","06:19","28","0","0","0","0","0"
"AA","01/10/2018","2208","N969TW","DFW","19:20","19:09","187","187","-11","19:19","10","0","0","0","0","0"
"AA","01/10/2018","2364","N968TW","DFW","07:05","07:25","197","186","20","07:48","23","0","0","0","0","0"
"AA","01/11/2018","1426","N963TW","DFW","15:40","15:35","185","191","-5","15:48","13","0","0","0","0","0"
"AA","01/11/2018","1660","N716UW","CLT","08:20","08:10","108","115","-10","08:20","10","0","0","0","0","0"
"AA","01/11/2018","1752","N740UW","CLT","13:52","13:43","98","109","-9","14:00","17","0","0","0","0","0"
"AA","01/11/2018","1771","N954UW","PHL","18:30","18:27","94","92","-3","18:40","13","0","0","0","0","0"
"AA","01/11/2018","1818","N944UW","PHL","06:05","06:00","95","75","-5","06:11","11","0","0","0","0","0"
"AA","01/11/2018","2208","N7528A","DFW","19:20","19:47","187","194","27","20:05","18","0","27","7","0","0"
"AA","01/11/2018","2214","N70425","DFW","17:10","17:34","191","222","24","18:22","48","0","24","31","0","0"
"AA","01/11/2018","2364","N983TW","DFW","07:05","07:01","197","180","-4","07:11","10","0","0","0","0","0"
"AA","01/12/2018","1426","N7548A","DFW","15:40","15:37","185","214","-3","16:27","50","0","0","26","0","0"
"AA","01/12/2018","1660","N705UW","CLT","08:20","08:19","108","95","-1","08:30","11","0","0","0","0","0"
"AA","01/12/2018","1752","N730US","CLT","13:52","13:54","98","112","2","14:21","27","2","0","14","0","0"
"AA","01/12/2018","1771","N945UW","PHL","18:30","19:27","94","138","57","20:17","50","0","39","44","0","18"
"AA","01/12/2018","1818","N954UW","PHL","06:05","06:00","95","87","-5","06:10","10","0","0","0","0","0"
"AA","01/12/2018","2208","N9620D","DFW","19:20","21:30","187","198","130","22:10","40","0","0","11","0","130"
