Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","04/01/2018","2075","N220WN","MSY","11:40","11:38","160","135","-2","11:45","7","0","0","0","0","0"
"WN","04/01/2018","2176","N7849A","ATL","08:00","11:40","115","92","220","11:47","7","197","0","0","0","0"
"WN","04/01/2018","2234","N7724A","STL","10:45","10:45","95","90","0","10:49","4","0","0","0","0","0"
"WN","04/01/2018","2266","N216WR","LAS","14:20","14:19","270","294","-1","14:28","9","0","0","23","0","0"
"WN","04/01/2018","2714","N8310C","BWI","16:55","16:58","70","61","3","17:06","8","0","0","0","0","0"
"WN","04/01/2018","2829","N929WN","STL","20:40","20:36","95","100","-4","20:46","10","0","0","0","0","0"
"WN","04/01/2018","2857","N255WN","BWI","12:00","12:02","70","62","2","12:10","8","0","0","0","0","0"
"WN","04/01/2018","2862","N912WN","BWI","06:10","06:08","75","67","-2","06:19","11","0","0","0","0","0"
"WN","04/01/2018","2881","N7844A","MDW","11:05","11:04","75","66","-1","11:11","7","0","0","0","0","0"
"WN","04/01/2018","2989","N7724A","MKE","06:45","06:39","95","70","-6","06:46","7","0","0","0","0","0"
"WN","04/01/2018","3019","N717SA","RSW","07:00","06:59","170","165","-1","07:08","9","0","0","0","0","0"
"WN","04/01/2018","3304","N202WN","MDW","07:20","07:18","80","86","-2","07:37","19","0","0","0","0","0"
"WN","04/01/2018","3882","N493WN","BNA","18:15","18:13","90","95","-2","18:24","11","0","0","0","0","0"
"WN","04/01/2018","4128","N8621A","PHX","06:35","06:37","270","271","2","06:47","10","0","0","0","0","0"
"WN","04/01/2018","4257","N460WN","BNA","07:55","07:53","100","89","-2","08:04","11","0","0","0","0","0"
"WN","04/01/2018","4375","N8512U","MDW","17:55","17:57","75","77","2","18:12","15","0","0","0","0","0"
"WN","04/01/2018","4456","N210WN","ATL","17:20","17:19","110","99","-1","17:29","10","0","0","0","0","0"
"WN","04/01/2018","4497","N7728D","PHX","18:30","18:30","270","287","0","18:41","11","0","0","17","0","0"
"WN","04/01/2018","4570","N452WN","DEN","11:55","13:13","190","206","78","13:20","7","78","0","16","0","0"
"WN","04/01/2018","4575","N558WN","MKE","13:50","13:50","85","75","0","13:57","7","0","0","0","0","0"
"WN","04/02/2018","0155","N7708E","BWI","12:40","13:13","70","70","33","13:33","20","6","0","0","0","27"
"WN","04/02/2018","0189","N7716A","ATL","07:35","07:28","115","111","-7","07:50","22","0","0","0","0","0"
"WN","04/02/2018","0233","N714CB","STL","20:20","20:19","95","94","-1","20:30","11","0","0","0","0","0"
"WN","04/02/2018","0379","N735SA","BNA","06:25","06:23","100","102","-2","06:42","19","0","0","0","0","0"
"WN","04/02/2018","0418","N900WN","MDW","12:35","12:31","75","71","-4","12:43","12","0","0","0","0","0"
"WN","04/02/2018","0577","N7715E","BWI","06:00","05:58","75","84","-2","06:21","23","0","0","0","0","0"
"WN","04/02/2018","0632","N772SW","MKE","06:20","06:15","95","90","-5","06:38","23","0","0","0","0","0"
"WN","04/02/2018","0725","N474WN","DEN","10:10","10:09","195","216","-1","10:35","26","0","0","20","0","0"
"WN","04/02/2018","1114","N944WN","MDW","18:10","18:13","75","84","3","18:37","24","0","0","0","0","0"
"WN","04/02/2018","1299","N207WN","PHX","11:25","11:24","265","265","-1","11:35","11","0","0","0","0","0"
"WN","04/02/2018","1362","N7719A","MDW","11:05","11:00","75","67","-5","11:09","9","0","0","0","0","0"
"WN","04/02/2018","1496","N8525S","BWI","17:50","17:47","75","59","-3","17:57","10","0","0","0","0","0"
"WN","04/02/2018","1683","N7748A","MDW","14:05","14:02","75","69","-3","14:11","9","0","0","0","0","0"
"WN","04/02/2018","1817","N202WN","MDW","06:50","06:48","80","81","-2","07:06","18","0","0","0","0","0"
"WN","04/02/2018","1931","N8704Q","STL","08:55","08:54","95","101","-1","09:10","16","0","0","0","0","0"
"WN","04/02/2018","1967","N8689C","BWI","14:45","14:42","75","65","-3","14:54","12","0","0","0","0","0"
"WN","04/02/2018","2004","N8651A","LAS","11:00","12:34","270","269","94","12:45","11","0","0","0","0","93"
"WN","04/02/2018","5424","N8305E","PHX","19:50","19:45","270","248","-5","19:55","10","0","0","0","0","0"
"WN","04/02/2018","5699","N8709Q","ATL","16:50","16:45","105","100","-5","16:57","12","0","0","0","0","0"
"WN","04/02/2018","6291","N710SW","BNA","18:55","18:54","95","86","-1","19:02","8","0","0","0","0","0"
"WN","04/02/2018","6318","N412WN","MKE","18:15","18:21","85","76","6","18:33","12","0","0","0","0","0"
"WN","04/03/2018","0155","N796SW","BWI","12:40","12:42","70","73","2","12:53","11","0","0","0","0","0"
"WN","04/03/2018","0189","N463WN","ATL","07:35","07:32","115","111","-3","07:42","10","0","0","0","0","0"
"WN","04/03/2018","0233","N714CB","STL","20:20","22:04","95","101","104","22:12","8","1","0","6","0","103"
"WN","04/03/2018","0379","N563WN","BNA","06:25","06:20","100","95","-5","06:34","14","0","0","0","0","0"
"WN","04/03/2018","0418","N7850B","MDW","12:35","12:34","75","74","-1","12:46","12","0","0","0","0","0"
"WN","04/03/2018","0577","N561WN","BWI","06:00","05:58","75","65","-2","06:10","12","0","0","0","0","0"
"WN","04/03/2018","0632","N472WN","MKE","06:20","06:12","95","86","-8","06:33","21","0","0","0","0","0"
"WN","04/03/2018","0725","N244WN","DEN","10:10","10:06","195","192","-4","10:15","9","0","0","0","0","0"
"WN","04/03/2018","1114","N495WN","MDW","18:10","18:11","75","80","1","18:16","5","0","0","0","0","0"
"WN","04/03/2018","1299","N7746C","PHX","11:25","11:35","265","288","10","11:53","18","1","0","23","0","9"
"WN","04/03/2018","1362","N7733B","MDW","11:05","11:00","75","73","-5","11:08","8","0","0","0","0","0"
"WN","04/03/2018","1496","N8305E","BWI","17:50","17:51","75","76","1","18:03","12","0","0","0","0","0"
"WN","04/03/2018","1683","N7855A","MDW","14:05","14:03","75","95","-2","14:15","12","0","0","18","0","0"
"WN","04/03/2018","1817","N965WN","MDW","06:50","07:06","80","72","16","07:18","12","0","0","0","0","0"
"WN","04/03/2018","1931","N8662F","STL","08:55","08:55","95","97","0","09:05","10","0","0","0","0","0"
"WN","04/03/2018","1967","N8625A","BWI","14:45","14:59","75","65","14","15:06","7","0","0","0","0","0"
"WN","04/03/2018","2004","N8661A","LAS","11:00","11:13","270","285","13","11:24","11","2","0","15","0","11"
"WN","04/03/2018","5424","N8320J","PHX","19:50","19:49","270","273","-1","19:55","6","0","0","0","0","0"
"WN","04/03/2018","5699","N8660A","ATL","16:50","17:06","105","97","16","17:14","8","0","0","0","0","0"
"WN","04/03/2018","6291","N451WN","BNA","18:55","19:56","95","88","61","20:01","5","0","0","0","0","54"
