Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Delta Airlines Inc. (DL)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","04/01/2018","0905","N945AT","MSP","09:10","09:06","127","122","-4","09:16","10","0","0","0","0","0"
"DL","04/01/2018","1158","N907DE","ATL","17:45","17:39","104","109","-6","17:55","16","0","0","0","0","0"
"DL","04/01/2018","1207","N607AT","MSP","18:30","18:25","119","123","-5","18:38","13","0","0","0","0","0"
"DL","04/01/2018","1474","N943DL","ATL","12:24","12:20","109","90","-4","12:26","6","0","0","0","0","0"
"DL","04/01/2018","1536","N960DL","ATL","08:26","08:24","116","103","-2","08:42","18","0","0","0","0","0"
"DL","04/01/2018","2232","N998DL","ATL","11:13","11:03","109","100","-10","11:14","11","0","0","0","0","0"
"DL","04/01/2018","2528","N989DL","ATL","14:43","14:38","110","94","-5","14:47","9","0","0","0","0","0"
"DL","04/01/2018","2530","N904DL","ATL","07:15","07:10","116","96","-5","07:17","7","0","0","0","0","0"
"DL","04/01/2018","2636","N962DL","ATL","06:00","05:57","115","94","-3","06:06","9","0","0","0","0","0"
"DL","04/02/2018","1158","N916DE","ATL","17:08","17:00","113","105","-8","17:15","15","0","0","0","0","0"
"DL","04/02/2018","1474","N992DL","ATL","12:24","12:24","109","103","0","12:33","9","0","0","0","0","0"
"DL","04/02/2018","1536","N911DE","ATL","08:29","08:23","116","110","-6","08:47","24","0","0","0","0","0"
"DL","04/02/2018","1668","N928DN","DTW","06:10","06:10","67","54","0","06:35","25","0","0","0","0","0"
"DL","04/02/2018","2232","N985DL","ATL","11:13","11:13","109","107","0","11:24","11","0","0","0","0","0"
"DL","04/02/2018","2528","N959DL","ATL","14:40","14:38","107","102","-2","14:50","12","0","0","0","0","0"
"DL","04/02/2018","2530","N950DL","ATL","07:15","07:11","116","108","-4","07:32","21","0","0","0","0","0"
"DL","04/02/2018","2636","N918DL","ATL","06:00","05:54","115","112","-6","06:19","25","0","0","0","0","0"
"DL","04/02/2018","2774","N968DL","ATL","18:59","18:58","117","102","-1","19:10","12","0","0","0","0","0"
"DL","04/03/2018","0676","N985DL","ATL","08:20","08:15","111","102","-5","08:26","11","0","0","0","0","0"
"DL","04/03/2018","0708","N936DN","ATL","07:10","07:08","111","109","-2","07:23","15","0","0","0","0","0"
"DL","04/03/2018","0739","N977DL","DTW","06:10","07:01","61","54","51","07:22","21","44","0","0","0","0"
"DL","04/03/2018","1158","N975DL","ATL","16:59","18:08","108","102","69","18:20","12","16","0","0","0","47"
"DL","04/03/2018","1474","N912DE","ATL","12:20","12:14","109","109","-6","12:27","13","0","0","0","0","0"
"DL","04/03/2018","1810","N945AT","MSP","18:30","20:10","119","137","100","20:39","29","0","0","81","0","37"
"DL","04/03/2018","2232","N965DL","ATL","10:48","11:13","106","107","25","11:28","15","0","0","1","0","25"
"DL","04/03/2018","2528","N978DL","ATL","14:35","14:58","104","98","23","15:07","9","17","0","0","0","0"
"DL","04/03/2018","2636","N978DL","ATL","05:55","05:49","112","103","-6","06:02","13","0","0","0","0","0"
"DL","04/03/2018","2774","N934DN","ATL","18:59","18:57","107","101","-2","19:06","9","0","0","0","0","0"
"DL","04/04/2018","0676","N948DL","ATL","08:20","08:17","111","120","-3","08:33","16","0","0","0","0","0"
"DL","04/04/2018","0708","N901DA","ATL","07:10","07:03","111","120","-7","07:12","9","0","0","0","0","0"
"DL","04/04/2018","1158","N908DL","ATL","16:52","17:12","108","109","20","17:25","13","20","0","1","0","0"
"DL","04/04/2018","1474","N907DL","ATL","12:20","12:16","109","114","-4","12:25","9","0","0","0","0","0"
"DL","04/04/2018","1810","N958AT","MSP","18:30","18:37","119","128","7","18:59","22","7","0","9","0","0"
"DL","04/04/2018","2232","N986DL","ATL","10:48","10:47","106","107","-1","10:56","9","0","0","0","0","0"
"DL","04/04/2018","2528","N978DL","ATL","14:35","14:37","104","103","2","14:46","9","0","0","0","0","0"
"DL","04/04/2018","2636","N998DL","ATL","05:55","05:52","112","112","-3","06:02","10","0","0","0","0","0"
"DL","04/04/2018","2774","N932DL","ATL","18:59","19:11","107","116","12","19:36","25","9","0","9","0","3"
"DL","04/05/2018","0676","N932DL","ATL","08:20","08:18","111","126","-2","08:48","30","0","0","0","0","0"
"DL","04/05/2018","0708","N907DE","ATL","07:10","07:10","111","126","0","07:46","36","0","0","15","0","0"
"DL","04/05/2018","1158","N901DE","ATL","16:59","18:32","108","108","93","18:43","11","0","0","0","0","93"
"DL","04/05/2018","1474","N978DL","ATL","12:20","12:42","109","95","22","12:45","3","0","0","0","0","0"
"DL","04/05/2018","1810","N893AT","MSP","18:30","18:34","119","119","4","18:43","9","0","0","0","0","0"
"DL","04/05/2018","2232","N962DL","ATL","10:48","10:52","106","99","4","10:59","7","0","0","0","0","0"
"DL","04/05/2018","2528","N979DL","ATL","14:35","14:49","104","109","14","14:58","9","14","0","5","0","0"
"DL","04/05/2018","2636","N913DL","ATL","05:55","05:51","112","121","-4","06:23","32","0","0","0","0","0"
"DL","04/05/2018","2774","N994DL","ATL","18:59","19:16","107","123","17","19:26","10","17","0","16","0","0"
"DL","04/06/2018","0676","N968DL","ATL","08:20","08:15","111","99","-5","08:28","13","0","0","0","0","0"
"DL","04/06/2018","0708","N943DN","ATL","07:10","07:05","111","106","-5","07:20","15","0","0","0","0","0"
"DL","04/06/2018","1158","N904DL","ATL","16:59","17:39","108","100","40","17:48","9","0","0","0","0","32"
"DL","04/06/2018","1474","N999DN","ATL","12:20","12:15","109","103","-5","12:22","7","0","0","0","0","0"
"DL","04/06/2018","1810","N895AT","MSP","18:30","18:23","119","118","-7","18:32","9","0","0","0","0","0"
"DL","04/06/2018","2232","N965DL","ATL","10:48","12:02","106","96","74","12:08","6","0","0","0","0","64"
"DL","04/06/2018","2528","N987DL","ATL","14:35","14:30","104","100","-5","14:40","10","0","0","0","0","0"
"DL","04/06/2018","2636","N900DE","ATL","05:55","05:48","112","115","-7","06:17","29","0","0","0","0","0"
"DL","04/06/2018","2774","N933DL","ATL","18:59","19:20","107","100","21","19:28","8","0","0","0","0","0"
"DL","04/07/2018","0802","N910DL","ATL","07:10","07:02","105","105","-8","07:14","12","0","0","0","0","0"
"DL","04/07/2018","0817","N907DE","ATL","16:00","15:56","108","110","-4","16:07","11","0","0","0","0","0"
"DL","04/07/2018","1158","N994DL","ATL","17:25","17:14","100","118","-11","17:25","11","0","0","0","0","0"
"DL","04/07/2018","2232","N918DL","ATL","11:17","11:16","107","107","-1","11:29","13","0","0","0","0","0"
"DL","04/07/2018","2636","N936DN","ATL","05:55","05:49","109","109","-6","06:06","17","0","0","0","0","0"
"DL","04/08/2018","0676","N927DA","ATL","08:20","08:17","111","111","-3","08:42","25","0","0","0","0","0"
"DL","04/08/2018","0697","N953DL","ATL","07:10","07:08","111","103","-2","07:27","19","0","0","0","0","0"
"DL","04/08/2018","1158","N994DL","ATL","16:59","16:53","108","99","-6","17:04","11","0","0","0","0","0"
"DL","04/08/2018","1474","N999DN","ATL","12:20","12:22","109","108","2","12:34","12","0","0","0","0","0"
"DL","04/08/2018","1810","N951AT","MSP","18:30","18:26","119","127","-4","18:38","12","0","0","0","0","0"
"DL","04/08/2018","2232","N918DL","ATL","10:48","10:51","106","102","3","11:05","14","0","0","0","0","0"
"DL","04/08/2018","2528","N917DL","ATL","14:35","14:31","104","107","-4","14:48","17","0","0","0","0","0"
"DL","04/08/2018","2636","N917DL","ATL","05:55","05:50","112","106","-5","06:16","26","0","0","0","0","0"
"DL","04/08/2018","2774","N966DL","ATL","18:59","19:09","106","107","10","19:19","10","0","0","0","0","0"
"DL","04/09/2018","0676","N967DL","ATL","08:20","08:14","111","118","-6","08:29","15","0","0","0","0","0"
"DL","04/09/2018","0708","N923DN","ATL","07:10","07:03","111","116","-7","07:16","13","0","0","0","0","0"
"DL","04/09/2018","1158","N935DL","ATL","16:59","16:57","108","117","-2","17:10","13","0","0","0","0","0"
"DL","04/09/2018","1474","N953DL","ATL","12:20","12:12","109","134","-8","12:42","30","0","0","17","0","0"
"DL","04/09/2018","1810","N960AT","MSP","18:30","18:28","119","116","-2","18:45","17","0","0","0","0","0"
"DL","04/09/2018","2232","N984DL","ATL","10:48","10:46","106","119","-2","11:02","16","0","0","0","0","0"
"DL","04/09/2018","2528","N980DL","ATL","14:35","14:32","104","132","-3","14:54","22","0","0","25","0","0"
"DL","04/09/2018","2636","N936DL","ATL","05:55","05:53","112","115","-2","06:04","11","0","0","0","0","0"
"DL","04/09/2018","2774","N967DL","ATL","18:59","18:56","107","114","-3","19:06","10","0","0","0","0","0"
"DL","04/10/2018","0676","N986DL","ATL","08:20","08:17","111","124","-3","08:38","21","0","0","0","0","0"
"DL","04/10/2018","0708","N953DN","ATL","07:10","07:15","111","123","5","07:36","21","0","0","17","0","0"
"DL","04/10/2018","1158","N988DL","ATL","16:59","17:26","108","100","27","17:33","7","18","0","0","0","1"
"DL","04/10/2018","1474","N907DE","ATL","12:20","12:18","109","107","-2","12:26","8","0","0","0","0","0"
"DL","04/10/2018","1810","N943AT","MSP","18:30","18:23","119","112","-7","18:33","10","0","0","0","0","0"
"DL","04/10/2018","2232","N935DL","ATL","10:48","10:45","106","108","-3","10:53","8","0","0","0","0","0"
"DL","04/10/2018","2528","N913DL","ATL","14:35","14:36","104","98","1","14:42","6","0","0","0","0","0"
"DL","04/10/2018","2636","N956DL","ATL","05:55","05:51","112","131","-4","06:17","26","0","0","15","0","0"
"DL","04/10/2018","2774","N900DE","ATL","18:59","18:59","107","101","0","19:07","8","0","0","0","0","0"
"DL","04/11/2018","0676","N955DL","ATL","08:20","08:18","111","90","-2","08:27","9","0","0","0","0","0"
"DL","04/11/2018","0708","N928DN","ATL","07:10","07:06","111","91","-4","07:15","9","0","0","0","0","0"
"DL","04/11/2018","1158","N988DL","ATL","16:59","16:56","108","88","-3","17:05","9","0","0","0","0","0"
"DL","04/11/2018","1474","N944DL","ATL","12:20","12:22","109","91","2","12:33","11","0","0","0","0","0"
"DL","04/11/2018","1810","N936AT","MSP","18:30","18:15","119","135","-15","18:45","30","0","0","0","0","0"
"DL","04/11/2018","2232","N914DL","ATL","10:48","11:07","106","98","19","11:15","8","0","0","0","0","0"
"DL","04/11/2018","2528","N924DL","ATL","14:35","14:41","104","91","6","14:48","7","0","0","0","0","0"
"DL","04/11/2018","2636","N916DL","ATL","05:55","05:50","112","89","-5","05:58","8","0","0","0","0","0"
"DL","04/11/2018","2774","N968DL","ATL","18:59","19:21","107","90","22","19:30","9","0","0","0","0","0"
"DL","04/12/2018","0676","N905DL","ATL","08:20","08:14","111","98","-6","08:22","8","0","0","0","0","0"
"DL","04/12/2018","0708","N954DN","ATL","07:10","07:05","111","97","-5","07:14","9","0","0","0","0","0"
"DL","04/12/2018","1158","N935DL","ATL","16:59","17:12","108","104","13","17:23","11","0","0","0","0","0"
"DL","04/12/2018","1474","N957DL","ATL","12:20","12:19","109","92","-1","12:26","7","0","0","0","0","0"
"DL","04/12/2018","1810","N972AT","MSP","18:30","18:27","119","120","-3","18:37","10","0","0","0","0","0"
"DL","04/12/2018","2232","N973DL","ATL","10:48","10:46","106","90","-2","10:53","7","0","0","0","0","0"
"DL","04/12/2018","2528","N908DL","ATL","14:35","14:43","104","91","8","14:51","8","0","0","0","0","0"
"DL","04/12/2018","2636","N906DE","ATL","05:55","05:50","112","101","-5","06:04","14","0","0","0","0","0"
"DL","04/12/2018","2774","N996DL","ATL","18:59","19:06","107","97","7","19:17","11","0","0","0","0","0"
"DL","04/13/2018","0676","N911DE","ATL","08:20","08:16","111","106","-4","08:28","12","0","0","0","0","0"
"DL","04/13/2018","0708","N924DN","ATL","07:10","08:24","111","117","74","08:46","22","74","0","6","0","0"
"DL","04/13/2018","1158","N996DL","ATL","16:59","16:56","108","104","-3","17:09","13","0","0","0","0","0"
"DL","04/13/2018","1474","N933DL","ATL","12:20","12:17","109","108","-3","12:26","9","0","0","0","0","0"
"DL","04/13/2018","1810","N953AT","MSP","18:30","19:31","119","119","61","19:41","10","0","0","43","0","18"
"DL","04/13/2018","2232","N936DL","ATL","10:48","10:43","106","102","-5","10:50","7","0","0","0","0","0"
"DL","04/13/2018","2528","N985DL","ATL","14:35","14:35","104","106","0","14:47","12","0","0","0","0","0"
"DL","04/13/2018","2636","N902DE","ATL","05:55","05:54","112","109","-1","06:11","17","0","0","0","0","0"
"DL","04/13/2018","2774","N902DE","ATL","18:59","19:21","107","114","22","19:29","8","19","0","7","0","3"
"DL","04/14/2018","0802","N913DE","ATL","07:10","07:03","105","111","-7","07:15","12","0","0","0","0","0"
"DL","04/14/2018","0817","N961DL","ATL","16:00","15:57","108","121","-3","16:11","14","0","0","0","0","0"
"DL","04/14/2018","1158","N913DL","ATL","17:25","17:19","100","130","-6","17:36","17","0","0","24","0","0"
"DL","04/14/2018","2232","N951DL","ATL","11:17","11:10","107","107","-7","11:21","11","0","0","0","0","0"
"DL","04/14/2018","2636","N913DN","ATL","05:55","05:52","109","105","-3","06:08","16","0","0","0","0","0"
"DL","04/15/2018","0676","N978DL","ATL","08:20","08:17","111","119","-3","08:34","17","0","0","0","0","0"
"DL","04/15/2018","0697","N942DL","ATL","07:10","07:09","111","118","-1","07:24","15","0","0","0","0","0"
"DL","04/15/2018","1158","N977DL","ATL","16:59","17:01","108","113","2","17:15","14","0","0","0","0","0"
"DL","04/15/2018","1474","N950DL","ATL","12:20","12:21","109","115","1","12:37","16","0","0","0","0","0"
"DL","04/15/2018","1810","N608AT","MSP","18:30","21:40","119","124","190","21:49","9","0","0","56","0","139"
"DL","04/15/2018","2232","N961DL","ATL","10:48","10:41","106","114","-7","10:53","12","0","0","0","0","0"
