Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: United Airlines Inc. (UA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","04/01/2018","0387","N54711","IAH","06:15","06:13","206","173","-2","06:24","11","0","0","0","0","0"
"UA","04/01/2018","0395","N38417","EWR","09:20","09:06","100","84","-14","09:17","11","0","0","0","0","0"
"UA","04/01/2018","0418","N24715","ORD","14:14","14:09","93","72","-5","14:20","11","0","0","0","0","0"
"UA","04/01/2018","0776","N17719","ORD","08:25","08:14","93","93","-11","08:28","14","0","0","0","0","0"
"UA","04/01/2018","0785","N12238","ORD","11:00","10:58","88","74","-2","11:10","12","0","0","0","0","0"
"UA","04/01/2018","1615","N76528","SFO","07:18","07:14","333","356","-4","07:33","19","0","0","19","0","0"
"UA","04/01/2018","1806","N77535","FLL","07:33","07:25","182","156","-8","07:37","12","0","0","0","0","0"
"UA","04/01/2018","1808","N76529","RSW","15:41","15:35","169","162","-6","15:47","12","0","0","0","0","0"
"UA","04/01/2018","1981","N37465","LAX","08:31","08:19","333","348","-12","08:30","11","0","0","0","0","0"
"UA","04/01/2018","2079","N24715","MCO","07:33","07:28","152","154","-5","07:55","27","0","0","0","0","0"
"UA","04/01/2018","2143","N16701","EWR","06:00","05:55","97","83","-5","06:07","12","0","0","0","0","0"
"UA","04/02/2018","0387","N35271","IAH","06:30","06:26","206","197","-4","06:51","25","0","0","0","0","0"
"UA","04/02/2018","0395","N78438","EWR","09:15","10:41","100","91","86","10:55","14","0","0","77","0","0"
"UA","04/02/2018","0418","N16703","ORD","14:05","13:59","93","76","-6","14:10","11","0","0","0","0","0"
"UA","04/02/2018","0763","N76519","DEN","08:54","08:51","205","209","-3","09:15","24","0","0","0","0","0"
"UA","04/02/2018","0776","N54711","ORD","08:25","08:16","93","90","-9","08:45","29","0","0","0","0","0"
"UA","04/02/2018","0785","N35260","ORD","11:00","10:58","91","76","-2","11:11","13","0","0","0","0","0"
