Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0491","N951UW","PHL","08:15","08:08","93","75","-7","08:18","10","0","0","0","0","0"
"AA","04/01/2018","1660","N824AW","CLT","08:20","08:16","108","83","-4","08:27","11","0","0","0","0","0"
"AA","04/01/2018","1761","N714US","CLT","17:05","16:59","103","88","-6","17:10","11","0","0","0","0","0"
"AA","04/01/2018","1771","N954UW","PHL","18:25","18:36","94","81","11","18:50","14","0","0","0","0","0"
"AA","04/01/2018","1869","N837AW","CLT","06:25","06:17","108","91","-8","06:29","12","0","0","0","0","0"
"AA","04/01/2018","1896","N946UW","PHL","06:01","05:59","95","73","-2","06:10","11","0","0","0","0","0"
"AA","04/01/2018","2208","N9629H","DFW","19:20","20:38","187","191","78","20:53","15","0","0","4","0","78"
"AA","04/01/2018","2214","N9630A","DFW","17:08","17:02","191","197","-6","17:17","15","0","0","0","0","0"
"AA","04/01/2018","2364","N9621A","DFW","07:10","07:07","197","174","-3","07:16","9","0","0","0","0","0"
"AA","04/02/2018","0491","N950UW","PHL","08:15","08:09","93","79","-6","08:23","14","0","0","0","0","0"
"AA","04/02/2018","1426","N590AA","DFW","11:30","11:26","183","183","-4","11:48","22","0","0","0","0","0"
"AA","04/02/2018","1660","N758US","CLT","08:20","08:14","108","130","-6","08:35","21","0","0","16","0","0"
"AA","04/02/2018","1732","N957UW","PHL","10:50","10:45","86","100","-5","11:16","31","0","0","0","0","0"
"AA","04/02/2018","1761","N754UW","CLT","17:05","17:02","103","96","-3","17:13","11","0","0","0","0","0"
"AA","04/02/2018","1771","N965UW","PHL","18:25","18:15","94","104","-10","18:53","38","0","0","0","0","0"
"AA","04/02/2018","1869","N806AW","CLT","06:25","06:19","108","102","-6","06:45","26","0","0","0","0","0"
"AA","04/02/2018","1896","N954UW","PHL","06:01","05:53","95","84","-8","06:20","27","0","0","0","0","0"
"AA","04/02/2018","2034","N765US","CLT","15:37","16:06","99","84","29","16:19","13","0","0","0","0","0"
"AA","04/02/2018","2208","N963TW","DFW","19:20","19:16","187","185","-4","19:29","13","0","0","0","0","0"
"AA","04/02/2018","2214","N983TW","DFW","17:08","17:00","191","187","-8","17:16","16","0","0","0","0","0"
"AA","04/02/2018","2364","N9626F","DFW","07:10","07:58","197","187","48","08:26","28","38","0","0","0","0"
"AA","04/03/2018","0602","N763US","CLT","13:53","14:04","98","87","11","14:13","9","0","0","0","0","0"
"AA","04/03/2018","0698","N754UW","CLT","08:35","08:27","104","111","-8","08:40","13","0","0","0","0","0"
"AA","04/03/2018","0788","N948UW","PHL","15:35","16:40","90","109","65","17:19","39","0","0","84","0","0"
"AA","04/03/2018","1357","N70425","DFW","15:20","15:16","188","196","-4","15:30","14","0","0","0","0","0"
"AA","04/03/2018","1666","N948UW","PHL","06:12","06:03","88","89","-9","06:28","25","0","0","0","0","0"
"AA","04/03/2018","1733","N764US","CLT","06:25","06:19","100","101","-6","06:36","17","0","0","0","0","0"
"AA","04/03/2018","1764","N820AW","CLT","10:25","10:21","103","103","-4","10:34","13","0","0","0","0","0"
"AA","04/03/2018","1803","N749US","CLT","15:28","15:28","102","107","0","15:40","12","0","0","0","0","0"
"AA","04/03/2018","1847","N951UW","PHL","08:16","08:03","89","86","-13","08:20","17","0","0","0","0","0"
"AA","04/03/2018","2197","N9677W","DFW","11:41","11:33","187","191","-8","11:49","16","0","0","0","0","0"
"AA","04/03/2018","2208","N9617R","DFW","19:00","19:14","187","231","14","19:28","14","5","0","44","0","9"
"AA","04/03/2018","2364","N983TW","DFW","07:26","07:17","191","197","-9","07:34","17","0","0","0","0","0"
"AA","04/04/2018","0602","N839AW","CLT","13:53","14:03","98","110","10","14:33","30","0","0","12","0","10"
"AA","04/04/2018","0698","N807AW","CLT","08:35","08:31","104","109","-4","08:47","16","0","0","0","0","0"
"AA","04/04/2018","0788","N965UW","PHL","15:35","15:43","90","88","8","16:03","20","0","0","0","0","0"
"AA","04/04/2018","1357","N9616G","DFW","15:20","15:19","188","187","-1","15:47","28","0","0","0","0","0"
"AA","04/04/2018","1666","N959UW","PHL","06:12","06:01","88","93","-11","06:11","10","0","0","0","0","0"
"AA","04/04/2018","1733","N126UW","CLT","07:00","07:40","100","80","40","07:51","11","20","0","0","0","0"
"AA","04/04/2018","1764","N758US","CLT","10:25","10:19","103","100","-6","10:28","9","0","0","0","0","0"
"AA","04/04/2018","1803","N713UW","CLT","15:28","15:36","102","103","8","15:54","18","0","0","0","0","0"
"AA","04/04/2018","2197","N9629H","DFW","11:41","11:37","187","188","-4","11:48","11","0","0","0","0","0"
"AA","04/04/2018","2208","N967TW","DFW","19:00","18:50","187","188","-10","19:17","27","0","0","0","0","0"
"AA","04/04/2018","2364","N969TW","DFW","07:26","07:17","191","201","-9","07:31","14","0","0","0","0","0"
"AA","04/05/2018","0602","N754UW","CLT","13:53","14:04","98","82","11","14:12","8","0","0","0","0","0"
"AA","04/05/2018","0698","N806AW","CLT","08:35","08:27","104","124","-8","09:03","36","0","0","0","0","0"
"AA","04/05/2018","0788","N721UW","PHL","15:35","15:32","90","92","-3","15:43","11","0","0","0","0","0"
"AA","04/05/2018","1357","N9618A","DFW","15:20","15:18","188","172","-2","15:30","12","0","0","0","0","0"
"AA","04/05/2018","1666","N948UW","PHL","06:12","06:02","88","101","-10","06:36","34","0","0","0","0","0"
"AA","04/05/2018","1733","N109UW","CLT","07:00","06:52","100","112","-8","07:23","31","0","0","0","0","0"
"AA","04/05/2018","1764","N768US","CLT","10:25","10:19","103","90","-6","10:30","11","0","0","0","0","0"
"AA","04/05/2018","1803","N836AW","CLT","15:28","15:40","102","84","12","15:47","7","0","0","0","0","0"
"AA","04/05/2018","2197","N963TW","DFW","11:41","11:35","187","179","-6","11:47","12","0","0","0","0","0"
"AA","04/05/2018","2208","N9626F","DFW","19:00","18:52","187","173","-8","19:07","15","0","0","0","0","0"
"AA","04/05/2018","2364","N972TW","DFW","07:26","07:23","191","202","-3","07:55","32","0","0","0","0","0"
"AA","04/06/2018","0602","N765US","CLT","13:53","14:43","98","84","50","14:52","9","0","0","0","0","36"
"AA","04/06/2018","0698","N806AW","CLT","08:35","08:34","104","99","-1","08:45","11","0","0","0","0","0"
"AA","04/06/2018","0788","N959UW","PHL","15:35","15:59","90","94","24","16:16","17","6","0","4","0","18"
"AA","04/06/2018","1357","N982TW","DFW","15:20","15:20","188","265","0","15:47","27","0","0","77","0","0"
"AA","04/06/2018","1666","N955UW","PHL","06:12","00:00","88","0","0","00:00","0","0","0","0","0","0"
"AA","04/06/2018","1733","N107US","CLT","07:00","06:57","100","96","-3","07:17","20","0","0","0","0","0"
"AA","04/06/2018","1764","N837AW","CLT","10:25","10:32","103","95","7","10:41","9","0","0","0","0","0"
"AA","04/06/2018","1803","N708UW","CLT","15:28","15:44","102","87","16","15:55","11","0","0","0","0","0"
"AA","04/06/2018","2197","N9681B","DFW","11:41","11:32","187","209","-9","11:47","15","0","0","0","0","0"
"AA","04/06/2018","2208","N9681B","DFW","19:00","00:28","187","155","328","00:37","9","48","0","0","0","248"
"AA","04/06/2018","2364","N9624T","DFW","07:26","07:31","191","196","5","07:52","21","0","0","0","0","0"
"AA","04/07/2018","0698","N816AW","CLT","08:35","08:28","104","97","-7","08:39","11","0","0","0","0","0"
"AA","04/07/2018","0788","N946UW","PHL","15:35","15:16","90","95","-19","15:26","10","0","0","0","0","0"
"AA","04/07/2018","1357","N7528A","DFW","15:20","15:16","188","170","-4","15:31","15","0","0","0","0","0"
"AA","04/07/2018","1666","N961UW","PHL","06:12","06:05","88","88","-7","06:30","25","0","0","0","0","0"
