Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Southwest Airlines Co. (WN)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","06/01/2018","0120","N7742B","PHX","19:35","19:30","265","254","-5","19:38","8","0","0","0","0","0"
"WN","06/01/2018","0165","N469WN","BNA","18:30","19:04","95","80","34","19:15","11","0","0","3","0","16"
"WN","06/01/2018","0174","N212WN","ATL","08:10","08:19","105","94","9","08:25","6","0","0","0","0","0"
"WN","06/01/2018","0239","N8648A","LAS","13:10","13:31","265","255","21","13:36","5","0","0","0","0","0"
"WN","06/01/2018","0484","N954WN","MDW","13:20","13:28","75","71","8","13:43","15","0","0","0","0","0"
"WN","06/01/2018","0598","N248WN","MDW","06:00","05:58","75","71","-2","06:16","18","0","0","0","0","0"
"WN","06/01/2018","1164","N747SA","BNA","09:35","09:32","90","78","-3","09:38","6","0","0","0","0","0"
"WN","06/01/2018","1390","N747SA","MDW","18:15","18:37","75","69","22","18:49","12","6","0","0","0","10"
"WN","06/01/2018","1416","N490WN","MKE","16:25","16:52","80","60","27","16:59","7","0","0","0","0","0"
"WN","06/01/2018","1476","N8312C","BWI","18:10","18:12","75","69","2","18:24","12","0","0","0","0","0"
"WN","06/01/2018","1527","N903WN","BWI","14:10","14:12","75","70","2","14:23","11","0","0","0","0","0"
"WN","06/01/2018","1672","N755SA","MKE","07:45","07:39","90","71","-6","07:50","11","0","0","0","0","0"
"WN","06/01/2018","1684","N221WN","PHX","11:35","11:31","260","252","-4","11:37","6","0","0","0","0","0"
"WN","06/01/2018","1714","N7877H","BNA","06:10","06:07","90","81","-3","06:15","8","0","0","0","0","0"
"WN","06/01/2018","1717","N8675A","MDW","16:15","16:16","75","63","1","16:25","9","0","0","0","0","0"
"WN","06/01/2018","1809","N8689C","STL","09:10","09:21","95","82","11","09:27","6","0","0","0","0","0"
"WN","06/01/2018","1816","N400WN","DEN","10:40","10:46","190","173","6","10:55","9","0","0","0","0","0"
"WN","06/01/2018","1890","N239WN","MDW","11:30","11:34","70","61","4","11:41","7","0","0","0","0","0"
"WN","06/01/2018","2102","N926WN","BWI","05:50","05:50","75","62","0","05:58","8","0","0","0","0","0"
"WN","06/01/2018","5614","N268WN","ATL","17:00","18:27","110","103","87","18:39","12","0","0","80","0","0"
"WN","06/01/2018","5832","N568WN","STL","20:15","20:12","95","84","-3","20:22","10","0","0","0","0","0"
"WN","06/02/2018","3295","N744SW","MDW","16:40","16:54","75","62","14","17:04","10","0","0","0","0","0"
"WN","06/02/2018","3571","N8567Z","DEN","10:45","10:45","190","183","0","10:59","14","0","0","0","0","0"
"WN","06/02/2018","3622","N8710M","PHX","08:50","08:48","260","245","-2","09:01","13","0","0","0","0","0"
"WN","06/02/2018","3629","N7752B","BWI","06:25","06:25","75","67","0","06:35","10","0","0","0","0","0"
"WN","06/02/2018","3885","N252WN","MKE","14:25","14:32","80","67","7","14:42","10","0","0","0","0","0"
"WN","06/02/2018","4043","N299WN","ATL","06:35","06:32","110","96","-3","06:41","9","0","0","0","0","0"
"WN","06/02/2018","4110","N8652B","LAS","14:05","14:09","265","260","4","14:28","19","0","0","0","0","0"
"WN","06/02/2018","4191","N729SW","BWI","16:50","19:02","75","72","132","19:14","12","0","0","123","0","6"
"WN","06/02/2018","4341","N468WN","BNA","15:40","15:36","90","99","-4","15:46","10","0","0","0","0","0"
"WN","06/02/2018","4479","N557WN","MCO","12:25","12:20","145","136","-5","12:28","8","0","0","0","0","0"
"WN","06/02/2018","4482","N909WN","MDW","07:40","07:39","75","70","-1","07:55","16","0","0","0","0","0"
"WN","06/02/2018","4633","N450WN","BNA","07:30","07:28","90","81","-2","07:41","13","0","0","0","0","0"
"WN","06/02/2018","4721","N905WN","STL","08:05","08:04","95","84","-1","08:16","12","0","0","0","0","0"
"WN","06/02/2018","4739","N8504G","PHX","18:00","18:05","265","246","5","18:14","9","0","0","0","0","0"
"WN","06/02/2018","6008","N745SW","MDW","19:55","19:54","75","65","-1","20:02","8","0","0","0","0","0"
"WN","06/03/2018","1554","N414WN","BNA","18:15","18:30","90","82","15","18:39","9","0","0","0","0","0"
"WN","06/03/2018","2120","N773SA","ATL","08:15","08:11","105","87","-4","08:18","7","0","0","0","0","0"
"WN","06/03/2018","2123","N8502Z","DEN","11:40","11:39","190","181","-1","11:46","7","0","0","0","0","0"
"WN","06/03/2018","2170","N8542Z","MDW","12:55","12:59","75","64","4","13:04","5","0","0","0","0","0"
"WN","06/03/2018","2188","N7819A","BNA","08:00","08:07","90","81","7","08:14","7","0","0","0","0","0"
"WN","06/03/2018","2259","N7853B","BWI","12:00","12:50","70","63","50","12:57","7","3","0","0","0","40"
"WN","06/03/2018","2268","N403WN","BNA","14:35","15:09","90","82","34","15:16","7","7","0","0","0","19"
"WN","06/03/2018","2287","N479WN","MDW","07:30","07:30","75","62","0","07:37","7","0","0","0","0","0"
"WN","06/03/2018","2292","N248WN","BWI","06:25","06:23","75","73","-2","06:33","10","0","0","0","0","0"
"WN","06/03/2018","2308","N8682B","LAS","07:05","07:01","270","268","-4","07:09","8","0","0","0","0","0"
"WN","06/03/2018","2369","N452WN","MDW","17:25","18:15","75","77","50","18:23","8","5","0","2","0","45"
"WN","06/03/2018","2386","N777QC","MKE","19:05","19:06","80","69","1","19:11","5","0","0","0","0","0"
"WN","06/03/2018","2424","N8688J","ATL","17:05","17:47","110","115","42","17:53","6","0","0","5","42","0"
"WN","06/03/2018","2495","N8612K","BWI","17:00","17:34","75","69","34","17:43","9","0","0","28","0","0"
"WN","06/03/2018","2900","N253WN","STL","20:30","20:31","95","84","1","20:37","6","0","0","0","0","0"
"WN","06/03/2018","3079","N763SW","MKE","08:20","08:16","85","67","-4","08:24","8","0","0","0","0","0"
"WN","06/03/2018","3725","N799SW","STL","10:45","10:46","95","90","1","11:00","14","0","0","0","0","0"
"WN","06/03/2018","4526","N491WN","PHX","18:55","19:02","265","252","7","19:10","8","0","0","0","0","0"
"WN","06/04/2018","0120","N955WN","PHX","19:35","19:31","265","242","-4","19:39","8","0","0","0","0","0"
"WN","06/04/2018","0165","N460WN","BNA","18:30","18:37","95","81","7","18:44","7","0","0","0","0","0"
"WN","06/04/2018","0174","N563WN","ATL","08:10","08:05","105","92","-5","08:12","7","0","0","0","0","0"
"WN","06/04/2018","0239","N8549Z","LAS","13:10","13:10","265","247","0","13:16","6","0","0","0","0","0"
"WN","06/04/2018","0484","N918WN","MDW","13:20","13:20","75","71","0","13:28","8","0","0","0","0","0"
"WN","06/04/2018","0598","N484WN","MDW","06:00","05:55","75","65","-5","06:05","10","0","0","0","0","0"
"WN","06/04/2018","1164","N297WN","BNA","09:35","09:30","90","82","-5","09:36","6","0","0","0","0","0"
"WN","06/04/2018","1390","N297WN","MDW","18:15","18:16","75","68","1","18:28","12","0","0","0","0","0"
"WN","06/04/2018","1416","N969WN","MKE","16:25","17:05","80","62","40","17:10","5","0","0","0","0","22"
"WN","06/04/2018","1476","N8515X","BWI","18:10","18:08","75","67","-2","18:14","6","0","0","0","0","0"
"WN","06/04/2018","1527","N708SW","BWI","14:10","14:17","75","73","7","14:33","16","0","0","0","0","0"
"WN","06/04/2018","1672","N944WN","MKE","07:45","07:42","90","70","-3","07:50","8","0","0","0","0","0"
"WN","06/04/2018","1684","N7727A","PHX","11:35","11:33","260","241","-2","11:39","6","0","0","0","0","0"
"WN","06/04/2018","1714","N227WN","BNA","06:10","06:07","90","80","-3","06:15","8","0","0","0","0","0"
"WN","06/04/2018","1717","N8606C","MDW","16:15","16:19","75","72","4","16:34","15","0","0","0","0","0"
"WN","06/04/2018","1809","N8672F","STL","09:10","16:10","95","81","420","16:16","6","406","0","0","0","0"
"WN","06/04/2018","1816","N466WN","DEN","10:40","10:43","190","177","3","10:51","8","0","0","0","0","0"
"WN","06/04/2018","1890","N222WN","MDW","11:30","11:32","70","60","2","11:38","6","0","0","0","0","0"
"WN","06/04/2018","2102","N766SW","BWI","05:50","05:49","75","63","-1","05:56","7","0","0","0","0","0"
"WN","06/04/2018","5614","N276WN","ATL","17:00","17:10","110","89","10","17:16","6","0","0","0","0","0"
"WN","06/04/2018","5832","N797MX","STL","20:15","20:16","95","79","1","20:22","6","0","0","0","0","0"
"WN","06/05/2018","0120","N786SW","PHX","19:35","19:36","265","246","1","19:44","8","0","0","0","0","0"
"WN","06/05/2018","0165","N790SW","BNA","18:30","18:27","95","85","-3","18:40","13","0","0","0","0","0"
"WN","06/05/2018","0174","N553WN","ATL","08:10","08:06","105","98","-4","08:16","10","0","0","0","0","0"
"WN","06/05/2018","0239","N8537Z","LAS","13:10","13:10","265","244","0","13:20","10","0","0","0","0","0"
"WN","06/05/2018","0484","N7705A","MDW","13:20","13:21","75","70","1","13:31","10","0","0","0","0","0"
"WN","06/05/2018","0598","N757LV","MDW","06:00","05:54","75","73","-6","06:03","9","0","0","0","0","0"
"WN","06/05/2018","1164","N7840A","BNA","09:35","09:30","90","87","-5","09:39","9","0","0","0","0","0"
"WN","06/05/2018","1390","N7840A","MDW","18:15","18:24","75","71","9","18:38","14","0","0","0","0","0"
"WN","06/05/2018","1416","N968WN","MKE","16:25","16:28","80","68","3","16:36","8","0","0","0","0","0"
"WN","06/05/2018","1476","N8643A","BWI","18:10","18:05","75","75","-5","18:18","13","0","0","0","0","0"
"WN","06/05/2018","1527","N247WN","BWI","14:10","14:10","75","67","0","14:21","11","0","0","0","0","0"
"WN","06/05/2018","1672","N433LV","MKE","07:45","07:42","90","71","-3","07:50","8","0","0","0","0","0"
"WN","06/05/2018","1684","N438WN","PHX","11:35","11:34","260","237","-1","11:40","6","0","0","0","0","0"
"WN","06/05/2018","1714","N7811F","BNA","06:10","06:05","90","78","-5","06:11","6","0","0","0","0","0"
"WN","06/05/2018","1717","N8310C","MDW","16:15","16:11","75","97","-4","16:33","22","0","0","18","0","0"
"WN","06/05/2018","1809","N8569Z","STL","09:10","09:05","95","81","-5","09:14","9","0","0","0","0","0"
"WN","06/05/2018","1816","N961WN","DEN","10:40","10:38","190","169","-2","10:44","6","0","0","0","0","0"
"WN","06/05/2018","1890","N7867A","MDW","11:30","11:28","70","85","-2","11:39","11","0","0","0","0","0"
"WN","06/05/2018","2102","N744SW","BWI","05:50","05:43","75","68","-7","05:51","8","0","0","0","0","0"
"WN","06/05/2018","5614","N220WN","ATL","17:00","16:58","110","94","-2","17:08","10","0","0","0","0","0"
"WN","06/05/2018","5832","N7825A","STL","20:15","20:11","95","83","-4","20:23","12","0","0","0","0","0"
"WN","06/06/2018","0165","N792SW","BNA","18:30","18:30","95","79","0","18:38","8","0","0","0","0","0"
"WN","06/06/2018","0174","N7731A","ATL","08:10","08:07","105","98","-3","08:27","20","0","0","0","0","0"
"WN","06/06/2018","0239","N8511K","LAS","13:10","13:12","265","249","2","13:23","11","0","0","0","0","0"
"WN","06/06/2018","0484","N798SW","MDW","13:20","13:37","75","61","17","13:44","7","0","0","0","0","0"
"WN","06/06/2018","0598","N779SW","MDW","06:00","05:59","75","62","-1","06:09","10","0","0","0","0","0"
"WN","06/06/2018","1164","N729SW","BNA","09:35","09:41","90","86","6","09:51","10","0","0","0","0","0"
"WN","06/06/2018","1390","N729SW","MDW","18:25","18:28","75","76","3","18:42","14","0","0","0","0","0"
"WN","06/06/2018","1416","N926WN","MKE","16:25","17:53","80","66","88","18:01","8","2","0","0","0","72"
"WN","06/06/2018","1476","N8546V","BWI","18:10","18:32","75","62","22","18:41","9","0","0","0","0","0"
"WN","06/06/2018","1527","N7882B","BWI","14:10","14:20","75","68","10","14:32","12","0","0","0","0","0"
"WN","06/06/2018","1672","N922WN","MKE","07:45","07:40","90","68","-5","07:49","9","0","0","0","0","0"
"WN","06/06/2018","1684","N229WN","PHX","11:35","11:35","260","236","0","11:45","10","0","0","0","0","0"
"WN","06/06/2018","1714","N215WN","BNA","06:10","06:07","90","83","-3","06:18","11","0","0","0","0","0"
"WN","06/06/2018","1717","N8667D","MDW","16:15","16:15","75","75","0","16:29","14","0","0","0","0","0"
"WN","06/06/2018","1809","N8633A","STL","09:10","09:25","95","81","15","09:34","9","0","0","0","0","0"
"WN","06/06/2018","1816","N780SW","DEN","10:40","10:51","190","178","11","11:01","10","0","0","0","0","0"
"WN","06/06/2018","1890","N209WN","MDW","11:30","11:29","70","62","-1","11:38","9","0","0","0","0","0"
"WN","06/06/2018","2102","N569WN","BWI","05:50","05:46","75","65","-4","05:57","11","0","0","0","0","0"
"WN","06/06/2018","5614","N948WN","ATL","17:00","19:58","110","103","178","20:09","11","171","0","0","0","0"
"WN","06/06/2018","5832","N408WN","STL","20:15","20:13","95","91","-2","20:24","11","0","0","0","0","0"
"WN","06/07/2018","0225","N231WN","BWI","08:55","08:56","75","59","1","09:07","11","0","0","0","0","0"
"WN","06/07/2018","0416","N7883A","STL","08:45","08:42","95","79","-3","08:49","7","0","0","0","0","0"
