Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Delta Airlines Inc. (DL)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","06/01/2018","1158","N970DL","ATL","16:56","20:31","103","155","215","20:45","14","0","0","58","0","209"
"DL","06/01/2018","1474","N915DE","ATL","12:28","12:27","107","93","-1","12:34","7","0","0","0","0","0"
"DL","06/01/2018","1743","N952DL","ATL","08:20","08:17","104","93","-3","08:24","7","0","0","0","0","0"
"DL","06/01/2018","1904","N986AT","MSP","18:35","18:33","114","109","-2","18:45","12","0","0","0","0","0"
"DL","06/01/2018","2232","N998DL","ATL","10:41","10:38","102","92","-3","10:46","8","0","0","0","0","0"
"DL","06/01/2018","2528","N976DL","ATL","14:31","15:13","105","130","42","15:22","9","0","0","63","0","4"
"DL","06/01/2018","2530","N995DL","ATL","07:08","07:03","107","94","-5","07:11","8","0","0","0","0","0"
"DL","06/01/2018","2636","N910DL","ATL","06:00","05:57","104","94","-3","06:06","9","0","0","0","0","0"
"DL","06/01/2018","2774","N986DL","ATL","18:59","20:26","102","129","87","20:56","30","0","0","74","0","40"
"DL","06/02/2018","1158","N975DL","ATL","17:25","17:16","102","98","-9","17:29","13","0","0","0","0","0"
"DL","06/02/2018","2232","N906DE","ATL","11:25","11:21","106","97","-4","11:32","11","0","0","0","0","0"
