Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: United Airlines Inc. (UA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","06/01/2018","0333","N16713","EWR","10:40","10:35","90","88","-5","10:45","10","0","0","0","0","0"
"UA","06/01/2018","0353","N77296","LAX","19:48","20:00","309","297","12","20:13","13","0","0","0","0","0"
"UA","06/01/2018","0418","N26208","ORD","14:22","14:22","88","90","0","14:42","20","0","0","0","0","0"
"UA","06/01/2018","0590","N17752","IAH","06:40","06:33","188","178","-7","06:42","9","0","0","0","0","0"
"UA","06/01/2018","0763","N76505","DEN","09:25","09:14","193","192","-11","09:23","9","0","0","0","0","0"
"UA","06/01/2018","0776","N14731","ORD","08:30","08:22","85","90","-8","08:42","20","0","0","0","0","0"
"UA","06/01/2018","0785","N16234","ORD","11:05","11:02","84","72","-3","11:11","9","0","0","0","0","0"
"UA","06/01/2018","1450","N26215","ORD","12:40","12:47","85","82","7","12:55","8","0","0","0","0","0"
"UA","06/01/2018","1615","N79521","SFO","07:35","07:30","315","314","-5","07:42","12","0","0","0","0","0"
"UA","06/01/2018","1704","N14214","ORD","17:39","17:37","96","82","-2","17:50","13","0","0","0","0","0"
"UA","06/01/2018","1981","N76515","LAX","07:29","07:22","309","293","-7","07:31","9","0","0","0","0","0"
"UA","06/01/2018","2079","N37474","MCO","08:50","08:50","144","132","0","09:00","10","0","0","0","0","0"
"UA","06/01/2018","2116","N28478","ORD","06:15","06:11","85","69","-4","06:26","15","0","0","0","0","0"
"UA","06/01/2018","2143","N87513","EWR","06:00","05:59","90","87","-1","06:11","12","0","0","0","0","0"
"UA","06/02/2018","0333","N15751","EWR","10:30","10:27","90","85","-3","10:38","11","0","0","0","0","0"
"UA","06/02/2018","0353","N76528","LAX","19:48","19:43","309","300","-5","19:55","12","0","0","0","0","0"
"UA","06/02/2018","0418","N73276","ORD","14:43","14:35","88","86","-8","14:47","12","0","0","0","0","0"
"UA","06/02/2018","0590","N38257","IAH","06:40","06:39","188","161","-1","06:57","18","0","0","0","0","0"
"UA","06/02/2018","0763","N37465","DEN","09:25","09:18","193","189","-7","09:28","10","0","0","0","0","0"
"UA","06/02/2018","0776","N16713","ORD","08:21","08:16","85","88","-5","08:30","14","0","0","0","0","0"
"UA","06/02/2018","0785","N76532","ORD","11:05","10:59","84","80","-6","11:11","12","0","0","0","0","0"
"UA","06/02/2018","1450","N16713","ORD","12:40","12:34","85","82","-6","12:46","12","0","0","0","0","0"
"UA","06/02/2018","1615","N25201","SFO","07:35","07:27","315","302","-8","07:44","17","0","0","0","0","0"
"UA","06/02/2018","1981","N17233","LAX","07:29","07:25","309","295","-4","07:37","12","0","0","0","0","0"
"UA","06/02/2018","2079","N72405","MCO","08:50","08:46","144","148","-4","08:59","13","0","0","0","0","0"
"UA","06/02/2018","2143","N33284","EWR","06:00","06:00","90","124","0","06:51","51","0","0","34","0","0"
"UA","06/03/2018","0333","N14731","EWR","10:30","10:32","90","94","2","10:52","20","0","0","0","0","0"
"UA","06/03/2018","0353","N76288","LAX","19:48","19:41","309","296","-7","19:52","11","0","0","0","0","0"
"UA","06/03/2018","0418","N25201","ORD","14:22","14:55","88","74","33","15:11","16","0","0","0","0","19"
"UA","06/03/2018","0763","N77258","DEN","09:25","09:16","193","185","-9","09:25","9","0","0","0","0","0"
"UA","06/03/2018","0776","N27734","ORD","08:30","08:28","85","68","-2","08:42","14","0","0","0","0","0"
"UA","06/03/2018","0785","N37466","ORD","11:05","11:01","84","75","-4","11:19","18","0","0","0","0","0"
"UA","06/03/2018","1450","N76523","ORD","12:40","12:37","85","73","-3","12:50","13","0","0","0","0","0"
"UA","06/03/2018","1615","N36280","SFO","07:35","07:29","315","308","-6","07:40","11","0","0","0","0","0"
"UA","06/03/2018","1704","N14230","ORD","17:39","17:44","96","82","5","18:08","24","0","0","0","0","0"
"UA","06/03/2018","2079","N39461","MCO","08:50","08:43","144","132","-7","08:56","13","0","0","0","0","0"
"UA","06/03/2018","2116","N14704","ORD","06:15","06:14","85","69","-1","06:28","14","0","0","0","0","0"
"UA","06/03/2018","2143","N87531","EWR","06:00","05:53","90","80","-7","06:03","10","0","0","0","0","0"
"UA","06/04/2018","0333","N17730","EWR","10:40","10:39","90","77","-1","10:48","9","0","0","0","0","0"
"UA","06/04/2018","0353","N13227","LAX","19:48","19:45","309","300","-3","19:55","10","0","0","0","0","0"
"UA","06/04/2018","0418","N12218","ORD","14:22","14:13","88","85","-9","14:24","11","0","0","0","0","0"
"UA","06/04/2018","0590","N39728","IAH","06:40","06:28","188","160","-12","06:38","10","0","0","0","0","0"
"UA","06/04/2018","0763","N37281","DEN","09:25","09:21","193","180","-4","09:30","9","0","0","0","0","0"
"UA","06/04/2018","0776","N24736","ORD","08:30","08:24","85","67","-6","08:33","9","0","0","0","0","0"
"UA","06/04/2018","0785","N73283","ORD","11:05","11:06","84","71","1","11:19","13","0","0","0","0","0"
"UA","06/04/2018","1450","N33203","ORD","12:40","12:36","85","79","-4","12:47","11","0","0","0","0","0"
"UA","06/04/2018","1461","N76522","IAH","15:10","15:06","195","163","-4","15:16","10","0","0","0","0","0"
"UA","06/04/2018","1615","N33264","SFO","07:35","07:27","315","305","-8","07:37","10","0","0","0","0","0"
"UA","06/04/2018","1704","N76532","ORD","17:39","17:36","96","67","-3","17:47","11","0","0","0","0","0"
"UA","06/04/2018","1981","N76288","LAX","07:29","07:19","309","324","-10","07:32","13","0","0","0","0","0"
"UA","06/04/2018","2079","N47414","MCO","08:50","08:43","144","140","-7","08:54","11","0","0","0","0","0"
"UA","06/04/2018","2116","N36272","ORD","06:15","06:16","85","67","1","06:29","13","0","0","0","0","0"
"UA","06/04/2018","2143","N34282","EWR","06:00","05:59","90","79","-1","06:10","11","0","0","0","0","0"
"UA","06/05/2018","0333","N37273","EWR","10:40","11:48","90","89","68","12:09","21","0","0","0","0","67"
"UA","06/05/2018","0353","N73270","LAX","19:48","19:47","309","286","-1","20:01","14","0","0","0","0","0"
"UA","06/05/2018","0418","N37267","ORD","14:22","14:15","88","106","-7","14:27","12","0","0","0","0","0"
"UA","06/05/2018","0590","N17719","IAH","06:40","06:39","188","182","-1","06:51","12","0","0","0","0","0"
"UA","06/05/2018","0763","N33264","DEN","09:25","09:24","193","180","-1","09:35","11","0","0","0","0","0"
"UA","06/05/2018","0776","N17752","ORD","08:30","08:29","85","85","-1","08:41","12","0","0","0","0","0"
"UA","06/05/2018","0785","N13248","ORD","11:05","11:26","84","95","21","11:42","16","21","0","11","0","0"
"UA","06/05/2018","1450","N77258","ORD","12:40","12:40","85","96","0","12:56","16","0","0","0","0","0"
"UA","06/05/2018","1615","N87507","SFO","07:35","07:48","315","304","13","07:58","10","0","0","0","0","0"
