Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0788","N954UW","PHL","15:56","15:53","89","111","-3","16:34","41","0","0","19","0","0"
"AA","06/01/2018","1357","N424AA","DFW","15:30","16:14","179","161","44","16:25","11","0","0","0","0","26"
"AA","06/01/2018","1644","N750UW","CLT","11:59","11:53","100","81","-6","12:00","7","0","0","0","0","0"
"AA","06/01/2018","1666","N961UW","PHL","06:18","06:11","87","146","-7","07:33","82","0","0","52","0","0"
"AA","06/01/2018","1733","N730US","CLT","07:00","06:56","99","90","-4","07:06","10","0","0","0","0","0"
"AA","06/01/2018","1803","N737US","CLT","15:20","15:22","104","96","2","15:36","14","0","0","0","0","0"
"AA","06/01/2018","1818","N744P","DFW","19:05","20:13","178","156","68","20:25","12","1","0","0","0","45"
"AA","06/01/2018","1876","N745VJ","CLT","17:05","19:12","105","106","127","19:25","13","1","0","1","0","126"
"AA","06/01/2018","2081","N753US","CLT","08:29","08:23","103","90","-6","08:31","8","0","0","0","0","0"
"AA","06/01/2018","2197","N3014R","DFW","11:40","11:36","178","155","-4","11:44","8","0","0","0","0","0"
"AA","06/01/2018","2364","N7550","DFW","07:30","07:26","182","166","-4","07:36","10","0","0","0","0","0"
"AA","06/02/2018","1357","N966TW","DFW","15:30","15:29","179","169","-1","15:52","23","0","0","0","0","0"
"AA","06/02/2018","1644","N768US","CLT","11:59","11:57","100","95","-2","12:09","12","0","0","0","0","0"
"AA","06/02/2018","1666","N945UW","PHL","06:18","06:07","87","78","-11","06:18","11","0","0","0","0","0"
"AA","06/02/2018","1733","N723UW","CLT","07:00","06:52","99","97","-8","07:03","11","0","0","0","0","0"
"AA","06/02/2018","1803","N802AW","CLT","15:20","15:20","104","80","0","15:31","11","0","0","0","0","0"
"AA","06/02/2018","2081","N808AW","CLT","08:29","08:25","103","96","-4","08:35","10","0","0","0","0","0"
"AA","06/02/2018","2364","N9622A","DFW","07:30","07:23","182","164","-7","07:42","19","0","0","0","0","0"
"AA","06/03/2018","0788","N954UW","PHL","15:56","16:06","89","132","10","16:52","46","0","0","53","0","0"
"AA","06/03/2018","1357","N9620D","DFW","15:30","15:15","179","183","-15","15:41","26","0","0","0","0","0"
"AA","06/03/2018","1644","N715UW","CLT","11:59","12:44","100","93","45","12:53","9","0","0","0","0","38"
"AA","06/03/2018","1733","N711UW","CLT","07:00","06:56","99","81","-4","07:04","8","0","0","0","0","0"
"AA","06/03/2018","1803","N833AW","CLT","15:20","15:22","104","98","2","15:31","9","0","0","0","0","0"
"AA","06/03/2018","1818","N804AW","DFW","19:05","18:59","178","178","-6","19:08","9","0","0","0","0","0"
"AA","06/03/2018","1876","N808AW","CLT","17:05","16:59","105","116","-6","17:09","10","0","0","0","0","0"
"AA","06/03/2018","2081","N733UW","CLT","08:29","08:25","103","97","-4","08:35","10","0","0","0","0","0"
"AA","06/03/2018","2197","N93003","DFW","11:40","11:42","178","162","2","11:53","11","0","0","0","0","0"
"AA","06/03/2018","2364","N970TW","DFW","07:30","07:27","182","176","-3","07:42","15","0","0","0","0","0"
"AA","06/04/2018","0788","N950UW","PHL","15:56","15:52","89","77","-4","16:09","17","0","0","0","0","0"
"AA","06/04/2018","1357","N971TW","DFW","15:30","15:43","179","159","13","15:51","8","0","0","0","0","0"
"AA","06/04/2018","1644","N816AW","CLT","11:59","11:59","100","83","0","12:07","8","0","0","0","0","0"
"AA","06/04/2018","1666","N957UW","PHL","06:18","06:11","87","81","-7","06:27","16","0","0","0","0","0"
"AA","06/04/2018","1733","N705UW","CLT","07:00","06:53","99","103","-7","07:08","15","0","0","0","0","0"
"AA","06/04/2018","1803","N724UW","CLT","15:20","15:38","104","97","18","15:46","8","0","0","0","0","0"
"AA","06/04/2018","1818","N747UW","DFW","19:05","19:02","178","156","-3","19:10","8","0","0","0","0","0"
"AA","06/04/2018","1876","N769US","CLT","17:05","17:03","105","102","-2","17:12","9","0","0","0","0","0"
"AA","06/04/2018","2081","N769US","CLT","08:29","08:24","103","93","-5","08:35","11","0","0","0","0","0"
"AA","06/04/2018","2197","N70020","DFW","11:40","14:39","178","161","179","14:46","7","0","0","0","0","162"
"AA","06/04/2018","2364","N501AA","DFW","07:30","07:24","182","217","-6","07:42","18","0","0","29","0","0"
