Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Southwest Airlines Co. (WN)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","10/01/2018","0950","N8543Z","ATL","08:10","08:11","110","99","1","08:17","6","0","0","0","0","0"
"WN","10/01/2018","0976","N554WN","BWI","06:10","06:10","75","74","0","06:24","14","0","0","0","0","0"
"WN","10/01/2018","1087","N7831B","MKE","18:55","18:51","75","76","-4","18:57","6","0","0","0","0","0"
"WN","10/01/2018","1309","N7721E","STL","20:05","20:00","90","84","-5","20:08","8","0","0","0","0","0"
"WN","10/01/2018","1369","N7886A","BNA","06:25","06:25","90","84","0","06:32","7","0","0","0","0","0"
"WN","10/01/2018","2574","N242WN","MKE","10:50","10:50","80","77","0","11:02","12","0","0","0","0","0"
"WN","10/01/2018","2624","N783SW","STL","09:10","09:09","95","85","-1","09:14","5","0","0","0","0","0"
"WN","10/01/2018","2918","N297WN","MDW","06:20","06:17","75","69","-3","06:28","11","0","0","0","0","0"
"WN","10/01/2018","3034","N440LV","BNA","14:55","14:52","90","82","-3","14:59","7","0","0","0","0","0"
"WN","10/01/2018","3433","N705SW","MDW","17:50","17:51","70","72","1","18:06","15","0","0","0","0","0"
"WN","10/01/2018","3576","N749SW","LAS","07:20","07:18","270","262","-2","07:28","10","0","0","0","0","0"
"WN","10/01/2018","3607","N443WN","MDW","07:50","07:44","75","62","-6","07:54","10","0","0","0","0","0"
"WN","10/01/2018","3766","N454WN","ATL","17:20","17:19","105","91","-1","17:27","8","0","0","0","0","0"
"WN","10/01/2018","4958","N298WN","MDW","11:25","11:43","75","68","18","11:54","11","0","0","0","0","0"
"WN","10/01/2018","5235","N7837A","PHX","18:30","18:41","255","249","11","18:47","6","0","0","0","0","0"
"WN","10/01/2018","5325","N8704Q","MDW","12:55","12:51","75","83","-4","13:01","10","0","0","0","0","0"
"WN","10/01/2018","5466","N7731A","DEN","10:45","10:44","185","186","-1","10:52","8","0","0","0","0","0"
"WN","10/01/2018","5850","N8555Z","BNA","18:25","18:23","90","81","-2","18:32","9","0","0","0","0","0"
"WN","10/01/2018","6155","N8539V","MDW","14:15","14:13","70","66","-2","14:24","11","0","0","0","0","0"
"WN","10/01/2018","6502","N710SW","BWI","12:45","12:50","75","66","5","13:00","10","0","0","0","0","0"
"WN","10/01/2018","6626","N8727M","BWI","16:50","16:48","75","67","-2","16:59","11","0","0","0","0","0"
"WN","10/02/2018","0950","N8579Z","ATL","08:10","08:07","110","95","-3","08:14","7","0","0","0","0","0"
"WN","10/02/2018","0976","N467WN","BWI","06:10","06:06","75","67","-4","06:15","9","0","0","0","0","0"
"WN","10/02/2018","1087","N7841A","MKE","18:55","18:50","75","70","-5","18:59","9","0","0","0","0","0"
"WN","10/02/2018","1309","N8667D","STL","20:05","20:04","90","96","-1","20:23","19","0","0","0","0","0"
"WN","10/02/2018","1369","N961WN","BNA","06:25","06:22","90","84","-3","06:29","7","0","0","0","0","0"
"WN","10/02/2018","2574","N746SW","MKE","10:50","10:46","80","69","-4","10:53","7","0","0","0","0","0"
"WN","10/02/2018","2624","N295WN","STL","09:10","09:08","95","81","-2","09:14","6","0","0","0","0","0"
"WN","10/02/2018","2918","N448WN","MDW","06:20","06:15","75","65","-5","06:22","7","0","0","0","0","0"
"WN","10/02/2018","3034","N415WN","BNA","14:55","14:52","90","73","-3","14:57","5","0","0","0","0","0"
"WN","10/02/2018","3433","N901WN","MDW","17:50","17:52","70","59","2","17:57","5","0","0","0","0","0"
"WN","10/02/2018","3576","N7851A","LAS","07:20","07:17","270","258","-3","07:23","6","0","0","0","0","0"
"WN","10/02/2018","3607","N431WN","MDW","07:50","07:49","75","71","-1","08:02","13","0","0","0","0","0"
"WN","10/02/2018","3766","N296WN","ATL","17:20","17:15","105","95","-5","17:25","10","0","0","0","0","0"
"WN","10/02/2018","4958","N243WN","MDW","11:25","11:20","75","65","-5","11:29","9","0","0","0","0","0"
"WN","10/02/2018","5235","N969WN","PHX","18:30","18:35","255","250","5","18:45","10","0","0","0","0","0"
"WN","10/02/2018","5325","N8557Q","MDW","12:55","12:50","75","81","-5","12:58","8","0","0","0","0","0"
"WN","10/02/2018","5466","N763SW","DEN","10:45","10:42","185","182","-3","10:48","6","0","0","0","0","0"
"WN","10/02/2018","5850","N8716B","BNA","18:25","18:58","90","70","33","19:06","8","0","0","0","0","0"
"WN","10/02/2018","6155","N8635F","MDW","14:15","14:11","70","76","-4","14:25","14","0","0","0","0","0"
"WN","10/02/2018","6502","N7732A","BWI","12:45","12:43","75","61","-2","12:50","7","0","0","0","0","0"
"WN","10/02/2018","6626","N8680C","BWI","16:50","18:00","75","61","70","18:06","6","0","0","56","0","0"
"WN","10/03/2018","0224","N8713M","BWI","17:15","17:11","75","71","-4","17:22","11","0","0","0","0","0"
"WN","10/03/2018","0434","N7817J","MKE","08:05","08:04","85","78","-1","08:20","16","0","0","0","0","0"
"WN","10/03/2018","0449","N496WN","MDW","07:55","07:50","75","75","-5","08:05","15","0","0","0","0","0"
"WN","10/03/2018","0488","N7716A","MKE","16:00","15:52","80","65","-8","15:59","7","0","0","0","0","0"
