Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2018","0381","N329NB","MSP","17:19","17:18","130","125","-1","17:29","11","0","0","0","0","0"
"DL","10/01/2018","1158","N941DN","ATL","17:08","17:01","104","95","-7","17:10","9","0","0","0","0","0"
"DL","10/01/2018","1474","N921DN","ATL","12:35","12:32","104","104","-3","12:42","10","0","0","0","0","0"
"DL","10/01/2018","2119","N333NB","SLC","08:10","08:07","244","248","-3","08:18","11","0","0","0","0","0"
"DL","10/01/2018","2232","N972DL","ATL","10:49","10:44","104","105","-5","10:58","14","0","0","0","0","0"
"DL","10/01/2018","2528","N907DE","ATL","15:30","15:23","111","94","-7","15:32","9","0","0","0","0","0"
"DL","10/01/2018","2530","N922DX","ATL","07:00","06:55","108","108","-5","07:06","11","0","0","0","0","0"
"DL","10/01/2018","2636","N938DN","ATL","05:40","05:40","107","101","0","05:50","10","0","0","0","0","0"
"DL","10/01/2018","2760","N927AT","DTW","05:35","05:31","55","46","-4","05:40","9","0","0","0","0","0"
"DL","10/01/2018","2774","N936DN","ATL","18:46","18:46","104","101","0","18:56","10","0","0","0","0","0"
"DL","10/01/2018","2974","N911DA","ATL","08:15","08:12","108","103","-3","08:21","9","0","0","0","0","0"
"DL","10/02/2018","0381","N333NB","MSP","17:19","17:16","130","133","-3","17:38","22","0","0","0","0","0"
"DL","10/02/2018","1158","N973DL","ATL","17:08","17:07","104","97","-1","17:21","14","0","0","0","0","0"
"DL","10/02/2018","1474","N919DN","ATL","12:35","12:31","104","98","-4","12:40","9","0","0","0","0","0"
"DL","10/02/2018","2119","N357NB","SLC","08:10","08:08","244","250","-2","08:18","10","0","0","0","0","0"
"DL","10/02/2018","2232","N970DL","ATL","10:49","10:29","104","95","-20","10:36","7","0","0","0","0","0"
"DL","10/02/2018","2528","N936DL","ATL","15:30","15:26","111","98","-4","15:38","12","0","0","0","0","0"
"DL","10/02/2018","2530","N912DN","ATL","07:00","06:53","108","109","-7","07:07","14","0","0","0","0","0"
"DL","10/02/2018","2636","N923DN","ATL","05:40","05:32","107","99","-8","05:41","9","0","0","0","0","0"
"DL","10/02/2018","2760","N952AT","DTW","05:35","05:28","55","44","-7","05:40","12","0","0","0","0","0"
"DL","10/02/2018","2774","N908DA","ATL","18:46","18:43","104","103","-3","18:51","8","0","0","0","0","0"
"DL","10/02/2018","2974","N922DX","ATL","08:15","08:10","108","98","-5","08:20","10","0","0","0","0","0"
"DL","10/03/2018","0381","N324NB","MSP","17:19","17:18","130","145","-1","17:28","10","0","0","0","0","0"
"DL","10/03/2018","1158","N921DN","ATL","17:08","17:09","104","92","1","17:17","8","0","0","0","0","0"
"DL","10/03/2018","1474","N908DA","ATL","12:35","12:29","104","96","-6","12:37","8","0","0","0","0","0"
"DL","10/03/2018","2119","N338NB","SLC","08:10","08:04","244","251","-6","08:20","16","0","0","0","0","0"
"DL","10/03/2018","2232","N900DE","ATL","10:49","10:45","104","85","-4","10:53","8","0","0","0","0","0"
"DL","10/03/2018","2528","N906DL","ATL","15:30","15:44","111","91","14","15:53","9","0","0","0","0","0"
"DL","10/03/2018","2530","N916DE","ATL","07:00","06:56","108","96","-4","07:08","12","0","0","0","0","0"
"DL","10/03/2018","2636","N911DA","ATL","05:40","05:33","107","94","-7","05:46","13","0","0","0","0","0"
"DL","10/03/2018","2760","N899AT","DTW","05:35","05:29","55","43","-6","05:40","11","0","0","0","0","0"
"DL","10/03/2018","2774","N950DN","ATL","18:46","18:45","104","93","-1","18:55","10","0","0","0","0","0"
"DL","10/03/2018","2974","N912DN","ATL","08:15","08:11","108","104","-4","08:28","17","0","0","0","0","0"
"DL","10/04/2018","0381","N358NB","MSP","17:19","17:24","130","137","5","17:39","15","0","0","0","0","0"
"DL","10/04/2018","1158","N914DN","ATL","17:08","17:10","104","98","2","17:23","13","0","0","0","0","0"
"DL","10/04/2018","1474","N917DN","ATL","12:35","13:32","104","126","57","14:17","45","57","0","22","0","0"
"DL","10/04/2018","2119","N326NB","SLC","08:10","08:11","244","252","1","08:21","10","0","0","0","0","0"
"DL","10/04/2018","2232","N910DL","ATL","10:49","10:48","104","93","-1","10:59","11","0","0","0","0","0"
"DL","10/04/2018","2528","N962DL","ATL","15:30","15:27","111","101","-3","15:41","14","0","0","0","0","0"
"DL","10/04/2018","2530","N950DL","ATL","07:00","06:54","108","91","-6","07:04","10","0","0","0","0","0"
"DL","10/04/2018","2636","N940DN","ATL","05:40","05:40","107","102","0","05:59","19","0","0","0","0","0"
"DL","10/04/2018","2760","N926AT","DTW","05:35","05:31","55","41","-4","05:41","10","0","0","0","0","0"
"DL","10/04/2018","2774","N911DA","ATL","18:46","18:57","104","99","11","19:13","16","0","0","0","0","0"
"DL","10/04/2018","2974","N913DN","ATL","08:15","08:11","108","99","-4","08:26","15","0","0","0","0","0"
"DL","10/05/2018","1158","N923DN","ATL","17:08","17:06","104","93","-2","17:16","10","0","0","0","0","0"
"DL","10/05/2018","1474","N930DN","ATL","12:35","12:36","104","100","1","12:48","12","0","0","0","0","0"
"DL","10/05/2018","2119","N357NB","SLC","08:10","08:09","244","259","-1","08:39","30","0","0","0","0","0"
"DL","10/05/2018","2232","N995DL","ATL","10:49","10:45","104","100","-4","10:57","12","0","0","0","0","0"
"DL","10/05/2018","2528","N900DE","ATL","15:30","15:22","111","104","-8","15:37","15","0","0","0","0","0"
"DL","10/05/2018","2530","N939DN","ATL","07:00","07:12","108","114","12","07:41","29","12","0","6","0","0"
"DL","10/05/2018","2636","N948DN","ATL","05:40","08:04","107","104","144","08:17","13","141","0","0","0","0"
"DL","10/05/2018","2760","N943AT","DTW","05:35","05:32","55","43","-3","05:44","12","0","0","0","0","0"
"DL","10/05/2018","2774","N914DN","ATL","18:46","18:43","104","110","-3","19:11","28","0","0","0","0","0"
"DL","10/05/2018","2974","N926DH","ATL","08:15","08:17","108","101","2","08:31","14","0","0","0","0","0"
"DL","10/06/2018","1158","N936DN","ATL","17:20","17:17","114","107","-3","17:30","13","0","0","0","0","0"
"DL","10/06/2018","1493","N959DL","ATL","16:00","15:50","107","103","-10","16:02","12","0","0","0","0","0"
"DL","10/06/2018","1554","N926AT","DTW","06:40","06:37","46","40","-3","06:45","8","0","0","0","0","0"
"DL","10/06/2018","2119","N357NB","SLC","08:10","08:10","244","253","0","08:19","9","0","0","0","0","0"
"DL","10/06/2018","2232","N994DL","ATL","11:22","11:17","103","102","-5","11:26","9","0","0","0","0","0"
"DL","10/06/2018","2636","N948DN","ATL","06:00","05:55","101","99","-5","06:12","17","0","0","0","0","0"
"DL","10/06/2018","2974","N912DN","ATL","08:15","09:17","106","102","62","09:27","10","58","0","0","0","0"
"DL","10/07/2018","0359","N892AT","MSP","07:00","06:58","131","116","-2","07:08","10","0","0","0","0","0"
"DL","10/07/2018","0381","N364NB","MSP","17:19","17:10","130","116","-9","17:29","19","0","0","0","0","0"
"DL","10/07/2018","1158","N923DN","ATL","17:08","17:18","104","110","10","17:38","20","6","0","6","0","4"
"DL","10/07/2018","1474","N905DA","ATL","12:35","12:33","104","111","-2","12:51","18","0","0","0","0","0"
"DL","10/07/2018","2232","N919DN","ATL","10:49","10:42","104","115","-7","10:57","15","0","0","0","0","0"
"DL","10/07/2018","2528","N936DN","ATL","15:30","15:30","111","103","0","15:43","13","0","0","0","0","0"
"DL","10/07/2018","2530","N962DN","ATL","07:00","06:59","108","98","-1","07:11","12","0","0","0","0","0"
"DL","10/07/2018","2636","N923DN","ATL","05:40","05:40","107","91","0","05:51","11","0","0","0","0","0"
"DL","10/07/2018","2774","N952DN","ATL","18:46","18:40","104","114","-6","19:00","20","0","0","0","0","0"
"DL","10/07/2018","2974","N943DN","ATL","08:15","08:14","108","120","-1","08:39","25","0","0","0","0","0"
"DL","10/08/2018","0381","N333NB","MSP","17:19","17:09","130","111","-10","17:24","15","0","0","0","0","0"
"DL","10/08/2018","1158","N914DN","ATL","17:08","17:04","104","113","-4","17:23","19","0","0","0","0","0"
"DL","10/08/2018","1474","N912DN","ATL","12:35","12:30","104","111","-5","12:41","11","0","0","0","0","0"
"DL","10/08/2018","2119","N357NB","SLC","08:10","08:05","244","241","-5","08:13","8","0","0","0","0","0"
"DL","10/08/2018","2232","N909DE","ATL","10:49","10:44","104","109","-5","10:57","13","0","0","0","0","0"
"DL","10/08/2018","2528","N935DL","ATL","15:30","15:28","111","101","-2","15:36","8","0","0","0","0","0"
"DL","10/08/2018","2530","N941DN","ATL","07:00","06:53","108","112","-7","07:05","12","0","0","0","0","0"
"DL","10/08/2018","2636","N948DN","ATL","05:40","05:37","107","107","-3","05:52","15","0","0","0","0","0"
"DL","10/08/2018","2760","N991AT","DTW","05:35","05:30","55","51","-5","05:45","15","0","0","0","0","0"
"DL","10/08/2018","2774","N941DN","ATL","18:46","18:39","104","110","-7","18:50","11","0","0","0","0","0"
"DL","10/08/2018","2974","N950DN","ATL","08:15","08:15","108","111","0","08:26","11","0","0","0","0","0"
