Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: United Airlines Inc. (UA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","10/01/2018","0400","N29717","IAH","11:00","11:04","172","186","4","11:15","11","0","0","18","0","0"
"UA","10/01/2018","0413","N33203","SFO","19:15","19:07","310","346","-8","19:22","15","0","0","28","0","0"
"UA","10/01/2018","0461","N37470","LAX","19:31","19:26","301","285","-5","19:35","9","0","0","0","0","0"
"UA","10/01/2018","0467","N37267","DEN","16:44","16:33","190","179","-11","16:43","10","0","0","0","0","0"
"UA","10/01/2018","0623","N87527","IAD","06:00","05:55","68","61","-5","06:08","13","0","0","0","0","0"
"UA","10/01/2018","0695","N16709","IAH","06:50","09:17","172","184","147","09:28","11","147","0","12","0","0"
"UA","10/01/2018","0760","N14735","IAH","09:05","08:59","172","201","-6","09:07","8","0","0","23","0","0"
"UA","10/01/2018","0763","N37267","DEN","08:35","08:31","193","181","-4","08:41","10","0","0","0","0","0"
"UA","10/01/2018","0776","N36272","ORD","08:45","08:43","81","95","-2","08:57","14","0","0","0","0","0"
"UA","10/01/2018","0785","N38268","ORD","10:55","10:50","81","82","-5","11:00","10","0","0","0","0","0"
"UA","10/01/2018","1122","N37255","ORD","14:09","14:02","81","94","-7","14:17","15","0","0","0","0","0"
"UA","10/01/2018","1450","N17244","ORD","12:24","12:22","81","80","-2","12:31","9","0","0","0","0","0"
"UA","10/01/2018","1498","N18223","IAD","14:41","14:33","83","72","-8","14:51","18","0","0","0","0","0"
"UA","10/01/2018","1615","N78540","SFO","07:30","07:18","313","314","-12","07:30","12","0","0","0","0","0"
"UA","10/01/2018","1704","N68453","ORD","17:40","17:34","92","87","-6","17:48","14","0","0","0","0","0"
"UA","10/01/2018","1981","N34222","LAX","06:44","06:53","303","295","9","07:03","10","0","0","0","0","0"
"UA","10/01/2018","2069","N73275","ORD","07:41","07:31","86","86","-10","07:42","11","0","0","0","0","0"
"UA","10/01/2018","2079","N38446","MCO","08:55","08:48","145","136","-7","08:58","10","0","0","0","0","0"
"UA","10/01/2018","2116","N27722","ORD","06:39","06:30","81","81","-9","06:42","12","0","0","0","0","0"
"UA","10/01/2018","2143","N27733","EWR","06:10","06:01","88","83","-9","06:13","12","0","0","0","0","0"
"UA","10/02/2018","0400","N14731","IAH","11:00","10:50","172","165","-10","11:00","10","0","0","0","0","0"
"UA","10/02/2018","0467","N33203","DEN","16:44","16:34","190","191","-10","16:44","10","0","0","0","0","0"
"UA","10/02/2018","0623","N12238","IAD","06:00","05:48","68","60","-12","05:57","9","0","0","0","0","0"
"UA","10/02/2018","0695","N16709","IAH","06:50","06:42","172","162","-8","06:51","9","0","0","0","0","0"
"UA","10/02/2018","0760","N15751","IAH","09:05","08:58","172","168","-7","09:08","10","0","0","0","0","0"
"UA","10/02/2018","0763","N33203","DEN","08:35","08:29","193","181","-6","08:38","9","0","0","0","0","0"
"UA","10/02/2018","0776","N38257","ORD","08:45","08:37","81","81","-8","08:48","11","0","0","0","0","0"
"UA","10/02/2018","0785","N78506","ORD","10:55","10:47","81","64","-8","10:56","9","0","0","0","0","0"
"UA","10/02/2018","1122","N17233","ORD","14:09","14:06","81","68","-3","14:17","11","0","0","0","0","0"
"UA","10/02/2018","1450","N12754","ORD","12:24","12:17","81","91","-7","12:26","9","0","0","0","0","0"
"UA","10/02/2018","1498","N37255","IAD","14:41","15:19","83","65","38","15:31","12","0","0","0","0","20"
"UA","10/02/2018","1615","N36272","SFO","07:30","07:27","313","330","-3","07:41","14","0","0","0","0","0"
"UA","10/02/2018","1704","N27722","ORD","17:40","17:35","92","81","-5","17:45","10","0","0","0","0","0"
"UA","10/02/2018","1981","N34222","LAX","06:44","06:42","303","300","-2","06:53","11","0","0","0","0","0"
"UA","10/02/2018","2069","N27213","ORD","07:41","07:37","86","71","-4","07:49","12","0","0","0","0","0"
"UA","10/02/2018","2079","N27421","MCO","08:55","08:46","145","140","-9","08:56","10","0","0","0","0","0"
"UA","10/02/2018","2116","N13718","ORD","06:39","06:29","81","69","-10","06:40","11","0","0","0","0","0"
"UA","10/02/2018","2143","N24706","EWR","06:10","06:06","88","80","-4","06:17","11","0","0","0","0","0"
"UA","10/03/2018","0202","N73270","ORD","07:41","07:34","86","83","-7","07:47","13","0","0","0","0","0"
"UA","10/03/2018","0400","N14704","IAH","11:00","10:50","172","157","-10","10:59","9","0","0","0","0","0"
"UA","10/03/2018","0413","N65832","SFO","19:25","19:53","310","295","28","20:02","9","0","0","0","0","0"
"UA","10/03/2018","0467","N11206","DEN","16:44","16:37","190","186","-7","16:46","9","0","0","0","0","0"
"UA","10/03/2018","0623","N23721","IAD","06:00","05:48","68","62","-12","06:01","13","0","0","0","0","0"
"UA","10/03/2018","0695","N23708","IAH","06:50","06:39","172","171","-11","06:52","13","0","0","0","0","0"
"UA","10/03/2018","0760","N12754","IAH","09:05","08:53","172","176","-12","09:04","11","0","0","0","0","0"
"UA","10/03/2018","0763","N17245","DEN","08:35","08:33","193","196","-2","08:47","14","0","0","0","0","0"
"UA","10/03/2018","0776","N37287","ORD","08:45","08:34","81","74","-11","08:49","15","0","0","0","0","0"
"UA","10/03/2018","0785","N25705","ORD","10:55","11:01","81","71","6","11:12","11","0","0","0","0","0"
"UA","10/03/2018","1122","N26232","ORD","14:09","14:07","81","67","-2","14:18","11","0","0","0","0","0"
"UA","10/03/2018","1450","N29717","ORD","12:24","12:21","81","91","-3","12:30","9","0","0","0","0","0"
"UA","10/03/2018","1498","N33286","IAD","14:41","14:28","83","93","-13","15:07","39","0","0","0","0","0"
