Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","1541","N984TW","DFW","15:18","15:09","177","159","-9","15:19","10","0","0","0","0","0"
"AA","10/01/2018","1590","N965AN","DFW","06:04","05:55","176","165","-9","06:12","17","0","0","0","0","0"
"AA","10/01/2018","1638","N730US","CLT","15:32","15:46","107","88","14","16:00","14","0","0","0","0","0"
"AA","10/01/2018","1656","N946UW","PHL","06:02","05:52","86","75","-10","06:06","14","0","0","0","0","0"
"AA","10/01/2018","1699","N725UW","CLT","10:15","10:05","101","89","-10","10:14","9","0","0","0","0","0"
"AA","10/01/2018","1901","N947UW","PHL","18:11","18:01","102","73","-10","18:11","10","0","0","0","0","0"
"AA","10/01/2018","2021","N835AW","CLT","08:32","08:27","104","98","-5","08:40","13","0","0","0","0","0"
"AA","10/01/2018","2253","N886NN","DFW","07:52","07:49","178","169","-3","07:59","10","0","0","0","0","0"
"AA","10/01/2018","2331","N9619V","DFW","11:39","11:32","175","156","-7","11:42","10","0","0","0","0","0"
"AA","10/01/2018","2480","N966TW","DFW","19:13","19:36","177","157","23","19:46","10","0","0","0","0","0"
"AA","10/02/2018","1541","N9615W","DFW","15:18","15:03","177","165","-15","15:21","18","0","0","0","0","0"
"AA","10/02/2018","1590","N802NN","DFW","06:04","06:03","176","167","-1","06:14","11","0","0","0","0","0"
"AA","10/02/2018","1638","N710UW","CLT","15:32","15:26","107","96","-6","15:35","9","0","0","0","0","0"
"AA","10/02/2018","1656","N953UW","PHL","06:02","05:47","86","78","-15","06:01","14","0","0","0","0","0"
"AA","10/02/2018","1901","N944UW","PHL","18:11","18:00","102","84","-11","18:19","19","0","0","0","0","0"
"AA","10/02/2018","2021","N765US","CLT","08:32","08:24","104","89","-8","08:36","12","0","0","0","0","0"
"AA","10/02/2018","2253","N879NN","DFW","07:52","07:47","178","164","-5","07:56","9","0","0","0","0","0"
"AA","10/02/2018","2331","N9681B","DFW","11:39","11:35","175","162","-4","11:47","12","0","0","0","0","0"
"AA","10/02/2018","2480","N806NN","DFW","19:13","19:31","177","165","18","19:45","14","0","0","0","0","0"
"AA","10/03/2018","1541","N969TW","DFW","15:18","15:15","177","158","-3","15:25","10","0","0","0","0","0"
"AA","10/03/2018","1590","N908AN","DFW","06:04","05:58","176","168","-6","06:14","16","0","0","0","0","0"
"AA","10/03/2018","1638","N740UW","CLT","15:32","15:31","107","110","-1","15:40","9","0","0","0","0","0"
"AA","10/03/2018","1656","N949UW","PHL","06:02","05:50","86","83","-12","06:06","16","0","0","0","0","0"
"AA","10/03/2018","1699","N714US","CLT","10:15","10:06","101","98","-9","10:20","14","0","0","0","0","0"
"AA","10/03/2018","1901","N961UW","PHL","18:11","18:01","102","98","-10","18:32","31","0","0","0","0","0"
"AA","10/03/2018","2021","N702UW","CLT","08:32","08:25","104","108","-7","08:41","16","0","0","0","0","0"
"AA","10/03/2018","2253","N913NN","DFW","07:52","07:44","178","188","-8","07:58","14","0","0","0","0","0"
"AA","10/03/2018","2331","N964TW","DFW","11:39","11:35","175","158","-4","11:46","11","0","0","0","0","0"
"AA","10/03/2018","2480","N922AN","DFW","19:13","19:21","177","158","8","19:36","15","0","0","0","0","0"
"AA","10/04/2018","1541","N9629H","DFW","15:20","15:27","177","167","7","15:44","17","0","0","0","0","0"
"AA","10/04/2018","1590","N849NN","DFW","06:02","05:58","178","163","-4","06:12","14","0","0","0","0","0"
"AA","10/04/2018","1638","N717UW","CLT","15:27","15:22","105","103","-5","15:36","14","0","0","0","0","0"
"AA","10/04/2018","1656","N961UW","PHL","06:01","05:51","87","84","-10","06:01","10","0","0","0","0","0"
"AA","10/04/2018","1901","N949UW","PHL","18:10","19:34","103","90","84","19:52","18","0","0","26","0","45"
"AA","10/04/2018","2021","N832AW","CLT","08:31","08:28","104","87","-3","08:38","10","0","0","0","0","0"
"AA","10/04/2018","2253","N847NN","DFW","07:24","07:26","180","164","2","07:37","11","0","0","0","0","0"
"AA","10/04/2018","2331","N961TW","DFW","11:39","11:36","175","157","-3","11:47","11","0","0","0","0","0"
"AA","10/04/2018","2480","N973AN","DFW","19:13","20:47","177","158","94","21:02","15","2","0","0","0","73"
"AA","10/05/2018","1541","N9620D","DFW","15:20","15:15","177","167","-5","15:29","14","0","0","0","0","0"
"AA","10/05/2018","1590","N903AN","DFW","06:02","05:59","178","184","-3","06:25","26","0","0","0","0","0"
"AA","10/05/2018","1638","N763US","CLT","15:27","15:19","105","101","-8","15:36","17","0","0","0","0","0"
"AA","10/05/2018","1656","N963UW","PHL","06:01","05:51","87","93","-10","06:16","25","0","0","0","0","0"
"AA","10/05/2018","1901","N959UW","PHL","18:10","18:00","103","82","-10","18:17","17","0","0","0","0","0"
"AA","10/05/2018","2021","N744P","CLT","08:31","08:27","104","98","-4","08:42","15","0","0","0","0","0"
"AA","10/05/2018","2253","N893NN","DFW","07:24","07:20","180","180","-4","07:36","16","0","0","0","0","0"
"AA","10/05/2018","2331","N9677W","DFW","11:39","11:34","175","171","-5","11:53","19","0","0","0","0","0"
"AA","10/05/2018","2480","N932NN","DFW","19:13","19:11","177","167","-2","19:21","10","0","0","0","0","0"
"AA","10/06/2018","1541","N984TW","DFW","15:20","15:32","177","167","12","15:50","18","0","0","0","0","0"
"AA","10/06/2018","1590","N872NN","DFW","06:02","05:57","178","177","-5","06:21","24","0","0","0","0","0"
"AA","10/06/2018","1656","N959UW","PHL","06:01","05:54","87","82","-7","06:08","14","0","0","0","0","0"
