Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","0016","N114NN","JFK","11:35","11:26","355","326","-9","11:53","27","0","0","0","0","0"
"AA","10/01/2018","0018","N107NN","JFK","06:30","06:23","346","303","-7","06:39","16","0","0","0","0","0"
"AA","10/01/2018","0139","N909AM","DFW","15:38","15:45","212","207","7","15:57","12","0","0","0","0","0"
"AA","10/01/2018","0152","N902AA","DFW","10:00","09:52","214","197","-8","10:13","21","0","0","0","0","0"
"AA","10/01/2018","0164","N105NN","JFK","08:00","07:52","348","313","-8","08:08","16","0","0","0","0","0"
"AA","10/01/2018","0166","N103NN","JFK","15:16","15:18","345","324","2","15:37","19","0","0","0","0","0"
"AA","10/01/2018","0276","N110AN","JFK","22:20","22:11","340","306","-9","22:31","20","0","0","0","0","0"
"AA","10/01/2018","0343","N992AU","MIA","07:05","06:56","347","320","-9","07:09","13","0","0","0","0","0"
"AA","10/01/2018","0345","N943NN","ORD","10:57","10:56","272","249","-1","11:18","22","0","0","0","0","0"
"AA","10/01/2018","0383","N342AN","MIA","12:50","12:50","340","318","0","13:05","15","0","0","0","0","0"
"AA","10/01/2018","0390","N142AN","DFW","08:04","08:01","215","200","-3","08:22","21","0","0","0","0","0"
"AA","10/01/2018","0547","N568UW","PHL","22:00","21:55","323","301","-5","22:10","15","0","0","0","0","0"
"AA","10/01/2018","0651","N915US","PHL","10:42","11:27","327","319","45","11:51","24","37","0","0","0","0"
"AA","10/01/2018","0776","N152UW","CLT","05:16","05:11","310","266","-5","05:20","9","0","0","0","0","0"
"AA","10/01/2018","0785","N181UW","CLT","11:04","11:03","310","296","-1","11:33","30","0","0","0","0","0"
"AA","10/01/2018","1004","N140AN","DFW","00:43","00:35","204","192","-8","00:46","11","0","0","0","0","0"
"AA","10/01/2018","1022","N177AN","PHL","08:28","08:24","327","315","-4","08:46","22","0","0","0","0","0"
"AA","10/01/2018","1037","N818NN","PHX","17:10","17:04","122","124","-6","17:18","14","0","0","0","0","0"
"AA","10/01/2018","1198","N159AN","DFW","06:07","06:00","216","202","-7","06:22","22","0","0","0","0","0"
"AA","10/01/2018","1253","N906AN","ORD","23:56","23:50","257","227","-6","24:00","10","0","0","0","0","0"
"AA","10/01/2018","1260","N803AL","DFW","11:54","12:43","211","208","49","13:09","26","4","0","0","0","42"
"AA","10/01/2018","1470","N916NN","ORD","15:53","15:50","254","248","-3","16:15","25","0","0","0","0","0"
"AA","10/01/2018","1671","N186US","DFW","14:17","14:11","223","201","-6","14:28","17","0","0","0","0","0"
"AA","10/01/2018","1766","N975UY","PHL","05:45","05:39","329","302","-6","05:52","13","0","0","0","0","0"
"AA","10/01/2018","1783","N582UW","CLT","22:18","22:14","296","282","-4","22:29","15","0","0","0","0","0"
"AA","10/01/2018","1826","N545UW","CLT","00:15","00:13","299","278","-2","00:25","12","0","0","0","0","0"
"AA","10/01/2018","1827","N913US","PHX","12:01","12:36","120","112","35","12:48","12","2","0","0","0","25"
"AA","10/01/2018","1844","N585UW","PHX","15:43","15:39","121","106","-4","15:50","11","0","0","0","0","0"
"AA","10/01/2018","1868","N192UW","PHX","09:20","09:17","120","114","-3","09:34","17","0","0","0","0","0"
"AA","10/01/2018","1956","N180US","CLT","13:12","13:09","308","308","-3","13:28","19","0","0","0","0","0"
"AA","10/01/2018","1960","N970UY","CLT","08:25","08:22","314","287","-3","08:42","20","0","0","0","0","0"
"AA","10/01/2018","2042","N187US","PHX","05:55","05:51","122","121","-4","06:03","12","0","0","0","0","0"
"AA","10/01/2018","2248","N987AM","DFW","13:23","13:19","221","204","-4","13:42","23","0","0","0","0","0"
"AA","10/01/2018","2548","N138AN","MIA","21:37","21:42","333","324","5","22:00","18","0","0","0","0","0"
"AA","10/01/2018","2614","N982NN","ORD","07:57","07:56","263","245","-1","08:14","18","0","0","0","0","0"
"AA","10/01/2018","2634","N156AN","ORD","14:21","14:18","269","244","-3","14:34","16","0","0","0","0","0"
"AA","10/01/2018","2683","N158AN","DFW","17:31","17:32","206","195","1","17:43","11","0","0","0","0","0"
"AA","10/01/2018","2688","N996AN","MIA","22:48","22:45","339","333","-3","23:10","25","0","0","0","0","0"
"AA","10/01/2018","2691","N942AN","ORD","09:25","09:23","264","240","-2","09:37","14","0","0","0","0","0"
"AA","10/02/2018","0016","N111ZM","JFK","11:35","11:32","355","344","-3","12:02","30","0","0","0","0","0"
"AA","10/02/2018","0018","N107NN","JFK","06:30","06:20","346","328","-10","06:51","31","0","0","0","0","0"
"AA","10/02/2018","0139","N135NN","DFW","15:38","15:36","212","189","-2","15:49","13","0","0","0","0","0"
"AA","10/02/2018","0152","N144AN","DFW","10:00","10:00","214","202","0","10:24","24","0","0","0","0","0"
"AA","10/02/2018","0164","N109NN","JFK","08:00","07:55","348","344","-5","08:19","24","0","0","0","0","0"
"AA","10/02/2018","0166","N112AN","JFK","15:16","15:09","345","370","-7","15:22","13","0","0","18","0","0"
"AA","10/02/2018","0276","N115NN","JFK","22:20","22:28","340","295","8","22:42","14","0","0","0","0","0"
"AA","10/02/2018","0343","N908AA","MIA","07:05","06:58","347","321","-7","07:13","15","0","0","0","0","0"
"AA","10/02/2018","0345","N964NN","ORD","10:57","10:55","272","267","-2","11:30","35","0","0","0","0","0"
"AA","10/02/2018","0383","N342AN","MIA","12:50","12:47","340","331","-3","13:09","22","0","0","0","0","0"
"AA","10/02/2018","0390","N990AU","DFW","08:04","12:26","215","199","262","12:40","14","246","0","0","0","0"
"AA","10/02/2018","0547","N509AY","PHL","22:00","21:56","323","301","-4","22:11","15","0","0","0","0","0"
"AA","10/02/2018","0651","N980UY","PHL","10:42","10:51","327","312","9","11:18","27","0","0","0","0","0"
"AA","10/02/2018","0700","N381AN","PHL","08:30","08:29","325","353","-1","08:53","24","0","0","27","0","0"
"AA","10/02/2018","0776","N558UW","CLT","05:16","05:10","310","303","-6","05:22","12","0","0","0","0","0"
"AA","10/02/2018","0785","N556UW","CLT","11:04","10:59","310","308","-5","11:21","22","0","0","0","0","0"
"AA","10/02/2018","1004","N145AN","DFW","00:43","00:37","204","201","-6","00:50","13","0","0","0","0","0"
"AA","10/02/2018","1198","N907AA","DFW","06:07","06:01","216","207","-6","06:20","19","0","0","0","0","0"
"AA","10/02/2018","1253","N860NN","ORD","23:56","23:55","257","240","-1","00:10","15","0","0","0","0","0"
"AA","10/02/2018","1260","N813AN","DFW","11:54","11:50","211","197","-4","12:12","22","0","0","0","0","0"
"AA","10/02/2018","1470","N934NN","ORD","15:53","16:16","254","229","23","16:31","15","0","0","0","0","0"
"AA","10/02/2018","1671","N180US","DFW","14:17","14:13","223","208","-4","14:32","19","0","0","0","0","0"
"AA","10/02/2018","1766","N508AY","PHL","05:45","05:40","329","294","-5","05:52","12","0","0","0","0","0"
"AA","10/02/2018","1783","N507AY","CLT","22:18","22:14","296","273","-4","22:26","12","0","0","0","0","0"
"AA","10/02/2018","1827","N196UW","PHX","12:01","12:08","120","114","7","12:23","15","0","0","0","0","0"
"AA","10/02/2018","1956","N194UW","CLT","13:12","13:04","308","300","-8","13:28","24","0","0","0","0","0"
"AA","10/02/2018","1960","N974UY","CLT","08:25","08:19","314","280","-6","08:32","13","0","0","0","0","0"
"AA","10/02/2018","2042","N539UW","PHX","05:55","05:50","122","119","-5","06:02","12","0","0","0","0","0"
"AA","10/02/2018","2248","N997AA","DFW","13:23","13:19","221","210","-4","13:47","28","0","0","0","0","0"
"AA","10/02/2018","2548","N929AA","MIA","21:37","21:41","333","327","4","22:03","22","0","0","0","0","0"
"AA","10/02/2018","2614","N952NN","ORD","07:57","07:53","263","255","-4","08:18","25","0","0","0","0","0"
"AA","10/02/2018","2634","N932AM","ORD","14:21","14:14","269","246","-7","14:30","16","0","0","0","0","0"
"AA","10/02/2018","2683","N989AU","DFW","17:31","17:25","206","195","-6","17:36","11","0","0","0","0","0"
"AA","10/02/2018","2688","N146AA","MIA","22:48","22:40","339","322","-8","22:55","15","0","0","0","0","0"
"AA","10/02/2018","2691","N904NN","ORD","09:25","09:24","264","240","-1","09:39","15","0","0","0","0","0"
"AA","10/03/2018","0016","N112AN","JFK","11:35","11:28","355","323","-7","11:52","24","0","0","0","0","0"
"AA","10/03/2018","0018","N105NN","JFK","06:30","06:19","346","302","-11","06:37","18","0","0","0","0","0"
"AA","10/03/2018","0139","N903AA","DFW","15:38","15:37","212","222","-1","16:09","32","0","0","0","0","0"
"AA","10/03/2018","0152","N991AU","DFW","10:00","09:57","214","203","-3","10:15","18","0","0","0","0","0"
"AA","10/03/2018","0164","N107NN","JFK","08:00","09:08","348","304","68","09:27","19","24","0","0","0","0"
"AA","10/03/2018","0166","N117AN","JFK","15:16","15:12","345","307","-4","15:30","18","0","0","0","0","0"
"AA","10/03/2018","0276","N116AN","JFK","22:20","22:17","340","335","-3","22:28","11","0","0","0","0","0"
"AA","10/03/2018","0343","N147AA","MIA","07:05","07:02","347","342","-3","07:23","21","0","0","0","0","0"
"AA","10/03/2018","0345","N860NN","ORD","10:57","10:52","272","245","-5","11:13","21","0","0","0","0","0"
"AA","10/03/2018","0383","N348AN","MIA","12:50","05:25","340","329","995","05:42","17","0","0","545","0","439"
"AA","10/03/2018","0390","N993AN","DFW","08:04","07:55","215","209","-9","08:15","20","0","0","0","0","0"
"AA","10/03/2018","0547","N519UW","PHL","22:00","23:16","323","356","76","23:40","24","63","0","33","0","13"
"AA","10/03/2018","0651","N561UW","PHL","10:42","10:37","327","309","-5","11:11","34","0","0","0","0","0"
"AA","10/03/2018","0700","N398AN","PHL","08:30","09:59","325","303","89","10:17","18","67","0","0","0","0"
"AA","10/03/2018","0776","N912UY","CLT","05:16","05:13","310","289","-3","05:26","13","0","0","0","0","0"
"AA","10/03/2018","0785","N198UW","CLT","11:04","11:49","310","290","45","12:13","24","13","0","0","0","12"
"AA","10/03/2018","1004","N902AA","DFW","00:43","00:35","204","197","-8","00:48","13","0","0","0","0","0"
"AA","10/03/2018","1037","N929AN","PHX","17:10","17:02","122","132","-8","17:26","24","0","0","0","0","0"
"AA","10/03/2018","1198","N988AL","DFW","06:07","05:58","216","203","-9","06:12","14","0","0","0","0","0"
"AA","10/03/2018","1253","N901AN","ORD","23:59","23:55","254","230","-4","00:06","11","0","0","0","0","0"
"AA","10/03/2018","1260","N807AA","DFW","11:54","11:54","211","212","0","12:27","33","0","0","0","0","0"
"AA","10/03/2018","1470","N981NN","ORD","15:53","15:55","254","269","2","16:17","22","2","0","15","0","0"
"AA","10/03/2018","1671","N980UY","DFW","14:17","14:33","223","202","16","14:50","17","0","0","0","0","0"
"AA","10/03/2018","1766","N554UW","PHL","05:45","05:44","329","294","-1","05:56","12","0","0","0","0","0"
"AA","10/03/2018","1783","N551UW","CLT","22:21","22:18","293","293","-3","22:36","18","0","0","0","0","0"
"AA","10/03/2018","1827","N178US","PHX","12:01","11:55","120","122","-6","12:11","16","0","0","0","0","0"
"AA","10/03/2018","1844","N978UY","PHX","15:43","15:36","121","135","-7","16:06","30","0","0","0","0","0"
"AA","10/03/2018","1868","N920US","PHX","09:20","09:12","120","128","-8","09:24","12","0","0","0","0","0"
"AA","10/03/2018","1956","N544UW","CLT","13:12","13:11","308","308","-1","13:44","33","0","0","0","0","0"
"AA","10/03/2018","2042","N919US","PHX","05:55","05:51","122","118","-4","06:10","19","0","0","0","0","0"
"AA","10/03/2018","2248","N928AM","DFW","13:23","13:16","221","237","-7","13:55","39","0","0","0","0","0"
"AA","10/03/2018","2548","N987AM","MIA","21:44","21:43","326","337","-1","22:04","21","0","0","0","0","0"
"AA","10/03/2018","2614","N976NN","ORD","07:57","07:52","263","246","-5","08:06","14","0","0","0","0","0"
"AA","10/03/2018","2634","N155NN","ORD","14:21","14:19","269","246","-2","14:39","20","0","0","0","0","0"
"AA","10/03/2018","2683","N993AN","DFW","17:31","17:24","206","200","-7","17:33","9","0","0","0","0","0"
"AA","10/03/2018","2688","N151AN","MIA","22:56","22:50","331","338","-6","23:12","22","0","0","0","0","0"
"AA","10/03/2018","2691","N925AN","ORD","09:25","09:18","264","242","-7","09:39","21","0","0","0","0","0"
"AA","10/04/2018","0016","N106NN","JFK","11:39","11:32","351","338","-7","11:57","25","0","0","0","0","0"
"AA","10/04/2018","0018","N104NN","JFK","06:30","06:24","342","312","-6","06:42","18","0","0","0","0","0"
"AA","10/04/2018","0139","N164NN","DFW","15:50","16:16","210","218","26","16:46","30","0","0","8","0","26"
"AA","10/04/2018","0152","N134AN","DFW","09:58","09:54","211","209","-4","10:24","30","0","0","0","0","0"
"AA","10/04/2018","0164","N103NN","JFK","08:00","07:54","344","299","-6","08:07","13","0","0","0","0","0"
"AA","10/04/2018","0166","N114NN","JFK","15:20","15:18","341","328","-2","15:43","25","0","0","0","0","0"
"AA","10/04/2018","0276","N104NN","JFK","22:19","23:10","341","315","51","23:31","21","25","0","0","0","0"
"AA","10/04/2018","0343","N906AA","MIA","07:12","07:07","340","331","-5","07:24","17","0","0","0","0","0"
"AA","10/04/2018","0345","N979NN","ORD","10:57","11:05","272","253","8","11:33","28","0","0","0","0","0"
"AA","10/04/2018","0383","N385AM","MIA","13:00","12:55","333","353","-5","13:30","35","0","0","15","0","0"
"AA","10/04/2018","0390","N990AU","DFW","08:06","08:06","213","219","0","08:30","24","0","0","0","0","0"
"AA","10/04/2018","0547","N973UY","PHL","22:10","22:07","327","309","-3","22:33","26","0","0","0","0","0"
"AA","10/04/2018","0651","N978UY","PHL","10:45","10:52","324","314","7","11:13","21","0","0","0","0","0"
"AA","10/04/2018","0700","N346AN","PHL","08:35","08:35","320","307","0","08:58","23","0","0","0","0","0"
"AA","10/04/2018","0776","N173US","CLT","05:05","05:07","306","299","2","05:20","13","0","0","0","0","0"
"AA","10/04/2018","0785","N551UW","CLT","11:15","11:12","305","300","-3","11:46","34","0","0","0","0","0"
"AA","10/04/2018","1004","N147AA","DFW","00:36","00:32","204","214","-4","00:55","23","0","0","0","0","0"
"AA","10/04/2018","1037","N917AN","PHX","17:10","17:08","122","121","-2","17:24","16","0","0","0","0","0"
"AA","10/04/2018","1198","N153AN","DFW","06:09","06:01","214","226","-8","06:34","33","0","0","0","0","0"
"AA","10/04/2018","1253","N824NN","ORD","23:59","23:58","254","237","-1","00:14","16","0","0","0","0","0"
"AA","10/04/2018","1260","N167AN","DFW","11:52","12:11","217","198","19","12:28","17","0","0","0","0","0"
"AA","10/04/2018","1470","N866NN","ORD","15:22","16:01","261","227","39","16:21","20","0","0","0","0","0"
"AA","10/04/2018","1671","N915US","DFW","14:15","14:13","221","222","-2","14:51","38","0","0","0","0","0"
"AA","10/04/2018","1766","N152UW","PHL","05:48","05:44","326","306","-4","05:58","14","0","0","0","0","0"
