Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: Southwest Airlines Co. (WN)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","01/01/2018","0063","N766SW","LAS","10:40","10:35","145","151","-5","11:08","33","0","0","0","0","0"
"WN","01/01/2018","0157","N201LV","SMF","20:20","20:12","105","103","-8","20:22","10","0","0","0","0","0"
"WN","01/01/2018","0205","N8621A","OAK","21:10","21:08","130","113","-2","21:23","15","0","0","0","0","0"
"WN","01/01/2018","0363","N927WN","OAK","08:20","08:16","135","119","-4","08:35","19","0","0","0","0","0"
"WN","01/01/2018","0470","N208WN","STL","09:15","09:15","225","205","0","09:25","10","0","0","0","0","0"
"WN","01/01/2018","0669","N8523W","DEN","14:05","14:18","160","136","13","14:32","14","0","0","0","0","0"
"WN","01/01/2018","0702","N951WN","DEN","15:45","17:07","155","149","82","17:29","22","72","0","0","0","4"
"WN","01/01/2018","0852","N282WN","SMF","11:05","11:02","110","104","-3","11:21","19","0","0","0","0","0"
"WN","01/01/2018","1298","N8526W","MDW","05:15","05:15","240","226","0","05:31","16","0","0","0","0","0"
"WN","01/01/2018","1350","N7881A","OAK","05:20","05:26","125","116","6","05:40","14","0","0","0","0","0"
"WN","01/01/2018","1397","N261WN","SJC","16:40","16:45","125","114","5","16:58","13","0","0","0","0","0"
"WN","01/01/2018","1400","N8519R","MDW","15:10","15:12","240","226","2","15:22","10","0","0","0","0","0"
"WN","01/01/2018","1603","N903WN","SMF","06:25","06:24","110","102","-1","06:43","19","0","0","0","0","0"
"WN","01/01/2018","1686","N7744A","MCI","13:10","13:05","200","188","-5","13:19","14","0","0","0","0","0"
"WN","01/01/2018","1742","N401WN","SJC","06:20","06:16","130","125","-4","06:36","20","0","0","0","0","0"
"WN","01/01/2018","1816","N268WN","PHX","05:35","05:35","165","153","0","05:48","13","0","0","0","0","0"
"WN","01/01/2018","1834","N8615E","DEN","07:20","07:16","160","146","-4","07:26","10","0","0","0","0","0"
"WN","01/01/2018","1869","N945WN","LAS","06:20","06:17","145","136","-3","06:32","15","0","0","0","0","0"
