Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","01/01/2018","0038","N877DN","ATL","11:00","11:16","289","256","16","11:26","10","0","0","0","0","0"
"DL","01/01/2018","0128","N943AT","LAX","09:35","09:34","170","146","-1","09:49","15","0","0","0","0","0"
"DL","01/01/2018","0198","N988DN","LAS","15:25","15:16","151","133","-9","15:28","12","0","0","0","0","0"
"DL","01/01/2018","0588","N6703D","MSP","11:29","11:30","205","194","1","11:49","19","0","0","0","0","0"
"DL","01/01/2018","0652","N982AT","PDX","19:15","19:23","65","49","8","19:38","15","0","0","0","0","0"
"DL","01/01/2018","0708","N685DA","MSP","14:10","14:03","204","198","-7","14:30","27","0","0","0","0","0"
"DL","01/01/2018","0771","N583NW","LAX","17:00","17:05","160","159","5","17:33","28","0","0","0","0","0"
"DL","01/01/2018","0794","N3764D","SLC","09:50","09:52","125","104","2","10:05","13","0","0","0","0","0"
"DL","01/01/2018","0815","N3761R","ANC","21:15","21:13","231","196","-2","21:26","13","0","0","0","0","0"
"DL","01/01/2018","0905","N946AT","LAX","07:55","08:00","168","169","5","08:27","27","0","0","0","0","0"
"DL","01/01/2018","0979","N552NW","MCO","09:30","09:29","327","321","-1","10:00","31","0","0","0","0","0"
"DL","01/01/2018","1096","N590NW","KOA","15:30","15:36","397","355","6","15:48","12","0","0","0","0","0"
"DL","01/01/2018","1205","N826DN","ATL","09:00","09:01","288","252","1","09:16","15","0","0","0","0","0"
"DL","01/01/2018","1232","N672DL","ATL","12:00","13:05","286","255","65","13:18","13","0","0","34","0","0"
"DL","01/01/2018","1328","N3731T","ANC","15:31","15:25","226","196","-6","15:37","12","0","0","0","0","0"
"DL","01/01/2018","1380","N959AT","LAX","13:45","13:46","163","152","1","14:01","15","0","0","0","0","0"
"DL","01/01/2018","1389","N958AT","PHX","11:30","12:32","175","148","62","12:42","10","31","0","4","0","0"
"DL","01/01/2018","1397","N544US","OGG","12:00","13:33","391","366","93","13:51","18","7","0","61","0","0"
"DL","01/01/2018","1440","N595NW","DTW","09:30","09:42","266","264","12","10:22","40","0","0","0","0","0"
"DL","01/01/2018","1444","N695DL","DTW","06:00","05:58","255","253","-2","06:24","26","0","0","0","0","0"
"DL","01/01/2018","1453","N541US","MSP","06:40","06:34","205","184","-6","06:50","16","0","0","0","0","0"
"DL","01/01/2018","1542","N707TW","JFK","15:40","15:41","315","302","1","15:57","16","0","0","0","0","0"
"DL","01/01/2018","1588","N674DL","ATL","22:15","22:18","279","259","3","22:29","11","0","0","0","0","0"
"DL","01/01/2018","1598","N900PC","ATL","06:15","06:10","285","255","-5","06:31","21","0","0","0","0","0"
"DL","01/01/2018","1628","N987AT","SLC","11:25","11:34","125","107","9","11:47","13","0","0","0","0","0"
"DL","01/01/2018","1768","N807DN","MSP","09:01","08:54","202","214","-7","09:30","36","0","0","0","0","0"
"DL","01/01/2018","1873","N958AT","LAX","19:40","19:39","160","153","-1","19:47","8","0","0","0","0","0"
"DL","01/01/2018","1887","N821DX","HNL","17:05","17:04","390","360","-1","17:16","12","0","0","0","0","0"
"DL","01/01/2018","1917","N988DN","PHX","07:45","07:50","179","165","5","08:17","27","0","0","0","0","0"
"DL","01/01/2018","1948","N887DN","LAX","15:35","15:35","160","151","0","15:50","15","0","0","0","0","0"
"DL","01/01/2018","1951","N900PC","FLL","21:15","21:34","337","321","19","21:47","13","0","0","0","0","0"
"DL","01/01/2018","1968","N373DA","SLC","13:18","13:38","122","113","20","13:53","15","0","0","0","0","0"
"DL","01/01/2018","1985","N3744F","SLC","05:50","05:46","128","124","-4","06:11","25","0","0","0","0","0"
"DL","01/01/2018","2097","N338NB","BZN","11:36","11:35","101","83","-1","11:47","12","0","0","0","0","0"
"DL","01/01/2018","2138","N681DA","DTW","11:40","11:57","260","239","17","12:09","12","0","0","0","0","0"
"DL","01/01/2018","2180","N538US","LIH","13:45","14:26","407","369","41","14:38","12","0","0","0","0","0"
"DL","01/01/2018","2198","N952AT","SFO","09:30","09:28","150","146","-2","09:48","20","0","0","0","0","0"
