Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: United Airlines Inc. (UA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","01/01/2018","0213","N828UA","SFO","10:50","10:42","139","142","-8","11:11","29","0","0","0","0","0"
"UA","01/01/2018","0214","N69835","SFO","16:25","16:16","135","115","-9","16:30","14","0","0","0","0","0"
"UA","01/01/2018","0228","N28457","SFO","19:10","19:03","131","115","-7","19:15","12","0","0","0","0","0"
"UA","01/01/2018","0260","N36472","IAD","12:50","12:46","296","280","-4","12:58","12","0","0","0","0","0"
"UA","01/01/2018","0262","N39461","IAD","22:44","22:37","289","287","-7","22:48","11","0","0","0","0","0"
"UA","01/01/2018","0278","N17730","ORD","10:30","10:47","238","235","17","11:09","22","0","0","0","0","0"
"UA","01/01/2018","0280","N81449","IAH","14:02","13:52","259","242","-10","14:22","30","0","0","0","0","0"
"UA","01/01/2018","0294","N815UA","SFO","07:30","07:47","133","127","17","08:08","21","0","0","0","0","0"
"UA","01/01/2018","0308","N73275","DEN","12:45","13:02","158","133","17","13:13","11","0","0","0","0","0"
"UA","01/01/2018","0331","N498UA","DEN","10:40","10:32","157","160","-8","10:59","27","0","0","0","0","0"
"UA","01/01/2018","0368","N75853","SFO","05:10","09:51","133","133","281","10:15","24","281","0","0","0","0"
"UA","01/01/2018","0419","N75425","IAD","08:20","08:32","295","273","12","08:43","11","0","0","0","0","0"
"UA","01/01/2018","0459","N69818","ORD","06:40","06:54","238","225","14","07:10","16","0","0","0","0","0"
"UA","01/01/2018","0586","N895UA","SFO","15:55","15:46","134","114","-9","15:57","11","0","0","0","0","0"
"UA","01/01/2018","0587","N38473","SFO","17:21","17:11","133","120","-10","17:32","21","0","0","0","0","0"
"UA","01/01/2018","0619","N37427","ORD","23:00","23:22","236","230","22","23:39","17","0","0","0","0","16"
"UA","01/01/2018","0670","N12238","ORD","14:08","14:06","236","238","-2","14:31","25","0","0","0","0","0"
"UA","01/01/2018","0695","N87513","DEN","15:44","15:35","159","148","-9","15:56","21","0","0","0","0","0"
"UA","01/01/2018","0698","N77530","SFO","09:30","09:25","134","112","-5","09:35","10","0","0","0","0","0"
"UA","01/01/2018","0742","N844UA","DEN","17:54","17:46","158","141","-8","17:57","11","0","0","0","0","0"
"UA","01/01/2018","0814","N810UA","SFO","06:10","06:10","133","123","0","06:27","17","0","0","0","0","0"
"UA","01/01/2018","0816","N78511","SFO","13:55","14:10","134","118","15","14:32","22","0","0","0","0","0"
"UA","01/01/2018","1121","N77518","IAH","09:00","08:51","259","237","-9","09:05","14","0","0","0","0","0"
