Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","0044","N804NN","JFK","07:35","07:27","328","302","-8","07:52","25","0","0","0","0","0"
"AA","01/01/2018","0106","N989AN","PHX","05:00","04:54","171","211","-6","05:59","65","0","0","34","0","0"
"AA","01/01/2018","0208","N865NN","PHX","08:15","08:03","175","184","-12","08:38","35","0","0","0","0","0"
"AA","01/01/2018","0624","N174US","CLT","22:15","22:10","292","289","-5","22:32","22","0","0","0","0","0"
"AA","01/01/2018","0641","N924US","CLT","13:21","13:18","298","276","-3","13:30","12","0","0","0","0","0"
"AA","01/01/2018","0701","N507AY","PHL","08:05","08:02","316","309","-3","08:31","29","0","0","0","0","0"
"AA","01/01/2018","1017","N894NN","PHX","15:05","15:01","169","154","-4","15:11","10","0","0","0","0","0"
"AA","01/01/2018","1070","N838NN","MIA","22:30","22:22","342","341","-8","22:39","17","0","0","0","0","0"
"AA","01/01/2018","1097","N962AN","ORD","07:00","06:56","247","239","-4","07:21","25","0","0","0","0","0"
"AA","01/01/2018","1332","N971AN","DFW","06:00","05:57","234","230","-3","06:25","28","0","0","0","0","0"
"AA","01/01/2018","1402","N989AU","DFW","12:06","11:59","233","219","-7","12:19","20","0","0","0","0","0"
"AA","01/01/2018","1623","N903AA","DFW","09:25","09:43","234","248","18","10:27","44","10","8","14","0","0"
"AA","01/01/2018","1624","N845NN","ORD","23:44","23:35","236","253","-9","00:12","37","0","0","0","0","0"
"AA","01/01/2018","1744","N833AW","LAX","05:50","05:43","183","196","-7","06:19","36","0","0","0","0","0"
"AA","01/01/2018","1815","N840AW","MIA","13:07","13:49","343","329","42","14:13","24","0","0","0","0","28"
"AA","01/01/2018","1901","N157UW","DFW","07:45","07:46","231","231","1","08:14","28","0","0","0","0","0"
"AA","01/01/2018","2048","N187US","PHL","23:00","23:00","302","331","0","23:28","28","0","0","29","0","0"
"AA","01/01/2018","2234","N854NN","DFW","10:45","10:49","235","225","4","11:13","24","0","0","0","0","0"
"AA","01/01/2018","2261","N968AN","ORD","10:11","10:24","240","255","13","11:03","39","13","0","15","0","0"
"AA","01/01/2018","2311","N856NN","PHX","17:59","17:50","172","158","-9","18:07","17","0","0","0","0","0"
"AA","01/01/2018","2338","N154AA","DFW","18:45","19:19","226","207","34","19:31","12","0","0","0","0","15"
"AA","01/01/2018","2413","N164NN","DFW","13:50","13:42","231","229","-8","13:59","17","0","0","0","0","0"
"AA","01/01/2018","2514","N912NN","DFW","15:35","15:29","230","219","-6","15:44","15","0","0","0","0","0"
"AA","01/01/2018","2573","N948AN","ORD","14:36","14:33","239","260","-3","15:01","28","0","0","18","0","0"
"AA","01/01/2018","2717","N803NN","PHX","20:05","19:59","173","170","-6","20:18","19","0","0","0","0","0"
"AA","01/02/2018","0044","N901AN","JFK","07:35","07:31","328","306","-4","07:48","17","0","0","0","0","0"
"AA","01/02/2018","0106","N856NN","PHX","05:00","05:15","171","153","15","05:29","14","0","0","0","0","0"
"AA","01/02/2018","0208","N957NN","PHX","08:15","08:40","175","152","25","08:51","11","0","0","0","0","0"
"AA","01/02/2018","0453","N188US","DFW","07:45","07:49","231","225","4","08:12","23","0","0","0","0","0"
"AA","01/02/2018","0624","N552UW","CLT","22:15","22:18","292","276","3","22:38","20","0","0","0","0","0"
"AA","01/02/2018","0641","N536UW","CLT","13:21","13:25","298","290","4","13:38","13","0","0","0","0","0"
"AA","01/02/2018","0701","N544UW","PHL","08:05","08:11","316","315","6","08:38","27","0","0","0","0","0"
"AA","01/02/2018","1017","N880NN","PHX","15:05","15:03","169","162","-2","15:16","13","0","0","0","0","0"
"AA","01/02/2018","1070","N989AN","MIA","22:30","22:29","342","337","-1","22:51","22","0","0","0","0","0"
"AA","01/02/2018","1097","N866NN","ORD","07:00","07:40","247","227","40","07:54","14","20","0","0","0","0"
"AA","01/02/2018","1332","N937NN","DFW","06:00","06:35","234","210","35","06:51","16","0","0","0","0","0"
"AA","01/02/2018","1402","N901AA","DFW","12:06","12:04","233","220","-2","12:28","24","0","0","0","0","0"
"AA","01/02/2018","1623","N930AU","DFW","09:25","10:03","234","225","38","10:29","26","29","0","0","0","0"
"AA","01/02/2018","1624","N908NN","ORD","23:44","23:39","236","236","-5","00:05","26","0","0","0","0","0"
"AA","01/02/2018","1744","N760US","LAX","05:50","06:25","183","171","35","06:42","17","23","0","0","0","0"
"AA","01/02/2018","1815","N745VJ","MIA","13:07","15:31","343","341","144","15:55","24","1","0","0","0","141"
"AA","01/02/2018","1817","N914UY","CLT","00:59","00:58","291","284","-1","01:10","12","0","0","0","0","0"
"AA","01/02/2018","2234","N827NN","DFW","10:45","11:17","235","213","32","11:30","13","0","0","0","0","0"
"AA","01/02/2018","2261","N891NN","ORD","10:11","13:00","240","243","169","13:23","23","0","0","3","0","169"
"AA","01/02/2018","2311","N951NN","PHX","17:59","17:54","172","186","-5","18:09","15","0","0","0","0","0"
"AA","01/02/2018","2413","N147AA","DFW","13:50","13:48","231","213","-2","14:07","19","0","0","0","0","0"
"AA","01/02/2018","2514","N801NN","DFW","15:35","15:33","230","239","-2","16:10","37","0","0","0","0","0"
"AA","01/02/2018","2573","N952NN","ORD","14:36","14:29","239","288","-7","14:45","16","0","0","42","0","0"
"AA","01/02/2018","2631","N989NN","ORD","01:15","01:07","250","247","-8","01:21","14","0","0","0","0","0"
"AA","01/02/2018","2661","N149AN","DFW","00:15","00:16","223","222","1","00:44","28","0","0","0","0","0"
"AA","01/02/2018","2717","N933NN","PHX","20:05","20:30","173","161","25","20:46","16","0","0","0","0","0"
"AA","01/03/2018","0044","N857NN","JFK","07:35","07:30","328","299","-5","07:45","15","0","0","0","0","0"
"AA","01/03/2018","0106","N934AN","PHX","05:00","04:56","171","168","-4","05:19","23","0","0","0","0","0"
"AA","01/03/2018","0208","N951NN","PHX","08:15","08:11","175","185","-4","08:46","35","0","0","0","0","0"
"AA","01/03/2018","0453","N540UW","DFW","07:45","07:43","231","231","-2","08:10","27","0","0","0","0","0"
"AA","01/03/2018","0624","N914UY","CLT","22:15","22:06","292","281","-9","22:22","16","0","0","0","0","0"
"AA","01/03/2018","0641","N578UW","CLT","13:21","13:23","298","288","2","13:42","19","0","0","0","0","0"
"AA","01/03/2018","0701","N199UW","PHL","08:05","08:02","316","304","-3","08:34","32","0","0","0","0","0"
"AA","01/03/2018","1017","N944NN","PHX","15:05","15:15","169","169","10","15:36","21","0","0","0","0","0"
"AA","01/03/2018","1070","N301PA","MIA","22:30","22:39","342","318","9","22:59","20","0","0","0","0","0"
"AA","01/03/2018","1097","N909NN","ORD","07:00","06:56","247","240","-4","07:13","17","0","0","0","0","0"
"AA","01/03/2018","1332","N951AA","DFW","06:00","05:57","234","226","-3","06:19","22","0","0","0","0","0"
"AA","01/03/2018","1402","N906AA","DFW","12:06","12:04","233","225","-2","12:35","31","0","0","0","0","0"
"AA","01/03/2018","1623","N162AA","DFW","09:25","10:11","234","219","46","10:30","19","31","0","0","0","0"
"AA","01/03/2018","1624","N317PG","ORD","23:44","23:58","236","224","14","00:10","12","0","0","0","0","0"
"AA","01/03/2018","1744","N821AW","LAX","05:50","05:47","183","189","-3","06:01","14","0","0","0","0","0"
"AA","01/03/2018","1815","N830AW","MIA","13:07","00:00","343","0","0","00:00","0","0","0","0","0","0"
"AA","01/03/2018","1817","N553UW","CLT","00:59","00:53","291","288","-6","01:05","12","0","0","0","0","0"
"AA","01/03/2018","2234","N814NN","DFW","10:45","10:44","235","213","-1","11:02","18","0","0","0","0","0"
"AA","01/03/2018","2261","N357PV","ORD","10:11","10:03","240","238","-8","10:24","21","0","0","0","0","0"
"AA","01/03/2018","2311","N980NN","PHX","17:59","17:56","172","172","-3","18:16","20","0","0","0","0","0"
"AA","01/03/2018","2413","N997AA","DFW","13:50","13:45","231","226","-5","14:09","24","0","0","0","0","0"
"AA","01/03/2018","2514","N989NN","DFW","15:35","15:30","230","225","-5","15:48","18","0","0","0","0","0"
