Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","04/01/2018","1485","N8629A","STL","09:30","09:27","225","191","-3","09:39","12","0","0","0","0","0"
"WN","04/01/2018","1540","N798SW","SJC","20:40","21:17","130","124","37","21:40","23","13","0","0","0","18"
"WN","04/01/2018","2406","N489WN","OAK","11:05","11:08","130","108","3","11:18","10","0","0","0","0","0"
"WN","04/01/2018","2490","N433LV","OAK","17:05","18:05","125","106","60","18:15","10","18","0","0","0","23"
"WN","04/01/2018","2799","N225WN","LAS","17:55","17:57","145","130","2","18:09","12","0","0","0","0","0"
"WN","04/01/2018","3013","N760SW","MCI","11:45","12:00","205","217","15","12:55","55","6","0","12","0","9"
"WN","04/01/2018","3072","N916WN","SAN","06:05","06:00","165","148","-5","06:12","12","0","0","0","0","0"
"WN","04/01/2018","3465","N7709A","DEN","07:10","07:05","160","143","-5","07:23","18","0","0","0","0","0"
"WN","04/01/2018","3471","N8601C","DEN","05:40","05:38","155","137","-2","05:48","10","0","0","0","0","0"
"WN","04/01/2018","3681","N7711N","SMF","08:00","07:57","120","100","-3","08:13","16","0","0","0","0","0"
"WN","04/01/2018","3902","N8634A","DEN","15:25","15:26","160","132","1","15:40","14","0","0","0","0","0"
"WN","04/01/2018","3906","N8705Q","LAS","06:15","06:23","145","130","8","06:36","13","0","0","0","0","0"
"WN","04/01/2018","4200","N942WN","PHX","14:55","14:59","170","156","4","15:08","9","0","0","0","0","0"
"WN","04/01/2018","4299","N8526W","PHX","06:50","06:48","170","155","-2","07:03","15","0","0","0","0","0"
"WN","04/01/2018","4302","N8551Q","MDW","05:35","05:29","235","207","-6","05:41","12","0","0","0","0","0"
"WN","04/01/2018","4382","N8660A","PHX","09:20","09:16","170","173","-4","09:26","10","0","0","0","0","0"
"WN","04/01/2018","4584","N463WN","SJC","07:30","07:25","130","115","-5","07:39","14","0","0","0","0","0"
"WN","04/01/2018","4662","N426WN","OAK","06:45","06:39","130","109","-6","06:51","12","0","0","0","0","0"
"WN","04/01/2018","4740","N8539V","BWI","13:20","13:26","295","267","6","13:50","24","0","0","0","0","0"
"WN","04/01/2018","4811","N8509U","DEN","12:25","12:24","160","151","-1","12:52","28","0","0","0","0","0"
"WN","04/01/2018","4816","N261WN","SMF","22:40","22:35","110","92","-5","22:47","12","0","0","0","0","0"
"WN","04/01/2018","4923","N7860A","PHX","20:00","20:13","170","151","13","20:21","8","0","0","0","0","0"
"WN","04/01/2018","5015","N7750A","SJC","16:00","16:27","125","110","27","16:37","10","0","0","0","0","0"
"WN","04/01/2018","5069","N782SA","DAL","15:25","15:34","235","226","9","15:59","25","0","0","0","0","0"
"WN","04/01/2018","5114","N924WN","SAN","16:30","16:55","160","149","25","17:06","11","0","0","0","0","0"
"WN","04/01/2018","5132","N8504G","MDW","15:20","15:31","240","213","11","15:49","18","0","0","0","0","0"
"WN","04/01/2018","6012","N7750A","SJC","10:40","10:36","135","136","-4","11:08","32","0","0","0","0","0"
"WN","04/02/2018","0061","N765SW","DAL","15:00","14:58","230","210","-2","15:08","10","0","0","0","0","0"
"WN","04/02/2018","0101","N902WN","PHX","20:30","20:22","165","142","-8","20:35","13","0","0","0","0","0"
"WN","04/02/2018","0417","N706SW","PHX","15:25","15:32","175","152","7","15:49","17","0","0","0","0","0"
"WN","04/02/2018","0673","N438WN","SMF","13:10","13:37","110","114","27","14:10","33","0","0","4","0","27"
"WN","04/02/2018","0815","N8566Z","OAK","21:30","21:22","125","103","-8","21:32","10","0","0","0","0","0"
"WN","04/02/2018","0878","N448WN","SJC","20:05","20:00","125","119","-5","20:13","13","0","0","0","0","0"
"WN","04/02/2018","0888","N8607M","DEN","07:20","07:19","155","141","-1","07:37","18","0","0","0","0","0"
"WN","04/02/2018","0932","N287WN","LAS","19:05","19:02","145","129","-3","19:18","16","0","0","0","0","0"
"WN","04/02/2018","1145","N7837A","LAS","12:05","12:02","150","140","-3","12:26","24","0","0","0","0","0"
"WN","04/02/2018","1389","N8504G","DEN","11:40","11:38","160","141","-2","11:50","12","0","0","0","0","0"
"WN","04/02/2018","1390","N8714Q","MDW","06:35","06:29","240","215","-6","06:44","15","0","0","0","0","0"
"WN","04/02/2018","1460","N464WN","SMF","09:45","09:43","110","101","-2","10:04","21","0","0","0","0","0"
"WN","04/02/2018","1546","N429WN","SMF","07:10","07:08","105","98","-2","07:26","18","0","0","0","0","0"
"WN","04/02/2018","1548","N8633A","SMF","05:15","05:12","105","98","-3","05:29","17","0","0","0","0","0"
"WN","04/02/2018","1577","N7702A","SJC","07:50","07:47","135","119","-3","08:04","17","0","0","0","0","0"
"WN","04/02/2018","1582","N568WN","PHX","05:45","05:43","165","151","-2","05:55","12","0","0","0","0","0"
"WN","04/02/2018","1649","N925WN","SAN","06:20","06:17","165","149","-3","06:27","10","0","0","0","0","0"
"WN","04/02/2018","1764","N482WN","LAS","06:00","05:57","145","132","-3","06:11","14","0","0","0","0","0"
"WN","04/02/2018","1850","N948WN","MCI","17:15","17:43","200","190","28","17:58","15","4","0","0","0","14"
"WN","04/02/2018","1888","N8674B","STL","09:15","09:14","220","200","-1","09:26","12","0","0","0","0","0"
"WN","04/02/2018","1917","N8600F","DEN","05:30","05:31","155","142","1","05:48","17","0","0","0","0","0"
"WN","04/02/2018","2042","N927WN","OAK","05:15","05:12","125","115","-3","05:28","16","0","0","0","0","0"
"WN","04/02/2018","2122","N462WN","OAK","10:55","11:12","130","108","17","11:24","12","0","0","0","0","0"
"WN","04/02/2018","2130","N917WN","MDW","11:30","12:03","240","227","33","12:30","27","2","0","0","0","18"
"WN","04/02/2018","5366","N7881A","BWI","14:05","14:04","300","291","-1","14:40","36","0","0","0","0","0"
"WN","04/02/2018","5409","N7828A","DEN","15:30","15:27","160","144","-3","15:43","16","0","0","0","0","0"
"WN","04/02/2018","5647","N8679A","OAK","17:05","16:59","125","116","-6","17:09","10","0","0","0","0","0"
"WN","04/02/2018","5880","N8668A","MDW","15:20","15:19","240","222","-1","15:35","16","0","0","0","0","0"
"WN","04/02/2018","5988","N270WN","OAK","13:10","13:49","125","145","39","14:38","49","9","0","20","0","30"
"WN","04/02/2018","6006","N756SA","SJC","12:40","12:45","130","116","5","13:02","17","0","0","0","0","0"
"WN","04/02/2018","6010","N756SA","SJC","17:55","17:56","125","112","1","18:12","16","0","0","0","0","0"
"WN","04/02/2018","6025","N733SA","SMF","19:00","18:56","105","88","-4","19:04","8","0","0","0","0","0"
"WN","04/02/2018","6494","N922WN","SMF","21:40","21:34","110","89","-6","21:45","11","0","0","0","0","0"
"WN","04/02/2018","6498","N742SW","PHX","10:35","10:52","170","154","17","11:05","13","0","0","0","0","0"
"WN","04/02/2018","6539","N8564Z","SAN","17:20","17:16","160","147","-4","17:32","16","0","0","0","0","0"
"WN","04/03/2018","0061","N441WN","DAL","15:00","14:56","230","208","-4","15:08","12","0","0","0","0","0"
"WN","04/03/2018","0101","N743SW","PHX","20:30","20:25","165","153","-5","20:37","12","0","0","0","0","0"
"WN","04/03/2018","0417","N708SW","PHX","15:25","15:30","175","163","5","15:55","25","0","0","0","0","0"
"WN","04/03/2018","0673","N736SA","SMF","13:10","13:10","110","95","0","13:24","14","0","0","0","0","0"
"WN","04/03/2018","0815","N8715Q","OAK","21:30","21:32","125","113","2","21:44","12","0","0","0","0","0"
"WN","04/03/2018","0878","N292WN","SJC","20:05","22:02","125","115","117","22:14","12","10","0","0","0","97"
"WN","04/03/2018","0888","N8601C","DEN","07:20","07:15","155","138","-5","07:30","15","0","0","0","0","0"
"WN","04/03/2018","0932","N7750A","LAS","19:05","19:45","145","135","40","19:59","14","0","0","0","0","30"
"WN","04/03/2018","1145","N700GS","LAS","12:05","12:13","150","144","8","12:34","21","0","0","0","0","0"
"WN","04/03/2018","1389","N8313F","DEN","11:40","11:59","160","144","19","12:18","19","0","0","0","0","0"
"WN","04/03/2018","1390","N8315C","MDW","06:35","07:23","240","216","48","07:40","17","24","0","0","0","0"
"WN","04/03/2018","1460","N7708E","SMF","09:45","09:44","110","102","-1","10:04","20","0","0","0","0","0"
"WN","04/03/2018","1546","N7829B","SMF","07:10","07:03","105","93","-7","07:14","11","0","0","0","0","0"
"WN","04/03/2018","1548","N8711Q","SMF","05:15","05:43","105","94","28","05:54","11","17","0","0","0","0"
"WN","04/03/2018","1577","N408WN","SJC","07:50","07:43","135","125","-7","08:05","22","0","0","0","0","0"
"WN","04/03/2018","1582","N7750A","PHX","05:45","05:40","165","150","-5","05:52","12","0","0","0","0","0"
"WN","04/03/2018","1649","N568WN","SAN","06:20","06:16","165","149","-4","06:35","19","0","0","0","0","0"
"WN","04/03/2018","1764","N748SW","LAS","06:00","05:57","145","139","-3","06:18","21","0","0","0","0","0"
"WN","04/03/2018","1850","N464WN","MCI","17:15","17:24","200","186","9","17:37","13","0","0","0","0","0"
"WN","04/03/2018","1888","N8566Z","STL","09:15","09:14","220","216","-1","09:28","14","0","0","0","0","0"
"WN","04/03/2018","1917","N8707P","DEN","05:30","05:29","155","140","-1","05:46","17","0","0","0","0","0"
"WN","04/03/2018","2042","N7815L","OAK","05:15","05:16","125","111","1","05:28","12","0","0","0","0","0"
"WN","04/03/2018","2122","N280WN","OAK","10:55","10:54","130","115","-1","11:05","11","0","0","0","0","0"
"WN","04/03/2018","2130","N235WN","MDW","11:30","11:38","240","220","8","11:54","16","0","0","0","0","0"
