Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: United Airlines Inc. (UA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","04/01/2018","0214","N47414","SFO","19:22","19:15","135","121","-7","19:32","17","0","0","0","0","0"
"UA","04/01/2018","0260","N27421","IAD","12:50","12:57","296","258","7","13:14","17","0","0","0","0","0"
"UA","04/01/2018","0294","N855UA","SFO","07:30","07:28","133","113","-2","07:41","13","0","0","0","0","0"
"UA","04/01/2018","0331","N18243","DEN","10:35","10:27","158","156","-8","10:58","31","0","0","0","0","0"
"UA","04/01/2018","0419","N34460","IAD","08:15","08:31","296","257","16","08:44","13","0","0","0","0","0"
"UA","04/01/2018","0459","N76508","ORD","06:45","06:43","239","212","-2","06:58","15","0","0","0","0","0"
"UA","04/01/2018","0547","N482UA","DEN","13:25","13:26","157","148","1","13:51","25","0","0","0","0","0"
"UA","04/01/2018","0587","N76532","SFO","17:05","17:06","135","110","1","17:18","12","0","0","0","0","0"
"UA","04/01/2018","0670","N66808","ORD","13:40","14:05","236","220","25","14:34","29","0","0","0","0","0"
"UA","04/01/2018","0695","N68817","DEN","15:45","15:43","158","145","-2","16:03","20","0","0","0","0","0"
"UA","04/01/2018","0698","N77539","SFO","09:40","09:32","134","116","-8","09:44","12","0","0","0","0","0"
"UA","04/01/2018","0816","N826UA","SFO","14:02","14:10","134","140","8","14:45","35","0","0","0","0","0"
"UA","04/01/2018","1139","N76504","IAH","07:05","06:59","259","231","-6","07:18","19","0","0","0","0","0"
"UA","04/01/2018","1195","N78438","ORD","23:25","23:30","235","202","5","23:45","15","0","0","0","0","0"
"UA","04/01/2018","1407","N481UA","EWR","05:55","05:51","308","283","-4","06:04","13","0","0","0","0","0"
"UA","04/01/2018","1508","N12218","DEN","05:30","05:21","159","147","-9","05:33","12","0","0","0","0","0"
"UA","04/01/2018","1522","N17104","EWR","11:31","12:37","311","288","66","13:06","29","20","0","0","0","23"
"UA","04/01/2018","1695","N41140","EWR","22:54","22:49","306","287","-5","23:04","15","0","0","0","0","0"
