Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: American Airlines Inc. (AA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","04/01/2018","0208","N907NN","PHX","08:00","07:58","177","173","-2","08:25","27","0","0","0","0","0"
"AA","04/01/2018","0453","N578UW","DFW","07:30","07:24","238","217","-6","07:38","14","0","0","0","0","0"
"AA","04/01/2018","0624","N923US","CLT","22:45","22:41","287","257","-4","22:58","17","0","0","0","0","0"
"AA","04/01/2018","0641","N151UW","CLT","13:36","13:56","292","270","20","14:21","25","0","0","0","0","0"
"AA","04/01/2018","0647","N833AW","PHX","11:28","11:33","175","162","5","11:52","19","0","0","0","0","0"
"AA","04/01/2018","0701","N976UY","PHL","08:15","08:07","315","280","-8","08:34","27","0","0","0","0","0"
"AA","04/01/2018","0866","N658AW","PHX","14:55","14:54","166","159","-1","15:06","12","0","0","0","0","0"
"AA","04/01/2018","1070","N847NN","MIA","22:35","22:31","345","309","-4","22:49","18","0","0","0","0","0"
"AA","04/01/2018","1402","N157AA","DFW","12:16","12:08","239","227","-8","12:40","32","0","0","0","0","0"
"AA","04/01/2018","1540","N847NN","PHX","05:00","04:55","171","162","-5","05:10","15","0","0","0","0","0"
"AA","04/01/2018","1623","N905AU","DFW","09:25","09:20","234","215","-5","09:37","17","0","0","0","0","0"
"AA","04/01/2018","1744","N752US","LAX","05:50","05:44","181","159","-6","05:59","15","0","0","0","0","0"
"AA","04/01/2018","2234","N926NN","DFW","10:35","10:31","235","231","-4","11:04","33","0","0","0","0","0"
"AA","04/01/2018","2261","N912NN","ORD","10:03","09:58","247","241","-5","10:26","28","0","0","0","0","0"
"AA","04/01/2018","2311","N967AN","PHX","17:59","17:55","168","161","-4","18:08","13","0","0","0","0","0"
"AA","04/01/2018","2413","N904AA","DFW","13:50","14:00","238","234","10","14:33","33","0","0","0","0","0"
"AA","04/01/2018","2514","N987AN","DFW","15:35","15:45","231","223","10","16:06","21","0","0","0","0","0"
"AA","04/01/2018","2661","N156AN","DFW","00:05","23:57","225","201","-8","00:11","14","0","0","0","0","0"
"AA","04/01/2018","2782","N928NN","JFK","07:35","07:28","329","278","-7","07:47","19","0","0","0","0","0"
"AA","04/02/2018","0208","N905NN","PHX","08:00","08:35","177","162","35","08:50","15","20","0","0","0","0"
"AA","04/02/2018","0453","N575UW","DFW","07:30","07:25","238","218","-5","07:41","16","0","0","0","0","0"
"AA","04/02/2018","0624","N540UW","CLT","22:45","22:48","287","282","3","23:05","17","0","0","0","0","0"
"AA","04/02/2018","0641","N972UY","CLT","13:36","13:32","292","281","-4","13:52","20","0","0","0","0","0"
"AA","04/02/2018","0647","N808AW","PHX","11:28","11:23","175","159","-5","11:34","11","0","0","0","0","0"
"AA","04/02/2018","0701","N510UW","PHL","08:15","08:08","315","316","-7","08:35","27","0","0","0","0","0"
"AA","04/02/2018","0866","N656AW","PHX","14:55","14:51","166","159","-4","15:03","12","0","0","0","0","0"
"AA","04/02/2018","1070","N886NN","MIA","22:35","22:31","345","327","-4","22:47","16","0","0","0","0","0"
"AA","04/02/2018","1097","N912NN","ORD","06:56","06:52","244","223","-4","07:10","18","0","0","0","0","0"
"AA","04/02/2018","1402","N990AU","DFW","12:16","12:09","239","239","-7","12:45","36","0","0","0","0","0"
"AA","04/02/2018","1540","N955AN","PHX","05:00","04:57","171","183","-3","05:33","36","0","0","0","0","0"
"AA","04/02/2018","1623","N989AU","DFW","09:25","09:17","234","220","-8","09:30","13","0","0","0","0","0"
"AA","04/02/2018","1744","N817AW","LAX","05:50","05:42","181","192","-8","05:53","11","0","0","0","0","0"
"AA","04/02/2018","2234","N840NN","DFW","10:35","10:32","235","232","-3","10:59","27","0","0","0","0","0"
"AA","04/02/2018","2261","N813NN","ORD","10:03","09:57","247","246","-6","10:35","38","0","0","0","0","0"
"AA","04/02/2018","2311","N955AN","PHX","17:59","18:16","168","154","17","18:30","14","0","0","0","0","0"
"AA","04/02/2018","2413","N996AN","DFW","13:50","13:47","238","234","-3","14:18","31","0","0","0","0","0"
"AA","04/02/2018","2514","N952NN","DFW","15:35","15:32","231","226","-3","15:50","18","0","0","0","0","0"
"AA","04/02/2018","2573","N855NN","ORD","14:36","14:48","241","215","12","14:59","11","0","0","0","0","0"
"AA","04/02/2018","2661","N901AA","DFW","00:05","00:01","225","207","-4","00:19","18","0","0","0","0","0"
"AA","04/02/2018","2782","N355PU","JFK","07:35","07:30","329","306","-5","07:47","17","0","0","0","0","0"
"AA","04/03/2018","0453","N913US","DFW","07:35","07:32","243","215","-3","07:49","17","0","0","0","0","0"
"AA","04/03/2018","0727","N534UW","CLT","22:05","22:01","300","279","-4","22:25","24","0","0","0","0","0"
"AA","04/03/2018","0849","N656AW","PHX","14:55","14:49","167","154","-6","15:00","11","0","0","0","0","0"
"AA","04/03/2018","1070","N878NN","MIA","22:20","22:24","350","328","4","22:41","17","0","0","0","0","0"
"AA","04/03/2018","1096","N921NN","ORD","11:15","11:10","260","224","-5","11:26","16","0","0","0","0","0"
"AA","04/03/2018","1097","N937NN","ORD","07:00","06:56","246","224","-4","07:14","18","0","0","0","0","0"
"AA","04/03/2018","1280","N925NN","PHX","17:59","17:58","176","167","-1","18:14","16","0","0","0","0","0"
"AA","04/03/2018","1332","N992AU","DFW","05:35","05:30","234","217","-5","05:45","15","0","0","0","0","0"
"AA","04/03/2018","1349","N932AM","DFW","13:33","13:59","235","242","26","14:21","22","13","0","7","0","13"
"AA","04/03/2018","1402","N146AA","DFW","12:08","12:43","241","213","35","12:54","11","0","0","0","0","0"
"AA","04/03/2018","1836","N817AW","LAX","06:00","05:53","180","160","-7","06:05","12","0","0","0","0","0"
"AA","04/03/2018","1926","N553UW","PHL","07:45","07:40","318","312","-5","08:06","26","0","0","0","0","0"
"AA","04/03/2018","2191","N907NN","DFW","09:25","09:31","235","243","6","09:49","18","0","0","0","0","0"
"AA","04/03/2018","2308","N800NN","PHX","08:05","07:59","179","181","-6","08:33","34","0","0","0","0","0"
"AA","04/03/2018","2355","N972AN","PHX","05:00","04:55","171","176","-5","05:13","18","0","0","0","0","0"
"AA","04/03/2018","2552","N910AU","DFW","15:31","15:26","233","229","-5","15:48","22","0","0","0","0","0"
"AA","04/03/2018","2573","N997NN","ORD","13:55","14:12","254","223","17","14:31","19","0","0","0","0","0"
"AA","04/03/2018","2620","N907AA","DFW","00:15","00:11","224","205","-4","00:26","15","0","0","0","0","0"
"AA","04/03/2018","2814","N918AN","JFK","07:30","07:29","333","317","-1","07:44","15","0","0","0","0","0"
"AA","04/04/2018","0453","N545UW","DFW","07:35","07:36","243","211","1","07:49","13","0","0","0","0","0"
"AA","04/04/2018","0680","N978UY","PHX","08:05","08:04","179","186","-1","08:37","33","0","0","0","0","0"
"AA","04/04/2018","0727","N924US","CLT","22:05","22:01","300","260","-4","22:16","15","0","0","0","0","0"
"AA","04/04/2018","0849","N664AW","PHX","14:55","14:53","167","152","-2","15:10","17","0","0","0","0","0"
"AA","04/04/2018","0861","N976UY","PHX","05:00","04:56","171","168","-4","05:10","14","0","0","0","0","0"
"AA","04/04/2018","1070","N905AN","MIA","22:20","22:18","350","316","-2","22:39","21","0","0","0","0","0"
"AA","04/04/2018","1096","N802NN","ORD","11:15","11:08","260","217","-7","11:24","16","0","0","0","0","0"
"AA","04/04/2018","1097","N807NN","ORD","07:00","06:56","246","224","-4","07:13","17","0","0","0","0","0"
"AA","04/04/2018","1103","N924AN","DFW","10:19","10:17","236","221","-2","10:39","22","0","0","0","0","0"
"AA","04/04/2018","1280","N951NN","PHX","17:59","17:53","176","151","-6","18:11","18","0","0","0","0","0"
"AA","04/04/2018","1332","N993AN","DFW","05:35","05:34","234","206","-1","05:48","14","0","0","0","0","0"
"AA","04/04/2018","1349","N158AN","DFW","13:33","13:44","235","219","11","14:05","21","0","0","0","0","0"
"AA","04/04/2018","1402","N900UW","DFW","12:08","12:16","241","267","8","13:00","44","0","0","26","0","8"
"AA","04/04/2018","1926","N173US","PHL","07:45","07:41","318","294","-4","08:01","20","0","0","0","0","0"
"AA","04/04/2018","1979","N973UY","DFW","09:25","09:15","235","211","-10","09:29","14","0","0","0","0","0"
"AA","04/04/2018","2552","N150NN","DFW","15:31","15:24","233","218","-7","15:45","21","0","0","0","0","0"
"AA","04/04/2018","2573","N200NV","ORD","13:55","14:08","254","239","13","14:37","29","0","0","0","0","0"
"AA","04/04/2018","2620","N146AA","DFW","00:15","00:06","224","203","-9","00:17","11","0","0","0","0","0"
"AA","04/04/2018","2814","N818NN","JFK","07:30","07:25","333","318","-5","07:44","19","0","0","0","0","0"
"AA","04/05/2018","0453","N578UW","DFW","07:35","07:29","243","216","-6","07:46","17","0","0","0","0","0"
"AA","04/05/2018","0680","N575UW","PHX","08:05","08:05","179","172","0","08:38","33","0","0","0","0","0"
"AA","04/05/2018","0707","N924US","CLT","11:05","11:14","310","273","9","11:32","18","0","0","0","0","0"
"AA","04/05/2018","0727","N912UY","CLT","22:05","22:03","300","272","-2","22:25","22","0","0","0","0","0"
"AA","04/05/2018","0849","N662AW","PHX","14:55","14:51","167","164","-4","15:07","16","0","0","0","0","0"
"AA","04/05/2018","0861","N174US","PHX","05:00","04:54","171","168","-6","05:07","13","0","0","0","0","0"
"AA","04/05/2018","1070","N909AN","MIA","22:20","22:15","350","307","-5","22:30","15","0","0","0","0","0"
"AA","04/05/2018","1096","N898NN","ORD","11:15","11:12","260","220","-3","11:29","17","0","0","0","0","0"
"AA","04/05/2018","1097","N956NN","ORD","07:00","06:58","246","225","-2","07:19","21","0","0","0","0","0"
"AA","04/05/2018","1103","N989AN","DFW","10:19","10:18","236","223","-1","10:40","22","0","0","0","0","0"
"AA","04/05/2018","1280","N817NN","PHX","17:59","17:57","176","170","-2","18:25","28","0","0","0","0","0"
"AA","04/05/2018","1332","N908AA","DFW","05:35","05:27","234","226","-8","05:43","16","0","0","0","0","0"
"AA","04/05/2018","1349","N134AN","DFW","13:33","13:50","235","224","17","14:07","17","0","0","0","0","0"
"AA","04/05/2018","1402","N158AN","DFW","12:08","12:11","241","251","3","13:01","50","0","0","0","0","0"
"AA","04/05/2018","1926","N581UW","PHL","07:45","07:41","318","274","-4","07:55","14","0","0","0","0","0"
"AA","04/05/2018","1979","N544UW","DFW","09:25","09:16","235","217","-9","09:32","16","0","0","0","0","0"
"AA","04/05/2018","2552","N909AM","DFW","15:31","15:28","233","222","-3","15:46","18","0","0","0","0","0"
"AA","04/05/2018","2573","N927NN","ORD","13:55","14:13","254","259","18","14:37","24","4","0","5","0","14"
"AA","04/05/2018","2620","N167AN","DFW","00:15","00:13","224","205","-2","00:25","12","0","0","0","0","0"
"AA","04/05/2018","2631","N958NN","ORD","17:25","17:21","241","211","-4","17:35","14","0","0","0","0","0"
"AA","04/05/2018","2814","N832NN","JFK","07:30","07:24","333","281","-6","07:42","18","0","0","0","0","0"
"AA","04/06/2018","0453","N977UY","DFW","07:35","07:33","243","216","-2","07:51","18","0","0","0","0","0"
"AA","04/06/2018","0680","N177US","PHX","08:05","07:58","179","176","-7","08:31","33","0","0","0","0","0"
"AA","04/06/2018","0707","N549UW","CLT","11:05","11:11","310","278","6","11:26","15","0","0","0","0","0"
"AA","04/06/2018","0727","N586UW","CLT","22:05","22:03","300","266","-2","22:22","19","0","0","0","0","0"
"AA","04/06/2018","0849","N669AW","PHX","14:55","14:51","167","171","-4","15:28","37","0","0","0","0","0"
"AA","04/06/2018","0861","N196UW","PHX","05:00","04:59","171","165","-1","05:11","12","0","0","0","0","0"
"AA","04/06/2018","1070","N953NN","MIA","22:20","22:19","350","311","-1","22:34","15","0","0","0","0","0"
"AA","04/06/2018","1096","N928NN","ORD","11:15","13:46","260","229","151","14:10","24","0","0","0","0","120"
"AA","04/06/2018","1097","N823NN","ORD","07:00","07:00","246","221","0","07:15","15","0","0","0","0","0"
"AA","04/06/2018","1103","N875NN","DFW","10:19","10:37","236","204","18","10:54","17","0","0","0","0","0"
"AA","04/06/2018","1280","N988NN","PHX","17:59","17:52","176","158","-7","18:11","19","0","0","0","0","0"
"AA","04/06/2018","1332","N910AU","DFW","05:35","05:30","234","207","-5","05:42","12","0","0","0","0","0"
"AA","04/06/2018","1349","N135NN","DFW","13:33","14:35","235","219","62","14:56","21","0","0","36","0","10"
"AA","04/06/2018","1402","N139AN","DFW","12:08","13:07","241","219","59","13:16","9","0","0","30","0","7"
"AA","04/06/2018","1926","N508AY","PHL","07:45","07:39","318","291","-6","07:59","20","0","0","0","0","0"
"AA","04/06/2018","1979","N973UY","DFW","09:25","09:24","235","228","-1","09:39","15","0","0","0","0","0"
"AA","04/06/2018","2552","N140AN","DFW","15:31","16:11","233","253","40","16:38","27","0","0","55","0","5"
"AA","04/06/2018","2573","N806NN","ORD","13:55","14:45","254","225","50","15:07","22","4","0","0","0","17"
"AA","04/06/2018","2620","N148AN","DFW","00:15","00:18","224","206","3","00:32","14","0","0","0","0","0"
"AA","04/06/2018","2631","N929AN","ORD","17:25","17:22","241","211","-3","17:37","15","0","0","0","0","0"
"AA","04/06/2018","2814","N924NN","JFK","07:30","07:25","333","289","-5","07:42","17","0","0","0","0","0"
"AA","04/07/2018","0453","N572UW","DFW","07:35","07:27","243","213","-8","07:45","18","0","0","0","0","0"
"AA","04/07/2018","0680","N534UW","PHX","08:05","08:10","179","171","5","08:31","21","0","0","0","0","0"
"AA","04/07/2018","0707","N163US","CLT","11:05","12:03","310","279","58","12:28","25","12","0","0","0","15"
"AA","04/07/2018","0727","N560UW","CLT","22:05","22:13","300","259","8","22:29","16","0","0","0","0","0"
"AA","04/07/2018","0849","N747UW","PHX","14:55","14:48","167","164","-7","15:01","13","0","0","0","0","0"
"AA","04/07/2018","0861","N924US","PHX","05:00","04:57","171","166","-3","05:17","20","0","0","0","0","0"
