Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: Southwest Airlines Co. (WN)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","06/01/2018","0032","N492WN","SMF","21:25","21:33","105","100","8","21:48","15","0","0","0","0","0"
"WN","06/01/2018","0045","N8641B","STL","07:50","07:46","240","223","-4","08:01","15","0","0","0","0","0"
"WN","06/01/2018","0204","N789SW","MCI","13:10","13:49","205","188","39","14:04","15","21","0","0","0","1"
"WN","06/01/2018","0353","N8628A","PHX","05:45","05:41","170","148","-4","05:54","13","0","0","0","0","0"
"WN","06/01/2018","0373","N8564Z","OAK","16:50","16:49","120","115","-1","17:01","12","0","0","0","0","0"
"WN","06/01/2018","0492","N273WN","PHX","17:10","17:13","170","155","3","17:26","13","0","0","0","0","0"
"WN","06/01/2018","0620","N8324A","PHX","15:05","15:03","175","149","-2","15:14","11","0","0","0","0","0"
"WN","06/01/2018","0715","N218WN","DEN","11:15","11:13","170","144","-2","11:24","11","0","0","0","0","0"
"WN","06/01/2018","0797","N967WN","SMF","13:20","13:17","110","100","-3","13:33","16","0","0","0","0","0"
"WN","06/01/2018","0845","N8545V","DEN","15:20","15:18","165","159","-2","15:48","30","0","0","0","0","0"
"WN","06/01/2018","0898","N8718Q","DEN","06:00","06:01","160","146","1","06:19","18","0","0","0","0","0"
"WN","06/01/2018","1148","N7816B","SJC","17:10","17:28","125","116","18","17:40","12","0","0","0","0","0"
"WN","06/01/2018","1225","N224WN","SJC","11:25","11:35","135","124","10","11:56","21","0","0","0","0","0"
"WN","06/01/2018","1260","N220WN","SMF","17:00","17:03","105","97","3","17:15","12","0","0","0","0","0"
"WN","06/01/2018","1376","N8699A","MDW","15:20","15:24","250","247","4","15:40","16","0","0","0","0","0"
