Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: United Airlines Inc. (UA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","06/01/2018","0214","N68817","SFO","19:25","19:21","131","141","-4","19:42","21","0","0","0","0","0"
"UA","06/01/2018","0260","N81449","IAD","12:45","12:43","292","293","-2","13:01","18","0","0","0","0","0"
"UA","06/01/2018","0278","N78506","ORD","11:06","10:58","240","237","-8","11:15","17","0","0","0","0","0"
"UA","06/01/2018","0280","N416UA","IAH","14:10","14:11","267","258","1","14:34","23","0","0","0","0","0"
"UA","06/01/2018","0294","N809UA","SFO","07:20","07:14","138","147","-6","07:29","15","0","0","0","0","0"
"UA","06/01/2018","0331","N438UA","DEN","10:30","10:18","168","161","-12","10:48","30","0","0","0","0","0"
"UA","06/01/2018","0419","N37422","IAD","08:15","08:11","310","308","-4","08:35","24","0","0","0","0","0"
"UA","06/01/2018","0459","N445UA","ORD","07:00","06:58","238","231","-2","07:12","14","0","0","0","0","0"
"UA","06/01/2018","0524","N77520","IAH","01:12","01:01","267","242","-11","01:15","14","0","0","0","0","0"
"UA","06/01/2018","0587","N447UA","SFO","17:05","16:56","131","118","-9","17:06","10","0","0","0","0","0"
"UA","06/01/2018","0619","N78509","ORD","23:25","23:22","235","219","-3","23:38","16","0","0","0","0","0"
"UA","06/01/2018","0670","N67827","ORD","13:57","13:54","250","299","-3","14:11","17","0","0","46","0","0"
"UA","06/01/2018","0698","N36207","SFO","09:38","09:47","137","119","9","10:08","21","0","0","0","0","0"
"UA","06/01/2018","0814","N75853","SFO","05:25","05:18","125","114","-7","05:31","13","0","0","0","0","0"
"UA","06/01/2018","0816","N840UA","SFO","14:02","15:32","131","122","90","15:52","20","13","0","0","0","68"
"UA","06/01/2018","1040","N76254","DEN","15:36","15:27","166","158","-9","15:53","26","0","0","0","0","0"
"UA","06/01/2018","1057","N12216","IAD","22:35","23:13","291","282","38","23:28","15","6","0","0","0","23"
"UA","06/01/2018","1195","N66897","ORD","00:47","00:41","240","234","-6","00:54","13","0","0","0","0","0"
"UA","06/01/2018","1508","N69816","DEN","05:20","05:14","155","159","-6","05:42","28","0","0","0","0","0"
