Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: American Airlines Inc. (AA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","06/01/2018","0124","N159AN","DFW","17:55","17:52","239","215","-3","18:13","21","0","0","0","0","0"
"AA","06/01/2018","0680","N576UW","PHX","08:10","08:02","182","171","-8","08:32","30","0","0","0","0","0"
"AA","06/01/2018","0707","N177US","CLT","11:11","11:10","309","319","-1","11:27","17","0","0","0","0","0"
"AA","06/01/2018","0727","N155UW","CLT","22:05","22:00","299","294","-5","22:23","23","0","0","0","0","0"
"AA","06/01/2018","0767","N524UW","PHL","22:30","22:58","308","299","28","23:15","17","19","0","0","0","0"
"AA","06/01/2018","0849","N665AW","PHX","14:55","14:49","170","153","-6","15:03","14","0","0","0","0","0"
"AA","06/01/2018","0861","N198UW","PHX","05:05","04:54","175","159","-11","05:09","15","0","0","0","0","0"
"AA","06/01/2018","1070","N936NN","MIA","22:35","22:34","353","329","-1","22:49","15","0","0","0","0","0"
"AA","06/01/2018","1081","N801NN","PHX","17:59","17:52","179","172","-7","18:18","26","0","0","0","0","0"
"AA","06/01/2018","1096","N932AN","ORD","11:00","10:50","255","234","-10","11:14","24","0","0","0","0","0"
"AA","06/01/2018","1097","N879NN","ORD","07:00","06:54","245","252","-6","07:11","17","0","0","0","0","0"
"AA","06/01/2018","1332","N140AN","DFW","06:20","06:13","246","218","-7","06:30","17","0","0","0","0","0"
"AA","06/01/2018","1349","N151AN","DFW","13:35","13:31","242","210","-4","13:47","16","0","0","0","0","0"
"AA","06/01/2018","1402","N164NN","DFW","12:05","12:22","248","218","17","12:42","20","0","0","0","0","0"
"AA","06/01/2018","2019","N914UY","CLT","05:45","05:43","306","303","-2","06:02","19","0","0","0","0","0"
