Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: Southwest Airlines Co. (WN)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","10/01/2018","0055","N249WN","PHX","11:25","11:32","185","169","7","11:56","24","0","0","0","0","0"
"WN","10/01/2018","0553","N962WN","DEN","13:40","14:12","165","169","32","14:54","42","13","0","4","0","19"
"WN","10/01/2018","1080","N428WN","OAK","05:45","05:51","120","122","6","06:07","16","0","0","0","0","0"
"WN","10/01/2018","1209","N8714Q","SMF","17:05","17:28","110","113","23","17:44","16","0","0","3","2","21"
"WN","10/01/2018","1303","N8533S","PHX","07:00","07:00","165","159","0","07:12","12","0","0","0","0","0"
"WN","10/01/2018","1414","N8610A","LAS","11:10","11:11","160","152","1","11:22","11","0","0","0","0","0"
"WN","10/01/2018","1588","N799SW","OAK","19:25","19:59","130","124","34","20:16","17","0","0","0","0","28"
"WN","10/01/2018","1797","N8623F","SJC","07:35","07:57","125","136","22","08:24","27","22","0","11","0","0"
"WN","10/01/2018","1930","N257WN","STL","09:15","09:15","235","205","0","09:27","12","0","0","0","0","0"
"WN","10/01/2018","1995","N225WN","DEN","15:05","15:29","165","139","24","15:46","17","0","0","0","0","0"
"WN","10/01/2018","2314","N739GB","OAK","12:50","12:49","130","129","-1","13:09","20","0","0","0","0","0"
"WN","10/01/2018","2575","N8707P","BNA","12:15","12:46","275","244","31","13:05","19","0","0","0","0","0"
"WN","10/01/2018","2610","N7880D","SJC","10:50","11:38","135","127","48","11:53","15","1","0","0","0","39"
"WN","10/01/2018","2628","N8627B","BWI","06:45","06:45","295","289","0","07:00","15","0","0","0","0","0"
"WN","10/01/2018","2631","N248WN","DEN","11:40","11:57","170","180","17","12:37","40","12","0","10","0","5"
"WN","10/01/2018","2929","N913WN","SJC","20:40","21:01","120","123","21","21:12","11","1","0","3","0","20"
"WN","10/01/2018","3078","N296WN","SMF","07:10","07:07","105","106","-3","07:23","16","0","0","0","0","0"
"WN","10/01/2018","3153","N704SW","SMF","20:05","20:45","100","114","40","21:09","24","0","0","14","0","40"
"WN","10/01/2018","4596","N229WN","SMF","18:40","19:15","110","116","35","19:34","19","2","0","6","0","33"
"WN","10/01/2018","4786","N280WN","SJC","15:45","16:04","135","132","19","16:20","16","1","0","0","0","15"
"WN","10/01/2018","4963","N7820L","MCI","09:00","09:01","205","189","1","09:16","15","0","0","0","0","0"
