Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2018","0012","N112AN","JFK","11:44","15:07","346","315","203","15:23","16","14","0","0","0","158"
"AA","01/01/2018","0018","N115NN","JFK","23:25","23:23","333","349","-2","23:44","21","0","0","0","0","0"
"AA","01/01/2018","0020","N102NN","JFK","15:35","15:29","333","322","-6","15:41","12","0","0","0","0","0"
"AA","01/01/2018","0040","N914NN","ORD","14:20","14:15","256","243","-5","14:28","13","0","0","0","0","0"
"AA","01/01/2018","0066","N101NN","JFK","08:00","07:53","333","336","-7","08:18","25","0","0","0","0","0"
"AA","01/01/2018","0159","N990AU","DFW","10:04","10:03","206","185","-1","10:15","12","0","0","0","0","0"
"AA","01/01/2018","0349","N138AN","DFW","15:55","17:00","209","188","65","17:12","12","4","0","0","0","40"
"AA","01/01/2018","0424","N651AW","PHX","12:29","12:44","121","110","15","12:57","13","0","0","0","0","0"
"AA","01/01/2018","0430","N156UW","CLT","00:20","00:14","289","257","-6","00:27","13","0","0","0","0","0"
"AA","01/01/2018","0434","N977UY","PHL","22:45","22:42","314","321","-3","23:12","30","0","0","0","0","0"
"AA","01/01/2018","0467","N198UW","PHL","00:56","00:50","317","298","-6","01:03","13","0","0","0","0","0"
"AA","01/01/2018","0486","N580UW","PHX","15:45","15:39","116","112","-6","15:53","14","0","0","0","0","0"
"AA","01/01/2018","0513","N975UY","DFW","14:05","14:29","214","199","24","14:48","19","0","0","0","0","0"
"AA","01/01/2018","0517","N189UW","CLT","13:29","14:38","297","275","69","14:52","14","5","0","0","0","42"
"AA","01/01/2018","0714","N922US","CLT","08:45","08:40","303","276","-5","08:59","19","0","0","0","0","0"
"AA","01/01/2018","0742","N977UY","PHL","08:23","08:20","322","298","-3","08:37","17","0","0","0","0","0"
"AA","01/01/2018","0758","N546UW","PHL","05:53","06:26","317","290","33","06:39","13","0","0","0","0","0"
