Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: United Airlines Inc. (UA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","10/01/2018","0214","N806UA","SFO","18:08","18:08","124","156","0","18:51","43","0","0","32","0","0"
"UA","10/01/2018","0260","N63890","IAD","13:18","13:14","291","290","-4","13:32","18","0","0","0","0","0"
"UA","10/01/2018","0262","N69816","IAD","22:40","22:33","282","268","-7","22:47","14","0","0","0","0","0"
"UA","10/01/2018","0263","N833UA","DEN","08:10","08:04","153","163","-6","08:30","26","0","0","0","0","0"
"UA","10/01/2018","0278","N36207","ORD","11:09","11:04","241","248","-5","11:18","14","0","0","0","0","0"
"UA","10/01/2018","0331","N849UA","DEN","10:55","11:12","156","141","17","11:26","14","0","0","0","0","0"
"UA","10/01/2018","0368","N75854","SFO","05:30","05:27","127","125","-3","05:43","16","0","0","0","0","0"
"UA","10/01/2018","0419","N61881","IAD","08:09","13:36","300","276","327","13:51","15","27","0","0","0","276"
"UA","10/01/2018","0443","N32404","IAH","06:55","06:50","263","244","-5","07:06","16","0","0","0","0","0"
"UA","10/01/2018","0459","N429UA","ORD","07:00","08:55","245","237","115","09:13","18","107","0","0","0","0"
"UA","10/01/2018","0587","N73251","SFO","17:31","17:28","123","131","-3","17:49","21","0","0","0","0","0"
"UA","10/01/2018","0619","N61887","ORD","23:20","23:36","222","207","16","23:52","16","0","0","0","0","0"
"UA","10/01/2018","0659","N76505","SFO","07:13","07:08","139","129","-5","07:27","19","0","0","0","0","0"
"UA","10/01/2018","0670","N75436","ORD","13:55","13:57","246","273","2","14:43","46","0","0","29","0","0"
"UA","10/01/2018","0698","N66825","SFO","09:26","09:21","139","143","-5","09:36","15","0","0","0","0","0"
"UA","10/01/2018","0720","N37274","SFO","11:38","12:49","137","153","71","13:06","17","2","0","16","0","69"
"UA","10/01/2018","0738","N45440","DEN","13:18","14:22","155","168","64","14:56","34","64","0","13","0","0"
"UA","10/01/2018","1155","N12218","EWR","11:15","11:36","312","300","21","12:00","24","0","0","0","0","0"
"UA","10/01/2018","1195","N69826","ORD","00:56","00:50","233","218","-6","01:04","14","0","0","0","0","0"
"UA","10/01/2018","1268","N69810","SFO","13:49","14:19","129","146","30","14:59","40","5","0","17","0","25"
"UA","10/01/2018","1287","N69835","DEN","17:58","17:55","152","164","-3","18:36","41","0","0","0","0","0"
"UA","10/01/2018","1508","N36444","DEN","05:15","05:07","152","153","-8","05:21","14","0","0","0","0","0"
"UA","10/01/2018","1560","N62895","SFO","16:01","16:11","129","125","10","16:32","21","0","0","0","0","0"
"UA","10/01/2018","1695","N76503","EWR","20:55","20:55","298","299","0","21:22","27","0","0","0","0","0"
"UA","10/01/2018","1696","N53441","IAH","14:15","16:26","255","247","131","16:51","25","0","0","0","0","123"
"UA","10/01/2018","1867","N76529","IAH","12:25","12:33","255","257","8","12:57","24","0","0","0","0","0"
"UA","10/01/2018","1929","N39461","EWR","06:00","06:03","308","311","3","06:17","14","0","0","0","0","0"
"UA","10/01/2018","1946","N470UA","DEN","15:38","18:45","167","144","187","19:07","22","0","0","0","0","164"
"UA","10/01/2018","1951","N419UA","IAH","09:05","09:02","265","265","-3","09:23","21","0","0","0","0","0"
"UA","10/01/2018","2021","N66897","EWR","22:30","22:24","298","291","-6","22:44","20","0","0","0","0","0"
"UA","10/01/2018","2112","N31412","IAH","23:59","23:47","241","239","-12","00:05","18","0","0","0","0","0"
"UA","10/01/2018","2356","N76505","SFO","18:40","18:34","123","138","-6","19:06","32","0","0","0","0","0"
"UA","10/02/2018","0214","N33266","SFO","18:07","17:56","125","128","-11","18:14","18","0","0","0","0","0"
"UA","10/02/2018","0260","N69840","IAD","13:18","13:11","291","271","-7","13:29","18","0","0","0","0","0"
"UA","10/02/2018","0262","N62884","IAD","22:40","22:31","282","260","-9","22:42","11","0","0","0","0","0"
"UA","10/02/2018","0263","N847UA","DEN","08:10","08:02","153","161","-8","08:32","30","0","0","0","0","0"
"UA","10/02/2018","0278","N428UA","ORD","11:09","11:51","239","225","42","12:07","16","5","0","0","0","23"
"UA","10/02/2018","0331","N899UA","DEN","10:55","10:47","156","140","-8","11:01","14","0","0","0","0","0"
"UA","10/02/2018","0368","N57857","SFO","05:30","05:27","127","130","-3","05:46","19","0","0","0","0","0"
"UA","10/02/2018","0419","N34455","IAD","08:09","08:04","300","296","-5","08:52","48","0","0","0","0","0"
"UA","10/02/2018","0443","N38403","IAH","06:55","06:42","263","247","-13","07:00","18","0","0","0","0","0"
"UA","10/02/2018","0459","N410UA","ORD","07:00","06:59","245","236","-1","07:18","19","0","0","0","0","0"
"UA","10/02/2018","0619","N66808","ORD","23:20","23:33","222","211","13","23:54","21","0","0","0","0","0"
"UA","10/02/2018","0659","N25201","SFO","07:13","07:05","139","151","-8","07:25","20","0","0","0","0","0"
"UA","10/02/2018","0670","N38479","ORD","13:55","13:51","246","227","-4","14:11","20","0","0","0","0","0"
"UA","10/02/2018","0698","N69818","SFO","09:26","09:21","139","122","-5","09:33","12","0","0","0","0","0"
"UA","10/02/2018","0720","N77538","SFO","11:38","12:45","137","118","67","13:02","17","0","0","0","0","48"
"UA","10/02/2018","0738","N12218","DEN","13:18","13:11","155","149","-7","13:30","19","0","0","0","0","0"
"UA","10/02/2018","1067","N485UA","SFO","21:36","21:33","130","114","-3","21:45","12","0","0","0","0","0"
"UA","10/02/2018","1155","N35271","EWR","11:15","11:59","312","322","44","12:26","27","0","0","54","0","0"
"UA","10/02/2018","1195","N69885","ORD","00:56","00:49","233","219","-7","01:07","18","0","0","0","0","0"
"UA","10/02/2018","1476","N78506","SFO","17:15","17:09","123","112","-6","17:21","12","0","0","0","0","0"
"UA","10/02/2018","1508","N39450","DEN","05:15","05:03","152","143","-12","05:17","14","0","0","0","0","0"
"UA","10/02/2018","1560","N26226","SFO","16:01","15:57","129","119","-4","16:14","17","0","0","0","0","0"
"UA","10/02/2018","1695","N38473","EWR","20:55","20:42","298","272","-13","20:54","12","0","0","0","0","0"
"UA","10/02/2018","1696","N38446","IAH","14:20","14:11","255","257","-9","14:35","24","0","0","0","0","0"
"UA","10/02/2018","1867","N68822","IAH","12:25","12:24","255","254","-1","12:45","21","0","0","0","0","0"
"UA","10/02/2018","1929","N38443","EWR","06:00","06:00","308","302","0","06:25","25","0","0","0","0","0"
"UA","10/02/2018","1946","N421UA","DEN","15:38","15:29","167","155","-9","15:48","19","0","0","0","0","0"
"UA","10/02/2018","1951","N498UA","IAH","09:05","08:56","265","265","-9","09:21","25","0","0","0","0","0"
"UA","10/02/2018","2021","N486UA","EWR","22:30","22:23","296","286","-7","22:39","16","0","0","0","0","0"
"UA","10/02/2018","2112","N30401","IAH","23:59","23:49","241","240","-10","00:04","15","0","0","0","0","0"
"UA","10/03/2018","0214","N12225","SFO","17:45","18:40","123","134","55","18:55","15","0","0","11","0","55"
"UA","10/03/2018","0260","N69847","IAD","13:18","13:12","291","277","-6","13:31","19","0","0","0","0","0"
"UA","10/03/2018","0262","N407UA","IAD","21:35","21:34","280","287","-1","21:52","18","0","0","0","0","0"
"UA","10/03/2018","0263","N811UA","DEN","08:10","08:00","153","178","-10","08:41","41","0","0","15","0","0"
"UA","10/03/2018","0278","N482UA","ORD","11:09","11:13","239","226","4","11:28","15","0","0","0","0","0"
"UA","10/03/2018","0331","N840UA","DEN","10:55","10:45","156","159","-10","11:10","25","0","0","0","0","0"
"UA","10/03/2018","0368","N57864","SFO","05:30","05:26","127","121","-4","05:41","15","0","0","0","0","0"
"UA","10/03/2018","0419","N75432","IAD","08:09","07:58","300","297","-11","08:30","32","0","0","0","0","0"
"UA","10/03/2018","0443","N79402","IAH","06:55","06:53","263","240","-2","07:08","15","0","0","0","0","0"
"UA","10/03/2018","0459","N470UA","ORD","07:00","06:57","245","218","-3","07:11","14","0","0","0","0","0"
"UA","10/03/2018","0587","N36272","SFO","17:31","17:24","123","120","-7","17:35","11","0","0","0","0","0"
"UA","10/03/2018","0619","N57864","ORD","23:20","00:14","219","199","54","00:25","11","0","0","0","0","34"
"UA","10/03/2018","0659","N76533","SFO","07:13","07:08","139","120","-5","07:20","12","0","0","0","0","0"
"UA","10/03/2018","0670","N66893","ORD","13:55","13:46","246","227","-9","14:01","15","0","0","0","0","0"
"UA","10/03/2018","0698","N76523","SFO","09:26","09:14","139","138","-12","09:45","31","0","0","0","0","0"
"UA","10/03/2018","0720","N24202","SFO","11:38","11:48","137","118","10","12:05","17","0","0","0","0","0"
"UA","10/03/2018","0738","N61886","DEN","13:18","13:13","155","153","-5","13:30","17","0","0","0","0","0"
"UA","10/03/2018","1067","N75433","SFO","21:36","21:22","131","121","-14","21:38","16","0","0","0","0","0"
"UA","10/03/2018","1155","N36444","EWR","11:15","11:12","312","293","-3","11:28","16","0","0","0","0","0"
"UA","10/03/2018","1195","N66848","ORD","00:56","00:50","233","223","-6","01:04","14","0","0","0","0","0"
"UA","10/03/2018","1508","N66837","DEN","05:15","05:06","152","142","-9","05:19","13","0","0","0","0","0"
"UA","10/03/2018","1560","N28478","SFO","16:01","15:56","129","124","-5","16:10","14","0","0","0","0","0"
"UA","10/03/2018","1695","N449UA","EWR","20:55","20:48","296","0","-7","21:00","12","0","0","0","0","0"
"UA","10/03/2018","1696","N67812","IAH","14:20","14:07","251","256","-13","14:35","28","0","0","0","0","0"
"UA","10/03/2018","1867","N68805","IAH","12:25","12:22","255","263","-3","12:43","21","0","0","0","0","0"
"UA","10/03/2018","1929","N76503","EWR","06:00","05:51","308","301","-9","06:09","18","0","0","0","0","0"
"UA","10/03/2018","1946","N478UA","DEN","15:38","15:30","167","167","-8","15:48","18","0","0","0","0","0"
"UA","10/03/2018","1951","N77296","IAH","09:05","09:02","267","263","-3","09:41","39","0","0","0","0","0"
"UA","10/03/2018","2021","N78285","EWR","22:30","22:27","298","284","-3","22:38","11","0","0","0","0","0"
"UA","10/03/2018","2112","N73406","IAH","23:59","23:55","241","244","-4","00:06","11","0","0","0","0","0"
"UA","10/04/2018","0214","N893UA","SFO","18:00","17:54","122","142","-6","18:18","24","0","0","0","0","0"
"UA","10/04/2018","0260","N37419","IAD","13:12","13:07","291","284","-5","13:26","19","0","0","0","0","0"
"UA","10/04/2018","0263","N469UA","DEN","08:10","08:07","153","162","-3","08:34","27","0","0","0","0","0"
"UA","10/04/2018","0278","N79521","ORD","11:09","11:04","241","227","-5","11:18","14","0","0","0","0","0"
"UA","10/04/2018","0331","N838UA","DEN","10:51","10:45","156","182","-6","11:06","21","0","0","20","0","0"
"UA","10/04/2018","0368","N74856","SFO","05:30","05:20","127","125","-10","05:36","16","0","0","0","0","0"
"UA","10/04/2018","0419","N39423","IAD","08:15","08:08","300","300","-7","08:34","26","0","0","0","0","0"
"UA","10/04/2018","0443","N53441","IAH","07:00","06:54","263","251","-6","07:10","16","0","0","0","0","0"
"UA","10/04/2018","0459","N453UA","ORD","06:55","06:51","245","225","-4","07:06","15","0","0","0","0","0"
"UA","10/04/2018","0587","N425UA","SFO","17:04","16:58","122","105","-6","17:11","13","0","0","0","0","0"
"UA","10/04/2018","0619","N73860","ORD","23:20","23:38","219","214","18","23:54","16","0","0","0","0","0"
"UA","10/04/2018","0659","N833UA","SFO","07:13","07:50","138","181","37","08:17","27","0","0","80","0","0"
"UA","10/04/2018","0670","N77430","ORD","13:49","13:47","246","245","-2","14:05","18","0","0","0","0","0"
"UA","10/04/2018","0698","N821UA","SFO","09:26","09:20","138","139","-6","09:43","23","0","0","0","0","0"
"UA","10/04/2018","0720","N77535","SFO","11:46","11:52","137","138","6","12:30","38","0","0","0","0","0"
"UA","10/04/2018","0738","N27213","DEN","13:18","13:10","155","162","-8","13:33","23","0","0","0","0","0"
"UA","10/04/2018","0816","N76526","SFO","13:54","14:04","129","125","10","14:25","21","0","0","0","0","0"
"UA","10/04/2018","1134","N37474","IAD","22:45","23:07","282","279","22","23:29","22","19","0","0","0","0"
"UA","10/04/2018","1155","N17229","EWR","11:15","11:08","312","300","-7","11:28","20","0","0","0","0","0"
"UA","10/04/2018","1195","N68891","ORD","00:56","00:56","233","222","0","01:07","11","0","0","0","0","0"
"UA","10/04/2018","1287","N62889","DEN","17:55","17:53","152","148","-2","18:13","20","0","0","0","0","0"
"UA","10/04/2018","1560","N33203","SFO","16:01","15:58","129","118","-3","16:17","19","0","0","0","0","0"
"UA","10/04/2018","1695","N33264","EWR","20:55","21:29","298","283","34","21:45","16","4","0","0","0","15"
"UA","10/04/2018","1696","N77542","IAH","14:15","14:06","255","275","-9","14:40","34","0","0","0","0","0"
"UA","10/04/2018","1867","N78285","IAH","12:25","12:21","255","263","-4","12:44","23","0","0","0","0","0"
"UA","10/04/2018","1929","N78438","EWR","06:00","05:55","308","320","-5","06:24","29","0","0","0","0","0"
"UA","10/04/2018","1946","N487UA","DEN","15:38","15:30","167","155","-8","15:50","20","0","0","0","0","0"
"UA","10/04/2018","1951","N37255","IAH","09:05","09:03","267","262","-2","09:14","11","0","0","0","0","0"
"UA","10/04/2018","2021","N11206","EWR","22:35","22:30","298","293","-5","22:46","16","0","0","0","0","0"
