Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: American Airlines Inc. (AA)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","10/01/2018","0228","N337PJ","DFW","10:18","10:36","241","235","18","11:08","32","0","0","0","0","0"
"AA","10/01/2018","0368","N902AA","DFW","18:03","19:02","235","219","59","19:29","27","0","0","0","0","43"
"AA","10/01/2018","0459","N157UW","PHX","05:00","04:58","174","178","-2","05:16","18","0","0","0","0","0"
"AA","10/01/2018","0500","N668AW","PHX","14:58","14:55","170","162","-3","15:13","18","0","0","0","0","0"
"AA","10/01/2018","0560","N982VJ","CLT","11:00","11:08","312","285","8","11:25","17","0","0","0","0","0"
"AA","10/01/2018","0564","N573UW","PHL","22:11","22:26","311","280","15","22:40","14","0","0","0","0","0"
"AA","10/01/2018","0600","N177US","CLT","00:06","00:37","304","283","31","00:50","13","0","0","0","0","0"
"AA","10/01/2018","0615","N981UY","PHX","08:25","08:17","176","169","-8","08:41","24","0","0","0","0","0"
"AA","10/01/2018","1045","N961AN","ORD","13:32","13:59","252","270","27","14:39","40","0","0","18","0","27"
"AA","10/01/2018","1079","N138AN","DFW","11:58","11:53","242","244","-5","12:28","35","0","0","0","0","0"
"AA","10/01/2018","1213","N964NN","ORD","15:05","15:32","250","244","27","15:49","17","4","0","0","0","17"
"AA","10/01/2018","1471","N824NN","MIA","22:23","23:09","352","326","46","23:25","16","20","0","0","0","0"
"AA","10/01/2018","1540","N850NN","ORD","06:01","06:16","248","246","15","06:32","16","0","0","0","0","0"
"AA","10/01/2018","1644","N973UY","DFW","09:25","09:35","235","227","10","09:51","16","0","0","0","0","0"
"AA","10/01/2018","1667","N151UW","DFW","07:45","07:41","245","235","-4","08:04","23","0","0","0","0","0"
"AA","10/01/2018","1884","N553UW","CLT","05:53","05:44","307","303","-9","06:03","19","0","0","0","0","0"
"AA","10/01/2018","2024","N184US","PHL","11:48","12:08","323","319","20","12:40","32","0","0","0","0","16"
"AA","10/01/2018","2085","N154UW","CLT","22:05","22:14","295","272","9","22:28","14","0","0","0","0","0"
"AA","10/01/2018","2113","N176UW","PHL","08:00","07:51","328","303","-9","08:17","26","0","0","0","0","0"
"AA","10/01/2018","2197","N962AN","PHX","17:50","17:44","177","182","-6","18:12","28","0","0","0","0","0"
"AA","10/01/2018","2240","N150NN","DFW","15:32","17:29","234","211","117","17:40","11","63","0","0","0","31"
"AA","10/01/2018","2473","N902AA","DFW","00:15","00:16","228","209","1","00:29","13","0","0","0","0","0"
"AA","10/01/2018","2586","N972AN","ORD","23:44","23:44","241","209","0","00:01","17","0","0","0","0","0"
"AA","10/01/2018","2604","N314PD","ORD","09:51","09:57","253","247","6","10:31","34","0","0","0","0","0"
