Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: United Airlines Inc. (UA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","01/01/2018","0235","N72405","IAH","15:18","15:14","152","159","-4","15:27","13","0","0","0","0","0"
"UA","01/01/2018","0306","N73251","SFO","12:32","12:24","139","121","-8","12:36","12","0","0","0","0","0"
"UA","01/01/2018","0316","N476UA","IAD","09:30","09:22","244","226","-8","09:31","9","0","0","0","0","0"
"UA","01/01/2018","0523","N62895","ORD","11:43","11:42","206","203","-1","11:59","17","0","0","0","0","0"
"UA","01/01/2018","0582","N62894","LAX","06:05","05:58","97","81","-7","06:11","13","0","0","0","0","0"
"UA","01/01/2018","0604","N466UA","DEN","10:45","10:39","107","93","-6","10:50","11","0","0","0","0","0"
"UA","01/01/2018","0622","N448UA","SFO","18:19","18:09","126","113","-10","18:21","12","0","0","0","0","0"
"UA","01/01/2018","0656","N37470","ORD","08:19","08:12","206","203","-7","08:23","11","0","0","0","0","0"
"UA","01/01/2018","0739","N465UA","IAH","17:15","17:06","149","144","-9","17:17","11","0","0","0","0","0"
"UA","01/01/2018","0772","N853UA","DEN","17:37","18:28","107","95","51","18:38","10","0","0","0","0","39"
"UA","01/01/2018","0781","N61898","SFO","06:35","06:34","130","120","-1","06:45","11","0","0","0","0","0"
"UA","01/01/2018","0859","N79402","IAH","05:15","05:09","151","136","-6","05:20","11","0","0","0","0","0"
"UA","01/01/2018","1151","N68880","ORD","15:05","14:55","206","205","-10","15:06","11","0","0","0","0","0"
"UA","01/01/2018","1453","N66841","ORD","00:50","00:42","198","175","-8","00:52","10","0","0","0","0","0"
"UA","01/01/2018","1552","N14115","EWR","11:45","11:42","271","258","-3","11:56","14","0","0","0","0","0"
"UA","01/01/2018","1600","N66828","EWR","06:13","06:08","271","256","-5","06:20","12","0","0","0","0","0"
"UA","01/01/2018","1680","N76523","IAH","11:51","11:39","152","144","-12","11:58","19","0","0","0","0","0"
"UA","01/01/2018","1755","N454UA","SFO","16:05","16:02","126","117","-3","16:12","10","0","0","0","0","0"
"UA","01/01/2018","1774","N492UA","DEN","06:00","05:58","107","94","-2","06:08","10","0","0","0","0","0"
"UA","01/01/2018","1976","N11206","EWR","23:30","23:24","275","254","-6","23:34","10","0","0","0","0","0"
"UA","01/01/2018","2000","N805UA","ORD","13:40","13:28","205","193","-12","13:41","13","0","0","0","0","0"
"UA","01/01/2018","2083","N37409","IAH","07:30","07:29","152","135","-1","07:39","10","0","0","0","0","0"
"UA","01/01/2018","2135","N62892","DEN","14:35","14:24","106","93","-11","14:35","11","0","0","0","0","0"
"UA","01/02/2018","0235","N73406","IAH","15:18","16:03","152","127","45","16:15","12","0","0","0","0","20"
"UA","01/02/2018","0265","N63890","DEN","05:25","05:21","106","106","-4","05:34","13","0","0","0","0","0"
"UA","01/02/2018","0306","N16217","SFO","12:32","12:27","139","122","-5","12:39","12","0","0","0","0","0"
"UA","01/02/2018","0316","N443UA","IAD","09:30","09:27","244","226","-3","09:34","7","0","0","0","0","0"
"UA","01/02/2018","0523","N75429","ORD","11:43","11:35","206","217","-8","11:56","21","0","0","0","0","0"
"UA","01/02/2018","0582","N76503","LAX","06:05","06:00","97","84","-5","06:11","11","0","0","0","0","0"
"UA","01/02/2018","0604","N427UA","DEN","10:45","10:35","107","103","-10","10:50","15","0","0","0","0","0"
"UA","01/02/2018","0622","N404UA","SFO","18:19","18:05","126","123","-14","18:27","22","0","0","0","0","0"
"UA","01/02/2018","0656","N62895","ORD","08:19","08:18","206","204","-1","08:30","12","0","0","0","0","0"
"UA","01/02/2018","0739","N32404","IAH","17:23","17:16","150","146","-7","17:27","11","0","0","0","0","0"
"UA","01/02/2018","0772","N418UA","DEN","17:37","17:25","107","100","-12","17:34","9","0","0","0","0","0"
"UA","01/02/2018","0781","N847UA","SFO","06:35","06:29","129","120","-6","06:40","11","0","0","0","0","0"
"UA","01/02/2018","0859","N79541","IAH","05:15","05:11","151","129","-4","05:22","11","0","0","0","0","0"
"UA","01/02/2018","1151","N66803","ORD","15:20","15:14","206","205","-6","15:25","11","0","0","0","0","0"
"UA","01/02/2018","1453","N804UA","ORD","00:50","00:36","197","189","-14","00:51","15","0","0","0","0","0"
"UA","01/02/2018","1552","N67134","EWR","11:45","11:45","271","271","0","11:58","13","0","0","0","0","0"
"UA","01/02/2018","1600","N68834","EWR","06:13","06:10","271","265","-3","06:21","11","0","0","0","0","0"
"UA","01/02/2018","1680","N87507","IAH","11:51","11:47","152","143","-4","12:07","20","0","0","0","0","0"
"UA","01/02/2018","1755","N495UA","SFO","16:05","16:02","126","119","-3","16:13","11","0","0","0","0","0"
"UA","01/02/2018","1774","N447UA","DEN","06:11","06:03","107","104","-8","06:15","12","0","0","0","0","0"
"UA","01/02/2018","1976","N33292","EWR","23:30","23:29","275","257","-1","23:39","10","0","0","0","0","0"
"UA","01/02/2018","2000","N69804","ORD","13:40","13:29","206","205","-11","13:42","13","0","0","0","0","0"
"UA","01/02/2018","2083","N77258","IAH","07:30","07:26","152","129","-4","07:37","11","0","0","0","0","0"
"UA","01/02/2018","2135","N69838","DEN","14:35","14:33","106","99","-2","14:47","14","0","0","0","0","0"
"UA","01/03/2018","0235","N37420","IAH","15:18","15:12","152","150","-6","15:22","10","0","0","0","0","0"
"UA","01/03/2018","0265","N66814","DEN","05:25","05:19","106","103","-6","05:31","12","0","0","0","0","0"
"UA","01/03/2018","0306","N79279","SFO","12:32","12:46","139","113","14","12:56","10","0","0","0","0","0"
"UA","01/03/2018","0316","N491UA","IAD","09:30","09:23","244","239","-7","09:34","11","0","0","0","0","0"
"UA","01/03/2018","0523","N62895","ORD","11:43","11:41","206","210","-2","12:01","20","0","0","0","0","0"
"UA","01/03/2018","0582","N14230","LAX","06:05","06:02","97","82","-3","06:15","13","0","0","0","0","0"
"UA","01/03/2018","0604","N408UA","DEN","10:45","10:35","107","99","-10","10:47","12","0","0","0","0","0"
"UA","01/03/2018","0622","N405UA","SFO","18:19","19:07","126","124","48","19:18","11","0","0","46","0","0"
"UA","01/03/2018","0656","N75429","ORD","08:19","08:15","206","217","-4","08:27","12","0","0","0","0","0"
"UA","01/03/2018","0739","N842UA","IAH","17:15","17:15","149","144","0","17:32","17","0","0","0","0","0"
"UA","01/03/2018","0772","N460UA","DEN","17:38","18:14","107","98","36","18:28","14","1","0","0","0","26"
"UA","01/03/2018","0781","N844UA","SFO","06:35","06:25","129","128","-10","06:51","26","0","0","0","0","0"
"UA","01/03/2018","0859","N33203","IAH","05:15","05:14","151","150","-1","05:24","10","0","0","0","0","0"
"UA","01/03/2018","1151","N78438","ORD","15:20","17:29","206","187","129","17:41","12","1","0","0","0","109"
"UA","01/03/2018","1453","N849UA","ORD","00:50","00:46","197","189","-4","00:56","10","0","0","0","0","0"
"UA","01/03/2018","1552","N21108","EWR","11:45","11:39","271","277","-6","11:58","19","0","0","0","0","0"
"UA","01/03/2018","1600","N69826","EWR","06:13","06:14","271","273","1","06:26","12","0","0","0","0","0"
"UA","01/03/2018","1680","N76532","IAH","11:51","11:55","152","148","4","12:13","18","0","0","0","0","0"
"UA","01/03/2018","1755","N453UA","SFO","16:05","16:09","126","113","4","16:22","13","0","0","0","0","0"
"UA","01/03/2018","1774","N405UA","DEN","06:11","06:06","107","106","-5","06:25","19","0","0","0","0","0"
"UA","01/03/2018","1976","","EWR","23:30","00:00","275","0","0","00:00","0","0","0","0","0","0"
"UA","01/03/2018","2000","N68821","ORD","13:40","13:41","206","204","1","13:52","11","0","0","0","0","0"
"UA","01/03/2018","2083","N73276","IAH","07:30","07:28","152","148","-2","07:40","12","0","0","0","0","0"
"UA","01/03/2018","2135","N69847","DEN","14:35","14:33","106","94","-2","14:44","11","0","0","0","0","0"
"UA","01/04/2018","0235","N72405","IAH","15:18","16:01","152","145","43","16:17","16","36","0","0","0","0"
"UA","01/04/2018","0265","N64809","DEN","05:25","05:25","106","96","0","05:35","10","0","0","0","0","0"
"UA","01/04/2018","0306","N33203","SFO","12:32","12:28","139","121","-4","12:44","16","0","0","0","0","0"
"UA","01/04/2018","0316","N486UA","IAD","09:30","09:29","244","238","-1","09:39","10","0","0","0","0","0"
"UA","01/04/2018","0582","N77537","LAX","06:03","06:00","97","77","-3","06:12","12","0","0","0","0","0"
"UA","01/04/2018","0604","N429UA","DEN","10:45","10:34","107","104","-11","10:48","14","0","0","0","0","0"
"UA","01/04/2018","0622","N460UA","SFO","18:19","18:17","126","131","-2","18:41","24","0","0","0","0","0"
"UA","01/04/2018","0656","N62895","ORD","08:19","08:14","206","198","-5","08:24","10","0","0","0","0","0"
"UA","01/04/2018","0739","N842UA","IAH","17:15","17:14","149","151","-1","17:24","10","0","0","0","0","0"
"UA","01/04/2018","0772","N467UA","DEN","17:37","17:40","107","102","3","17:50","10","0","0","0","0","0"
"UA","01/04/2018","0781","N895UA","SFO","06:35","06:26","129","125","-9","06:36","10","0","0","0","0","0"
"UA","01/04/2018","0859","N75410","IAH","05:15","05:12","151","141","-3","05:25","13","0","0","0","0","0"
"UA","01/04/2018","1151","N63820","ORD","15:20","15:14","206","198","-6","15:27","13","0","0","0","0","0"
"UA","01/04/2018","1453","N37422","ORD","00:50","00:45","198","187","-5","00:57","12","0","0","0","0","0"
"UA","01/04/2018","1552","","EWR","11:45","00:00","271","0","0","00:00","0","0","0","0","0","0"
"UA","01/04/2018","1600","","EWR","06:13","00:00","271","0","0","00:00","0","0","0","0","0","0"
"UA","01/04/2018","1680","N17233","IAH","11:51","11:43","152","150","-8","11:53","10","0","0","0","0","0"
"UA","01/04/2018","1755","N426UA","SFO","16:05","16:15","126","122","10","16:31","16","0","0","0","0","0"
"UA","01/04/2018","1774","N69804","DEN","06:11","06:10","108","101","-1","06:21","11","0","0","0","0","0"
"UA","01/04/2018","1976","","EWR","23:30","00:00","275","0","0","00:00","0","0","0","0","0","0"
"UA","01/04/2018","2000","N66803","ORD","13:40","13:39","206","222","-1","13:49","10","0","0","15","0","0"
"UA","01/04/2018","2083","N27205","IAH","07:30","07:30","152","146","0","07:45","15","0","0","0","0","0"
"UA","01/04/2018","2135","N67846","DEN","14:35","14:30","106","100","-5","14:41","11","0","0","0","0","0"
"UA","01/05/2018","0235","N71411","IAH","15:18","15:13","152","147","-5","15:25","12","0","0","0","0","0"
