Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: Delta Airlines Inc. (DL)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","04/01/2018","0136","N3771K","DTW","12:33","12:26","222","203","-7","12:44","18","0","0","0","0","0"
"DL","04/01/2018","0677","N315NB","SLC","16:40","16:34","96","92","-6","16:51","17","0","0","0","0","0"
"DL","04/01/2018","0824","N557NW","DTW","06:00","06:06","228","200","6","06:24","18","0","0","0","0","0"
"DL","04/01/2018","0899","N594NW","MSP","17:10","17:09","182","173","-1","17:24","15","0","0","0","0","0"
"DL","04/01/2018","1373","N819DX","MSP","18:20","18:14","184","170","-6","18:33","19","0","0","0","0","0"
"DL","04/01/2018","1411","N553NW","MSP","06:45","06:42","185","163","-3","06:57","15","0","0","0","0","0"
"DL","04/01/2018","1514","N669DN","MSP","09:21","09:16","189","164","-5","09:31","15","0","0","0","0","0"
"DL","04/01/2018","1537","N589NW","MSP","00:30","00:20","184","163","-10","00:36","16","0","0","0","0","0"
"DL","04/01/2018","1546","N333DX","ATL","10:23","10:24","223","187","1","10:36","12","0","0","0","0","0"
"DL","04/01/2018","1747","N335DN","ATL","06:00","05:59","212","188","-1","06:09","10","0","0","0","0","0"
"DL","04/01/2018","1769","N675DL","MSP","13:46","13:46","189","166","0","14:05","19","0","0","0","0","0"
"DL","04/01/2018","1772","N853NW","ATL","13:27","13:22","209","192","-5","13:40","18","0","0","0","0","0"
"DL","04/01/2018","1874","N589NW","MSP","11:44","11:39","185","174","-5","11:54","15","0","0","0","0","0"
"DL","04/01/2018","1921","N817DN","DTW","10:10","10:03","228","198","-7","10:18","15","0","0","0","0","0"
"DL","04/01/2018","1994","N843DN","JFK","06:10","06:04","287","240","-6","06:15","11","0","0","0","0","0"
"DL","04/01/2018","2046","N314DN","ATL","16:27","16:35","208","199","8","16:56","21","0","0","0","0","0"
"DL","04/01/2018","2160","N320DN","ATL","00:15","00:17","211","190","2","00:26","9","0","0","0","0","0"
"DL","04/01/2018","2162","N315DN","ATL","07:25","07:22","220","196","-3","07:39","17","0","0","0","0","0"
"DL","04/01/2018","2201","N3745B","JFK","11:32","12:16","282","261","44","12:31","15","3","0","0","0","20"
"DL","04/01/2018","2469","N894AT","SEA","14:42","14:34","191","182","-8","14:47","13","0","0","0","0","0"
"DL","04/01/2018","2477","N860DN","JFK","23:35","23:37","285","274","2","23:48","11","0","0","0","0","0"
"DL","04/01/2018","2511","N586NW","DTW","23:00","22:58","226","204","-2","23:13","15","0","0","0","0","0"
"DL","04/01/2018","2657","N376DA","SLC","14:02","14:17","95","87","15","14:32","15","0","0","0","0","0"
"DL","04/01/2018","2877","N872DN","SLC","10:55","10:53","102","90","-2","11:07","14","0","0","0","0","0"
"DL","04/01/2018","2946","N325DN","SLC","18:44","18:48","94","99","4","19:14","26","0","0","0","0","0"
"DL","04/02/2018","0136","N3730B","DTW","12:33","12:28","222","212","-5","12:43","15","0","0","0","0","0"
"DL","04/02/2018","0677","N315NB","SLC","16:40","17:05","96","94","25","17:15","10","23","0","0","0","0"
"DL","04/02/2018","0824","N665DN","DTW","06:00","05:58","228","205","-2","06:12","14","0","0","0","0","0"
"DL","04/02/2018","0899","N586NW","MSP","17:10","17:27","182","178","17","17:41","14","0","0","0","0","0"
"DL","04/02/2018","1373","N819DX","MSP","18:20","18:16","184","165","-4","18:32","16","0","0","0","0","0"
"DL","04/02/2018","1411","N552NW","MSP","06:45","06:42","185","176","-3","07:01","19","0","0","0","0","0"
"DL","04/02/2018","1514","N660DL","MSP","09:21","09:17","189","187","-4","09:33","16","0","0","0","0","0"
"DL","04/02/2018","1537","N582NW","MSP","00:30","00:28","184","162","-2","00:41","13","0","0","0","0","0"
"DL","04/02/2018","1546","N306DN","ATL","10:23","10:32","223","194","9","10:49","17","0","0","0","0","0"
"DL","04/02/2018","1747","N330DX","ATL","06:00","05:58","212","191","-2","06:11","13","0","0","0","0","0"
"DL","04/02/2018","1769","N667DN","MSP","13:46","13:57","189","177","11","14:15","18","0","0","0","0","0"
"DL","04/02/2018","1772","N832MH","ATL","13:27","13:32","219","198","5","13:44","12","0","0","0","0","0"
"DL","04/02/2018","1874","N591NW","MSP","11:44","11:39","185","178","-5","11:49","10","0","0","0","0","0"
"DL","04/02/2018","1921","N812DN","DTW","10:10","09:58","228","217","-12","10:15","17","0","0","0","0","0"
"DL","04/02/2018","1940","N942AT","SEA","11:15","11:08","194","196","-7","11:20","12","0","0","0","0","0"
"DL","04/02/2018","1994","N818DA","JFK","06:10","06:08","287","256","-2","06:20","12","0","0","0","0","0"
"DL","04/02/2018","2046","N322DN","ATL","16:20","16:29","215","190","9","16:38","9","0","0","0","0","0"
"DL","04/02/2018","2160","N318DX","ATL","00:15","00:11","211","185","-4","00:20","9","0","0","0","0","0"
