Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: United Airlines Inc. (UA)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","04/01/2018","0235","N833UA","IAH","14:08","14:04","151","141","-4","14:19","15","0","0","0","0","0"
"UA","04/01/2018","0248","N69835","ORD","09:14","09:04","207","190","-10","09:19","15","0","0","0","0","0"
"UA","04/01/2018","0316","N69804","IAD","06:54","06:51","246","220","-3","07:02","11","0","0","0","0","0"
"UA","04/01/2018","0523","N449UA","ORD","11:27","11:19","205","191","-8","11:29","10","0","0","0","0","0"
"UA","04/01/2018","0604","N39450","DEN","08:52","08:50","108","98","-2","09:00","10","0","0","0","0","0"
"UA","04/01/2018","0656","N75425","ORD","07:20","07:17","200","184","-3","07:26","9","0","0","0","0","0"
"UA","04/01/2018","0739","N462UA","IAH","16:08","15:55","149","142","-13","16:11","16","0","0","0","0","0"
"UA","04/01/2018","0772","N429UA","DEN","16:00","15:49","107","112","-11","16:10","21","0","0","0","0","0"
"UA","04/01/2018","0859","N457UA","DEN","09:41","09:36","105","89","-5","09:45","9","0","0","0","0","0"
"UA","04/01/2018","1552","N13138","EWR","10:45","13:57","275","245","192","14:18","21","162","0","0","0","0"
"UA","04/01/2018","1600","N13110","EWR","06:24","06:12","275","247","-12","06:28","16","0","0","0","0","0"
"UA","04/01/2018","1623","N434UA","SFO","19:35","19:33","129","110","-2","19:45","12","0","0","0","0","0"
"UA","04/01/2018","1680","N57439","IAH","10:57","10:52","152","129","-5","11:02","10","0","0","0","0","0"
"UA","04/01/2018","1682","N77537","IAH","19:13","19:06","147","136","-7","19:23","17","0","0","0","0","0"
"UA","04/01/2018","1774","N69806","DEN","06:03","05:57","108","98","-6","06:10","13","0","0","0","0","0"
"UA","04/01/2018","1855","N69818","ORD","23:54","23:48","206","187","-6","00:01","13","0","0","0","0","0"
"UA","04/01/2018","1882","N69835","DEN","18:43","18:34","107","113","-9","18:58","24","0","0","0","0","0"
"UA","04/01/2018","1976","N415UA","EWR","22:10","22:52","273","245","42","23:04","12","0","0","0","0","0"
"UA","04/01/2018","2000","N421UA","ORD","14:34","14:24","206","172","-10","14:35","11","0","0","0","0","0"
"UA","04/01/2018","2083","N406UA","IAH","06:35","10:04","148","128","209","10:14","10","189","0","0","0","0"
"UA","04/01/2018","2135","N68805","DEN","13:52","13:40","108","87","-12","13:49","9","0","0","0","0","0"
"UA","04/01/2018","2416","N829UA","SFO","06:00","05:52","132","135","-8","06:03","11","0","0","0","0","0"
"UA","04/01/2018","2419","N465UA","SFO","12:43","12:39","136","119","-4","12:55","16","0","0","0","0","0"
"UA","04/01/2018","2424","N63820","SFO","15:50","15:55","127","106","5","16:05","10","0","0","0","0","0"
"UA","04/02/2018","0235","N27239","IAH","14:15","14:14","152","142","-1","14:27","13","0","0","0","0","0"
"UA","04/02/2018","0248","N68880","ORD","09:14","09:05","207","193","-9","09:21","16","0","0","0","0","0"
