Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","04/01/2018","1146","N791SW","LAX","09:00","08:57","95","100","-3","09:34","37","0","0","0","0","0"
"WN","04/01/2018","1474","N7739A","SAN","15:20","15:17","95","80","-3","15:27","10","0","0","0","0","0"
"WN","04/01/2018","1476","N7739A","SAN","19:50","19:45","90","87","-5","20:00","15","0","0","0","0","0"
"WN","04/01/2018","2361","N7854B","PDX","06:25","06:22","105","107","-3","06:45","23","0","0","0","0","0"
"WN","04/01/2018","2592","N7839A","SAN","17:40","17:35","90","85","-5","17:52","17","0","0","0","0","0"
"WN","04/01/2018","2681","N7831B","SNA","14:10","14:06","90","79","-4","14:17","11","0","0","0","0","0"
"WN","04/01/2018","2684","N7831B","SNA","18:15","18:19","85","90","4","18:42","23","0","0","0","0","0"
"WN","04/01/2018","2724","N226WN","DAL","05:30","05:28","205","194","-2","05:46","18","0","0","0","0","0"
"WN","04/01/2018","2767","N7853B","LAS","16:25","16:24","95","100","-1","16:57","33","0","0","0","0","0"
"WN","04/01/2018","2926","N950WN","DEN","06:00","05:55","155","159","-5","06:26","31","0","0","0","0","0"
"WN","04/01/2018","3079","N8708Q","LAS","07:10","07:58","90","83","48","08:13","15","41","0","0","0","0"
"WN","04/01/2018","3376","N424WN","PHX","16:00","16:11","115","121","11","16:41","30","11","0","6","0","0"
"WN","04/01/2018","3425","N431WN","PHX","06:20","06:19","115","114","-1","06:40","21","0","0","0","0","0"
"WN","04/01/2018","3733","N8543Z","DEN","13:05","13:29","155","137","24","13:41","12","0","0","0","0","0"
"WN","04/01/2018","3909","N8508W","LAS","05:35","05:35","85","79","0","05:46","11","0","0","0","0","0"
"WN","04/01/2018","3943","N298WN","LAS","10:35","10:33","90","79","-2","10:41","8","0","0","0","0","0"
"WN","04/01/2018","3973","N791SW","LAX","13:15","13:15","90","85","0","13:38","23","0","0","0","0","0"
"WN","04/01/2018","3976","N791SW","LAX","17:25","17:23","85","100","-2","18:00","37","0","0","0","0","0"
"WN","04/01/2018","3983","N791SW","LAX","21:35","21:38","85","79","3","21:54","16","0","0","0","0","0"
"WN","04/01/2018","4021","N7885A","LAX","07:00","06:55","85","80","-5","07:12","17","0","0","0","0","0"
"WN","04/01/2018","4024","N7885A","LAX","11:05","11:05","90","83","0","11:17","12","0","0","0","0","0"
"WN","04/01/2018","4029","N7885A","LAX","15:20","15:30","90","80","10","15:47","17","0","0","0","0","0"
"WN","04/01/2018","4030","N7885A","LAX","19:30","19:27","90","121","-3","20:23","56","0","0","28","0","0"
"WN","04/01/2018","4107","N742SW","PDX","12:10","12:08","110","103","-2","12:27","19","0","0","0","0","0"
"WN","04/01/2018","4180","N8551Q","PHX","17:40","17:40","115","116","0","17:57","17","0","0","0","0","0"
"WN","04/01/2018","4200","N942WN","SNA","21:00","20:57","85","102","-3","21:32","35","0","0","0","0","0"
"WN","04/01/2018","4273","N7881A","BUR","19:00","19:03","70","81","3","19:32","29","0","0","0","0","0"
"WN","04/01/2018","4310","N7875A","MDW","05:50","05:43","245","216","-7","05:54","11","0","0","0","0","0"
"WN","04/01/2018","4459","N270WN","BUR","09:40","09:44","70","67","4","09:59","15","0","0","0","0","0"
"WN","04/01/2018","4558","N7839A","SAN","08:50","08:58","95","85","8","09:12","14","0","0","0","0","0"
"WN","04/01/2018","4562","N7839A","SAN","13:15","13:13","95","98","-2","13:36","23","0","0","0","0","0"
"WN","04/01/2018","4567","N7839A","SAN","21:50","21:49","90","94","-1","22:16","27","0","0","0","0","0"
