Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: Delta Airlines Inc. (DL)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","06/01/2018","0136","N3743H","DTW","12:22","12:20","232","218","-2","12:37","17","0","0","0","0","0"
"DL","06/01/2018","0824","N682DA","DTW","06:00","05:58","229","207","-2","06:16","18","0","0","0","0","0"
"DL","06/01/2018","0899","N861DN","MSP","16:26","16:24","179","180","-2","16:37","13","0","0","0","0","0"
"DL","06/01/2018","1514","N812DN","MSP","09:18","09:22","192","162","4","09:38","16","0","0","0","0","0"
"DL","06/01/2018","1537","N895DN","MSP","17:55","17:34","185","180","-21","17:48","14","0","0","0","0","0"
"DL","06/01/2018","1546","N343DN","ATL","10:09","10:17","219","278","8","10:37","20","8","0","59","0","0"
"DL","06/01/2018","1630","N811DZ","JFK","11:14","11:13","291","311","-1","11:33","20","0","0","19","0","0"
"DL","06/01/2018","1747","N311DN","ATL","06:10","06:03","209","207","-7","06:18","15","0","0","0","0","0"
"DL","06/01/2018","1769","N892DN","MSP","14:18","14:12","186","176","-6","14:25","13","0","0","0","0","0"
"DL","06/01/2018","1772","N337DN","ATL","13:00","12:57","217","285","-3","14:11","74","0","0","65","0","0"
"DL","06/01/2018","1786","N838DN","MSP","06:55","07:00","188","168","5","07:16","16","0","0","0","0","0"
"DL","06/01/2018","1874","N816DN","MSP","11:37","11:34","190","170","-3","11:54","20","0","0","0","0","0"
"DL","06/01/2018","1921","N874DN","DTW","10:08","10:07","232","225","-1","10:21","14","0","0","0","0","0"
"DL","06/01/2018","1994","N826DN","JFK","06:05","06:05","285","272","0","06:20","15","0","0","0","0","0"
"DL","06/01/2018","2046","N322DN","ATL","16:25","18:15","210","203","110","18:34","19","0","0","0","0","103"
"DL","06/01/2018","2160","N342DN","ATL","00:05","00:02","214","202","-3","00:14","12","0","0","0","0","0"
"DL","06/01/2018","2162","N303DN","ATL","07:30","07:52","215","208","22","08:07","15","15","0","0","0","0"
"DL","06/01/2018","2477","N843DN","JFK","23:25","23:23","293","282","-2","23:37","14","0","0","0","0","0"
"DL","06/01/2018","2576","N864DN","DTW","23:45","23:43","227","214","-2","23:54","11","0","0","0","0","0"
"DL","06/01/2018","2657","N893DN","SLC","13:58","13:52","96","88","-6","14:07","15","0","0","0","0","0"
"DL","06/01/2018","2737","N896AT","SEA","11:15","11:06","188","196","-9","11:20","14","0","0","0","0","0"
"DL","06/01/2018","2877","N373DA","SLC","10:31","10:31","104","98","0","10:55","24","0","0","0","0","0"
"DL","06/01/2018","2946","N324DX","SLC","18:50","19:57","93","88","67","20:08","11","0","0","0","0","62"
"DL","06/01/2018","2997","N314NB","SLC","16:45","16:39","92","87","-6","16:51","12","0","0","0","0","0"
"DL","06/02/2018","0136","N874DN","DTW","12:31","12:28","230","218","-3","12:46","18","0","0","0","0","0"
"DL","06/02/2018","0744","N326DN","ATL","09:25","09:34","224","202","9","09:45","11","0","0","0","0","0"
"DL","06/02/2018","0815","N350DN","ATL","15:05","15:02","215","213","-3","15:14","12","0","0","0","0","0"
"DL","06/02/2018","0824","N6700","DTW","08:00","07:59","229","237","-1","08:13","14","0","0","0","0","0"
"DL","06/02/2018","0917","N935AT","SEA","16:50","16:46","200","166","-4","17:00","14","0","0","0","0","0"
"DL","06/02/2018","1630","N827DN","JFK","11:14","11:13","291","307","-1","11:26","13","0","0","15","0","0"
"DL","06/02/2018","1747","N336DX","ATL","06:10","06:05","209","203","-5","06:17","12","0","0","0","0","0"
"DL","06/02/2018","1772","N334DN","ATL","13:00","12:54","215","208","-6","13:10","16","0","0","0","0","0"
"DL","06/02/2018","1786","N850DN","MSP","07:00","07:03","184","167","3","07:16","13","0","0","0","0","0"
"DL","06/02/2018","1874","N840DN","MSP","11:38","11:41","185","176","3","11:57","16","0","0","0","0","0"
"DL","06/02/2018","1994","N847DN","JFK","06:05","06:01","284","295","-4","06:23","22","0","0","0","0","0"
"DL","06/02/2018","2160","N333DX","ATL","00:05","01:31","212","203","86","01:41","10","8","0","0","0","69"
"DL","06/02/2018","2223","N860DN","MSP","16:15","16:10","180","164","-5","16:21","11","0","0","0","0","0"
"DL","06/02/2018","2576","N867DN","DTW","23:45","23:39","227","214","-6","23:59","20","0","0","0","0","0"
"DL","06/02/2018","2623","N894DN","MSP","13:45","13:43","186","173","-2","13:58","15","0","0","0","0","0"
"DL","06/02/2018","2657","N347NB","SLC","13:45","13:43","94","89","-2","14:02","19","0","0","0","0","0"
"DL","06/02/2018","2737","N920AT","SEA","11:24","11:17","186","212","-7","11:34","17","0","0","19","0","0"
"DL","06/02/2018","2877","N3743H","SLC","10:30","10:26","105","82","-4","10:40","14","0","0","0","0","0"
"DL","06/02/2018","2997","N337NB","SLC","16:45","16:43","92","85","-2","16:58","15","0","0","0","0","0"
"DL","06/03/2018","0136","N3735D","DTW","12:22","12:21","232","210","-1","12:34","13","0","0","0","0","0"
"DL","06/03/2018","0824","N6700","DTW","06:00","05:59","229","216","-1","06:15","16","0","0","0","0","0"
"DL","06/03/2018","0899","N886DN","MSP","16:26","16:20","179","187","-6","16:34","14","0","0","0","0","0"
"DL","06/03/2018","1514","N853DN","MSP","09:18","09:13","192","171","-5","09:29","16","0","0","0","0","0"
"DL","06/03/2018","1537","N817DN","MSP","17:55","17:48","185","170","-7","18:07","19","0","0","0","0","0"
"DL","06/03/2018","1546","N303DN","ATL","10:09","10:07","219","211","-2","10:25","18","0","0","0","0","0"
"DL","06/03/2018","1630","N831DN","JFK","11:12","11:13","291","322","1","11:27","14","0","0","32","0","0"
"DL","06/03/2018","1747","N324DX","ATL","06:10","06:10","209","197","0","06:23","13","0","0","0","0","0"
"DL","06/03/2018","1769","N874DN","MSP","14:18","14:34","186","166","16","14:48","14","0","0","0","0","0"
"DL","06/03/2018","1772","N323DN","ATL","13:00","13:05","217","220","5","13:16","11","0","0","0","0","0"
"DL","06/03/2018","1786","N839DN","MSP","06:55","06:55","188","178","0","07:14","19","0","0","0","0","0"
"DL","06/03/2018","1874","N836DN","MSP","11:37","11:36","190","168","-1","11:49","13","0","0","0","0","0"
"DL","06/03/2018","1921","N882DN","DTW","10:08","10:21","232","226","13","10:49","28","0","0","0","0","0"
"DL","06/03/2018","1994","N826DN","JFK","06:05","06:02","285","271","-3","06:13","11","0","0","0","0","0"
"DL","06/03/2018","2046","N338DN","ATL","16:25","16:40","210","204","15","16:52","12","0","0","0","0","0"
"DL","06/03/2018","2160","N303DN","ATL","00:05","23:56","214","204","-9","00:07","11","0","0","0","0","0"
"DL","06/03/2018","2162","N326DN","ATL","07:30","07:30","215","205","0","07:46","16","0","0","0","0","0"
"DL","06/03/2018","2477","N816DN","JFK","23:25","23:21","293","270","-4","23:34","13","0","0","0","0","0"
"DL","06/03/2018","2576","N854DN","DTW","23:20","23:10","227","203","-10","23:22","12","0","0","0","0","0"
"DL","06/03/2018","2657","N860DN","SLC","13:58","13:49","96","86","-9","14:04","15","0","0","0","0","0"
"DL","06/03/2018","2737","N935AT","SEA","11:15","11:09","188","191","-6","11:24","15","0","0","0","0","0"
"DL","06/03/2018","2877","N382DA","SLC","10:31","10:33","104","93","2","10:55","22","0","0","0","0","0"
"DL","06/03/2018","2946","N335DN","SLC","18:50","18:51","93","88","1","19:06","15","0","0","0","0","0"
"DL","06/03/2018","2997","N322NB","SLC","16:45","16:59","92","90","14","17:15","16","0","0","0","0","0"
"DL","06/04/2018","0136","N385DN","DTW","12:22","12:22","232","212","0","12:35","13","0","0","0","0","0"
"DL","06/04/2018","0824","N678DL","DTW","06:00","05:55","229","213","-5","06:13","18","0","0","0","0","0"
"DL","06/04/2018","0899","N896DN","MSP","16:26","16:52","179","175","26","17:04","12","0","0","0","0","22"
"DL","06/04/2018","1514","N835DN","MSP","09:18","09:41","192","169","23","09:52","11","0","0","0","0","0"
"DL","06/04/2018","1537","N854DN","MSP","17:55","17:53","185","180","-2","18:04","11","0","0","0","0","0"
"DL","06/04/2018","1546","N344DN","ATL","10:09","10:16","219","217","7","10:34","18","0","0","0","0","0"
"DL","06/04/2018","1630","N839DN","JFK","11:14","11:07","291","296","-7","11:30","23","0","0","0","0","0"
"DL","06/04/2018","1747","N315DN","ATL","06:10","06:11","209","202","1","06:27","16","0","0","0","0","0"
"DL","06/04/2018","1769","N863DN","MSP","14:18","14:14","186","175","-4","14:28","14","0","0","0","0","0"
"DL","06/04/2018","1772","N352DN","ATL","13:00","12:59","217","202","-1","13:12","13","0","0","0","0","0"
"DL","06/04/2018","1786","N815DN","MSP","06:55","06:49","188","177","-6","07:07","18","0","0","0","0","0"
"DL","06/04/2018","1874","N812DN","MSP","11:37","11:31","190","170","-6","11:44","13","0","0","0","0","0"
"DL","06/04/2018","1921","N868DN","DTW","10:08","09:58","232","217","-10","10:18","20","0","0","0","0","0"
"DL","06/04/2018","1994","N801DZ","JFK","06:05","06:05","285","271","0","06:20","15","0","0","0","0","0"
"DL","06/04/2018","2046","N326DN","ATL","16:25","16:10","210","207","-15","16:25","15","0","0","0","0","0"
"DL","06/04/2018","2160","N326DN","ATL","00:05","00:05","214","214","0","00:20","15","0","0","0","0","0"
"DL","06/04/2018","2162","N310DN","ATL","07:30","07:25","215","204","-5","07:39","14","0","0","0","0","0"
"DL","06/04/2018","2477","N802DN","JFK","23:25","23:27","293","275","2","23:38","11","0","0","0","0","0"
"DL","06/04/2018","2576","N894DN","DTW","23:20","23:17","227","220","-3","23:28","11","0","0","0","0","0"
"DL","06/04/2018","2657","N848DN","SLC","13:58","13:50","96","86","-8","14:03","13","0","0","0","0","0"
"DL","06/04/2018","2737","N3740C","SEA","11:15","11:17","188","174","2","11:31","14","0","0","0","0","0"
"DL","06/04/2018","2877","N3750D","SLC","10:31","10:27","104","98","-4","10:48","21","0","0","0","0","0"
"DL","06/04/2018","2946","N323DN","SLC","18:50","18:45","93","84","-5","18:56","11","0","0","0","0","0"
"DL","06/04/2018","2997","N347NB","SLC","16:45","16:36","92","88","-9","16:51","15","0","0","0","0","0"
"DL","06/05/2018","0136","N3741S","DTW","12:22","12:26","232","239","4","13:01","35","0","0","0","0","0"
"DL","06/05/2018","0824","N671DN","DTW","06:00","05:59","229","219","-1","06:12","13","0","0","0","0","0"
"DL","06/05/2018","0899","N874DN","MSP","16:26","16:24","179","166","-2","16:35","11","0","0","0","0","0"
"DL","06/05/2018","1514","N833DN","MSP","09:18","09:15","192","169","-3","09:32","17","0","0","0","0","0"
