Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: United Airlines Inc. (UA)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2018

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","06/01/2018","0235","N413UA","IAH","14:19","14:11","149","140","-8","14:23","12","0","0","0","0","0"
"UA","06/01/2018","0248","N68842","ORD","09:19","09:15","205","190","-4","09:25","10","0","0","0","0","0"
"UA","06/01/2018","0316","N33264","IAD","08:15","08:15","249","242","0","08:26","11","0","0","0","0","0"
"UA","06/01/2018","0523","N67815","ORD","11:18","11:18","203","184","0","11:29","11","0","0","0","0","0"
"UA","06/01/2018","0604","N75428","DEN","09:00","08:54","104","98","-6","09:11","17","0","0","0","0","0"
"UA","06/01/2018","0656","N68807","ORD","07:25","07:14","205","180","-11","07:26","12","0","0","0","0","0"
"UA","06/01/2018","0739","N442UA","IAH","16:17","16:11","149","141","-6","16:20","9","0","0","0","0","0"
"UA","06/01/2018","0772","N37474","DEN","18:42","18:34","103","94","-8","18:47","13","0","0","0","0","0"
"UA","06/01/2018","1023","N490UA","DEN","11:25","11:24","105","89","-1","11:34","10","0","0","0","0","0"
"UA","06/01/2018","1552","N36444","EWR","10:45","11:12","285","267","27","11:23","11","0","0","0","0","0"
"UA","06/01/2018","1600","N68811","EWR","06:35","06:26","278","260","-9","06:37","11","0","0","0","0","0"
"UA","06/01/2018","1680","N465UA","IAH","10:50","10:49","148","152","-1","11:05","16","0","0","0","0","0"
"UA","06/01/2018","1774","N38417","DEN","06:10","06:03","101","97","-7","06:17","14","0","0","0","0","0"
"UA","06/01/2018","1855","N66897","ORD","23:53","23:45","198","184","-8","23:55","10","0","0","0","0","0"
"UA","06/01/2018","1976","N69824","EWR","22:28","22:16","274","265","-12","22:31","15","0","0","0","0","0"
"UA","06/01/2018","2000","N440UA","ORD","14:24","14:20","207","208","-4","14:29","9","0","0","0","0","0"
"UA","06/01/2018","2083","N463UA","IAH","06:23","06:18","148","144","-5","06:31","13","0","0","0","0","0"
"UA","06/01/2018","2135","N39463","DEN","13:32","13:30","105","95","-2","13:42","12","0","0","0","0","0"
"UA","06/01/2018","2137","N417UA","IAH","08:35","08:33","148","153","-2","08:45","12","0","0","0","0","0"
"UA","06/01/2018","2416","N896UA","SFO","05:45","05:40","127","127","-5","05:51","11","0","0","0","0","0"
"UA","06/01/2018","2419","N68817","SFO","12:49","12:45","136","110","-4","12:56","11","0","0","0","0","0"
